id,cdr,fdr,numberOfBeams,numberOfRanges,utilizedCoreFrequency,utilizedCores
0,4,4,4,512,600,2
1,8,4,4,512,600,2
2,16,4,4,512,600,2
3,32,4,4,512,600,2
4,4,8,4,512,600,2
5,8,8,4,512,600,2
6,16,8,4,512,600,2
7,32,8,4,512,600,2
8,4,16,4,512,600,2
9,8,16,4,512,600,2
10,16,16,4,512,600,2
11,16,8,4,512,600,2
12,2,16,4,512,600,2
13,4,16,4,512,600,2
14,8,16,4,512,600,2
15,16,16,4,512,600,2
16,2,2,8,512,600,2
17,4,2,8,512,600,2
18,8,2,8,512,600,2
19,16,2,8,512,600,2
20,2,4,8,512,600,2
21,4,4,8,512,600,2
22,8,4,8,512,600,2
23,16,4,8,512,600,2
24,2,8,8,512,600,2
25,4,8,8,512,600,2
26,8,8,8,512,600,2
27,16,8,8,512,600,2
28,2,16,8,512,600,2
29,4,16,8,512,600,2
30,8,16,8,512,600,2
31,16,16,8,512,600,2
32,2,2,12,512,600,2
33,4,2,12,512,600,2
34,8,2,12,512,600,2
35,16,2,12,512,600,2
36,2,4,12,512,600,2
37,4,4,12,512,600,2
38,8,4,12,512,600,2
39,16,4,12,512,600,2
40,2,8,12,512,600,2
41,4,8,12,512,600,2
42,8,8,12,512,600,2
43,16,8,12,512,600,2
44,2,16,12,512,600,2
45,4,16,12,512,600,2
46,8,16,12,512,600,2
47,16,16,12,512,600,2
48,2,2,16,512,600,2
49,4,2,16,512,600,2
50,8,2,16,512,600,2
51,16,2,16,512,600,2
52,2,4,16,512,600,2
53,4,4,16,512,600,2
54,8,4,16,512,600,2
55,16,4,16,512,600,2
56,2,8,16,512,600,2
57,4,8,16,512,600,2
58,8,8,16,512,600,2
59,16,8,16,512,600,2
60,2,16,16,512,600,2
61,4,16,16,512,600,2
62,8,16,16,512,600,2
63,16,16,16,512,600,2
64,2,2,4,1024,600,2
65,4,2,4,1024,600,2
66,8,2,4,1024,600,2
67,16,2,4,1024,600,2
68,2,4,4,1024,600,2
69,4,4,4,1024,600,2
70,8,4,4,1024,600,2
71,16,4,4,1024,600,2
72,2,8,4,1024,600,2
73,4,8,4,1024,600,2
74,8,8,4,1024,600,2
75,16,8,4,1024,600,2
76,2,16,4,1024,600,2
77,4,16,4,1024,600,2
78,8,16,4,1024,600,2
79,16,16,4,1024,600,2
80,2,2,8,1024,600,2
81,4,2,8,1024,600,2
82,8,2,8,1024,600,2
83,16,2,8,1024,600,2
84,2,4,8,1024,600,2
85,4,4,8,1024,600,2
86,8,4,8,1024,600,2
87,16,4,8,1024,600,2
88,2,8,8,1024,600,2
89,4,8,8,1024,600,2
90,8,8,8,1024,600,2
91,16,8,8,1024,600,2
92,2,16,8,1024,600,2
93,4,16,8,1024,600,2
94,8,16,8,1024,600,2
95,16,16,8,1024,600,2
96,2,2,12,1024,600,2
97,4,2,12,1024,600,2
98,8,2,12,1024,600,2
99,16,2,12,1024,600,2
100,2,4,12,1024,600,2
101,4,4,12,1024,600,2
102,8,4,12,1024,600,2
103,16,4,12,1024,600,2
104,2,8,12,1024,600,2
105,4,8,12,1024,600,2
106,8,8,12,1024,600,2
107,16,8,12,1024,600,2
108,2,16,12,1024,600,2
109,4,16,12,1024,600,2
110,8,16,12,1024,600,2
111,16,16,12,1024,600,2
112,2,2,16,1024,600,2
113,4,2,16,1024,600,2
114,8,2,16,1024,600,2
115,16,2,16,1024,600,2
116,2,4,16,1024,600,2
117,4,4,16,1024,600,2
118,8,4,16,1024,600,2
119,16,4,16,1024,600,2
120,2,8,16,1024,600,2
121,4,8,16,1024,600,2
122,8,8,16,1024,600,2
123,16,8,16,1024,600,2
124,2,16,16,1024,600,2
125,4,16,16,1024,600,2
126,8,16,16,1024,600,2
127,16,16,16,1024,600,2
128,2,2,4,2048,600,2
129,4,2,4,2048,600,2
130,8,2,4,2048,600,2
131,16,2,4,2048,600,2
132,2,4,4,2048,600,2
133,4,4,4,2048,600,2
134,8,4,4,2048,600,2
135,16,4,4,2048,600,2
