id,p1,p2,sl,utilizedCoreFrequency,utilizedCores
0,10,10,1,1400,4
1,20,10,1,1400,4
2,30,10,1,1400,4
3,40,10,1,1400,4
4,50,10,1,1400,4
5,60,10,1,1400,4
6,10,20,1,1400,4
7,20,20,1,1400,4
8,30,20,1,1400,4
9,40,20,1,1400,4
10,50,20,1,1400,4
11,60,20,1,1400,4
12,10,30,1,1400,4
13,20,30,1,1400,4
14,30,30,1,1400,4
15,40,30,1,1400,4
16,50,30,1,1400,4
17,60,30,1,1400,4
18,10,40,1,1400,4
19,20,40,1,1400,4
20,30,40,1,1400,4
21,40,40,1,1400,4
22,50,40,1,1400,4
23,60,40,1,1400,4
24,10,50,1,1400,4
25,20,50,1,1400,4
26,30,50,1,1400,4
27,40,50,1,1400,4
28,50,50,1,1400,4
29,60,50,1,1400,4
30,10,60,1,1400,4
31,20,60,1,1400,4
32,30,60,1,1400,4
33,40,60,1,1400,4
34,50,60,1,1400,4
35,60,60,1,1400,4
36,10,70,1,1400,4
37,20,70,1,1400,4
38,30,70,1,1400,4
39,40,70,1,1400,4
40,50,70,1,1400,4
41,60,70,1,1400,4
42,10,10,2,1400,4
43,20,10,2,1400,4
44,30,10,2,1400,4
45,40,10,2,1400,4
46,50,10,2,1400,4
47,60,10,2,1400,4
48,10,20,2,1400,4
49,20,20,2,1400,4
50,30,20,2,1400,4
51,40,20,2,1400,4
52,50,20,2,1400,4
53,60,20,2,1400,4
54,10,30,2,1400,4
55,20,30,2,1400,4
56,30,30,2,1400,4
57,40,30,2,1400,4
58,50,30,2,1400,4
59,60,30,2,1400,4
60,10,40,2,1400,4
61,20,40,2,1400,4
62,30,40,2,1400,4
63,40,40,2,1400,4
64,50,40,2,1400,4
65,60,40,2,1400,4
66,10,50,2,1400,4
67,20,50,2,1400,4
68,30,50,2,1400,4
69,40,50,2,1400,4
70,50,50,2,1400,4
71,60,50,2,1400,4
72,10,60,2,1400,4
73,20,60,2,1400,4
74,30,60,2,1400,4
75,40,60,2,1400,4
76,50,60,2,1400,4
77,60,60,2,1400,4
78,10,70,2,1400,4
79,20,70,2,1400,4
80,30,70,2,1400,4
81,40,70,2,1400,4
82,50,70,2,1400,4
83,60,70,2,1400,4
84,10,10,3,1400,4
85,20,10,3,1400,4
86,30,10,3,1400,4
87,40,10,3,1400,4
88,50,10,3,1400,4
89,60,10,3,1400,4
90,10,20,3,1400,4
91,20,20,3,1400,4
92,30,20,3,1400,4
93,40,20,3,1400,4
94,50,20,3,1400,4
95,60,20,3,1400,4
96,10,30,3,1400,4
97,20,30,3,1400,4
98,30,30,3,1400,4
99,40,30,3,1400,4
100,50,30,3,1400,4
101,60,30,3,1400,4
102,10,40,3,1400,4
103,20,40,3,1400,4
104,30,40,3,1400,4
105,40,40,3,1400,4
106,50,40,3,1400,4
107,60,40,3,1400,4
108,10,50,3,1400,4
109,20,50,3,1400,4
110,30,50,3,1400,4
111,40,50,3,1400,4
112,50,50,3,1400,4
113,60,50,3,1400,4
114,10,60,3,1400,4
115,20,60,3,1400,4
116,30,60,3,1400,4
117,40,60,3,1400,4
118,50,60,3,1400,4
119,60,60,3,1400,4
120,10,70,3,1400,4
121,20,70,3,1400,4
122,30,70,3,1400,4
123,40,70,3,1400,4
124,50,70,3,1400,4
125,60,70,3,1400,4
126,10,10,4,1400,4
127,20,10,4,1400,4
128,30,10,4,1400,4
129,40,10,4,1400,4
130,50,10,4,1400,4
131,60,10,4,1400,4
132,10,20,4,1400,4
133,20,20,4,1400,4
134,30,20,4,1400,4
135,40,20,4,1400,4
136,50,20,4,1400,4
137,60,20,4,1400,4
138,10,30,4,1400,4
139,20,30,4,1400,4
140,30,30,4,1400,4
141,40,30,4,1400,4
142,50,30,4,1400,4
143,60,30,4,1400,4
144,10,40,4,1400,4
145,20,40,4,1400,4
146,30,40,4,1400,4
147,40,40,4,1400,4
148,50,40,4,1400,4
149,60,40,4,1400,4
150,10,50,4,1400,4
151,20,50,4,1400,4
152,30,50,4,1400,4
153,40,50,4,1400,4
154,50,50,4,1400,4
155,60,50,4,1400,4
156,10,60,4,1400,4
157,20,60,4,1400,4
158,30,60,4,1400,4
159,40,60,4,1400,4
160,50,60,4,1400,4
161,60,60,4,1400,4
162,10,70,4,1400,4
163,20,70,4,1400,4
164,30,70,4,1400,4
165,40,70,4,1400,4
166,50,70,4,1400,4
167,60,70,4,1400,4
168,10,10,5,1400,4
169,20,10,5,1400,4
170,30,10,5,1400,4
171,40,10,5,1400,4
172,50,10,5,1400,4
173,60,10,5,1400,4
174,10,20,5,1400,4
175,20,20,5,1400,4
176,30,20,5,1400,4
177,40,20,5,1400,4
178,50,20,5,1400,4
179,60,20,5,1400,4
180,10,30,5,1400,4
181,20,30,5,1400,4
182,30,30,5,1400,4
183,40,30,5,1400,4
184,50,30,5,1400,4
185,60,30,5,1400,4
186,10,40,5,1400,4
187,20,40,5,1400,4
188,30,40,5,1400,4
189,40,40,5,1400,4
190,50,40,5,1400,4
191,60,40,5,1400,4
192,10,50,5,1400,4
193,20,50,5,1400,4
194,30,50,5,1400,4
195,40,50,5,1400,4
196,50,50,5,1400,4
197,60,50,5,1400,4
198,10,60,5,1400,4
199,20,60,5,1400,4
200,30,60,5,1400,4
201,40,60,5,1400,4
202,50,60,5,1400,4
203,60,60,5,1400,4
204,10,70,5,1400,4
205,20,70,5,1400,4
206,30,70,5,1400,4
207,40,70,5,1400,4
208,50,70,5,1400,4
209,60,70,5,1400,4
