id,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
0,-1,382161703,7618263.27,49.5,2.466575401,0.405420406,3088599.387,1210.86,123.9239801,383000982.1,1556575699,20
1,-1,559098279.5,11163131.66,49.5,3.61821367,0.276379476,3085260.484,36536.81,181.4254769,1329391382,1556576006,20
2,-1,733413296.2,14690477.68,49.5,4.766726651,0.20978757,3081879.612,73031.5,237.8480561,2631731630,1556576428,20
3,-1,381951196,7612584.04,49.5,2.459301205,0.406619571,3095425.654,878.89,123.4189017,3764245474,1556576795,20
4,-1,543955960.4,10882330.85,49.5,3.529227839,0.283348099,3083487.762,19948.29,176.3838662,4695135737,1556577096,20
5,-1,709758459.4,14257844.37,49.5,4.630044665,0.215980638,3079418.321,38102.99,230.4983279,5960652748,1556577507,20
6,-1,399171332.6,7882403.61,49.5,2.548237176,0.39242815,3093277.064,4329.49,129.0224163,7090784471,1556577873,20
7,-1,781345940.3,15644580.51,49.5,5.086441007,0.19660112,3075742.054,110394.13,253.9614619,8269091595,1556578255,20
8,-1,1169767670,23482102.59,49.5,7.654733582,0.130638119,3067657.723,219880.43,381.0358997,10238148820,1556578896,20
9,-1,394069873.2,7812285.41,49.5,2.532762098,0.39482587,3084492.387,2944.33,127.8390482,11835191490,1556579417,20
10,-1,743559493.6,14912899.89,49.5,4.861477311,0.20569879,3067565.461,67461.74,242.4588942,12973741752,1556579787,20
11,-1,1101111916,22138854.8,49.5,7.249594638,0.137938747,3053805.889,129263.06,360.3435247,14837991594,1556580396,20
12,-1,383586251.7,7611445.6,49.5,2.47175715,0.40457049,3079366.272,1210.86,124.6373945,16357683216,1556580893,20
13,-1,553162408.3,11086180.83,49.5,3.604559684,0.277426395,3075599.186,36536.81,179.864733,17296090822,1556581198,20
14,-1,730446770.1,14632244.02,49.5,4.760351999,0.210068499,3073773.541,73031.5,237.6372398,18593091473,1556581620,20
15,-1,381104098.6,7573442.71,49.5,2.452994707,0.407664965,3087427.254,878.89,123.4513119,19722029795,1556581987,20
16,-1,543182602.7,10843280.11,49.5,3.528483844,0.283407844,3073070.642,19948.29,176.7121016,20649333374,1556582288,20
17,-1,702859328.5,14093658.72,49.5,4.593029895,0.217721204,3068488.349,38102.99,229.2038942,21904400927,1556582697,20
18,-1,395738687.6,7818206.33,49.5,2.537769778,0.394046776,3080739.001,4329.49,128.4968765,23020681605,1556583060,20
19,-1,775721696.9,15523084.28,49.5,5.064775531,0.197442116,3064910.613,110394.13,252.9923627,24190808916,1556583441,20
20,-1,1167556628,23386248.67,49.5,7.651087375,0.130700376,3056591.505,219880.43,382.033237,26151163518,1556584082,20
21,-1,393617828,7809312.75,49.5,2.533370495,0.394731052,3082578.236,2944.33,127.7576853,27738919375,1556584600,20
22,-1,747483294.2,14989162.61,49.5,4.879050269,0.204957921,3072147.607,67461.74,243.2774078,28881557502,1556584971,20
23,-1,1092270981,21954103.14,49.5,7.17576159,0.13935803,3059480.567,129263.06,357.2333869,30740451595,1556585578,20
24,-1,352767776.3,7016600.49,49.5,2.256334586,0.443196681,3109734.05,1210.86,113.5191752,32218971792,1556586060,20
25,-1,504058783.7,10077316.02,49.5,3.253244131,0.307385477,3097620.595,36536.81,162.6998029,33079103791,1556586337,20
26,-1,657254686.9,13171337.54,49.5,4.257867699,0.234859341,3093411.649,73031.5,212.5328104,34250578272,1556586715,20
27,-1,352823515,7032393.59,49.5,2.264236996,0.441649881,3105855.792,878.89,113.5937857,35276613606,1556587046,20
28,-1,496864093.3,9912174.33,49.5,3.193986702,0.313088342,3103386.224,19948.29,160.1943832,36131124049,1556587322,20
29,-1,636381186,12768062.58,49.5,4.119661214,0.242738407,3099299.169,38102.99,205.3493394,37271804137,1556587689,20
30,-1,364876427,7244247.21,49.5,2.327380171,0.429667663,3112618.772,4329.49,117.2319538,38290064008,1556588017,20
31,-1,733266027.7,14625638.83,49.5,4.732583587,0.211301075,3090413.209,110394.13,237.2349153,39390213882,1556588373,20
32,-1,1094216946,21906900.85,49.5,7.117182286,0.140505043,3078030.036,219880.43,355.6231173,41228395335,1556588969,20
33,-1,369643686.4,7310841.43,49.5,2.353287733,0.424937413,3106650.041,2944.33,119.0059722,42716525422,1556589451,20
34,-1,696291098.2,13943165.11,49.5,4.517202096,0.221375971,3086681.714,67461.74,225.5416083,43781581901,1556589795,20
35,-1,1022412733,20538019.12,49.5,6.664576707,0.150047039,3081668.953,129263.06,331.762598,45516153962,1556590358,20
36,-1,352637583,7006588.1,49.5,2.250008812,0.444442704,3114026.96,1210.86,113.2335744,46921190900,1556590813,20
37,-1,507733301.3,10192419.04,49.5,3.284962661,0.304417463,3102750.348,36536.81,163.5771821,47784052882,1556591090,20
38,-1,664669458.1,13315099.8,49.5,4.304225094,0.232329857,3093495.23,73031.5,214.8234163,48970785474,1556591473,20
39,-1,352386368.3,7010053.87,49.5,2.258455522,0.442780471,3103914.955,878.89,113.4791529,50003307310,1556591807,20
40,-1,491161042.8,9812782.82,49.5,3.169087808,0.315548215,3096406.1,19948.29,158.6547829,50850209331,1556592080,20
41,-1,634307322.1,12665178.79,49.5,4.095376999,0.244177764,3092555.042,38102.99,205.088057,51984641694,1556592447,20
42,-1,362801474.4,7211729.06,49.5,2.325387506,0.430035853,3101302.058,4329.49,117.0466252,52992493149,1556592772,20
43,-1,728936613.6,14563455.24,49.5,4.717651653,0.211969868,3087013.69,110394.13,236.2671382,54087536802,1556593127,20
44,-1,1098325208,21902133.84,49.5,7.103449404,0.140776677,3083309.614,219880.43,356.2660097,55927855967,1556593723,20
45,-1,362879506.3,7193731.6,49.5,2.317337859,0.431529652,3104308.495,2944.33,116.8767833,57404734362,1556594201,20
46,-1,696086535.9,13961500.95,49.5,4.531005147,0.220701581,3081325.335,67461.74,225.9669234,58464597956,1556594544,20
47,-1,1011700508,20379015.89,49.5,6.636105318,0.150690797,3070930.149,129263.06,329.5748622,60190367263,1556595106,20
