id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
0,9158.884776,-1,37055702.87,136112.2943,699.5,0.102634941,9.743270553,1326178.909,54789.06862,71.69247572,37428618.58,1571443711,40
1,9184.156142,-1,36893601.7,136604.1343,699.5,0.10235996,9.769445014,1334546.579,54784.76677,71.39880745,112137463.7,1571443856,40
2,1996.035054,-1,21338273.92,137003.1479,699.5,0.059383711,16.8396348,2307082.976,45478.26783,41.26602257,171381171.6,1571443970,40
3,1974.474869,-1,21480958.38,137305.2836,699.5,0.059650546,16.76430576,2301827.756,45535.58328,41.52630716,215211474.7,1571444054,40
4,173.0507812,-1,9676934.65,138420.4064,699.5,0.027785295,35.99026022,4981786.446,41066.49424,18.98428214,247445263.9,1571444116,40
5,167.2591155,-1,9943383.674,138437.4986,699.5,0.027987317,35.73047097,4946437.024,41115.79017,19.11786403,268274125.8,1571444155,40
6,9159.362654,-1,36707258.09,136780.0436,699.5,0.102296589,9.775496985,1337092.904,54816.87411,71.37682901,316277353.7,1571444248,40
7,9184.156142,-1,37537239.87,137261.7186,699.5,0.102808448,9.726827079,1335121.001,54821.34329,71.89852903,391434651.1,1571444392,40
8,1996.035054,-1,21639901.1,137482.2993,699.5,0.059652758,16.76368431,2304709.863,45539.16882,41.49898495,451065198,1571444507,40
9,1974.474869,-1,21719760.82,137759.5829,699.5,0.060156491,16.62330994,2290020.243,45422.30838,41.81187721,495265789,1571444591,40
10,173.0507812,-1,10036832.04,139875.1357,699.5,0.02777224,36.00717778,5036508.879,41090.25609,18.93682896,527803289.8,1571444653,40
11,167.2591155,-1,9726592.863,138668.5386,699.5,0.027973638,35.74794185,4957114.853,41049.17583,19.04939381,548729288,1571444693,40
12,8804.367789,-1,58900601.31,137400.4921,699.5,0.162365523,6.158943002,846241.7996,55014.12439,113.5077005,618456148.2,1571444827,40
13,8828.390099,-1,58660198.14,136625.9129,699.5,0.163103277,6.131084669,837665.0397,55086.10775,113.9678519,736998032.3,1571445056,40
14,1792.300291,-1,41787685.56,136853.6421,699.5,0.114874304,8.705166995,1191333.809,46003.45813,80.21517608,838438310.5,1571445252,40
15,1770.212153,-1,41433434.95,137146.7171,699.5,0.114786526,8.711823923,1194798.051,45856.57371,80.21667655,922548667,1571445414,40
16,164.3734511,-1,17982957.46,137754.4657,699.5,0.050090537,19.96385083,2750109.605,41206.32601,34.17694501,982793902.9,1571445529,40
17,159.5343527,-1,17634483.64,137711.8279,699.5,0.050150072,19.94015067,2745994.597,41141.34277,34.20307073,1019832504,1571445600,40
18,8804.345722,-1,58906501.06,137847.4621,699.5,0.162251887,6.163256531,849589.2713,55095.45527,113.152836,1097985537,1571445750,40
19,8828.390099,-1,59420341.63,138083.5521,699.5,0.163388375,6.120386464,845124.7034,55046.01523,114.225563,1217425064,1571445979,40
20,1792.300291,-1,42216616.74,138157.0571,699.5,0.115257252,8.676243622,1198684.286,46007.78247,80.5143531,1319801712,1571446175,40
21,1770.212153,-1,41740032.93,137512.775,699.5,0.114840702,8.707714062,1197421.925,45873.54973,80.09503423,1404684465,1571446337,40
22,164.3734511,-1,17911479.55,138156.8314,699.5,0.050098849,19.96053827,2757684.721,41183.77919,34.28064749,1465220511,1571446453,40
23,159.5343527,-1,17882062.56,138024.3671,699.5,0.050125631,19.94987344,2753568.657,41169.75771,34.16807503,1502275559,1571446524,40
24,9159.340587,-1,44923398.6,278713.9371,699.5,0.06161103,16.23085984,4523766.851,54970.82894,43.01820783,1566853011,1571446603,40
25,9184.156142,-1,46378820.85,282624.1257,699.5,0.061838136,16.17125073,4570385.599,55036.85173,43.12854536,1659779668,1571446690,40
26,1996.035054,-1,26947643.54,282328.8029,699.5,0.036066843,27.72629677,7827932.174,45497.02152,25.03587105,1734007840,1571446759,40
27,1974.474869,-1,27194151.71,284154.9014,699.5,0.036110021,27.69314365,7869142.504,45445.53681,25.0777758,1788883041,1571446810,40
28,173.0507812,-1,13220039.86,277852.4914,699.5,0.018023532,55.48301987,15416095.3,41074.38818,12.2845341,1829879814,1571446849,40
29,167.2591155,-1,12855073.04,274942.5371,699.5,0.017929162,55.77505638,15334935.51,41068.00126,12.24330173,1856853829,1571446874,40
30,9159.362654,-1,46658741.57,287101.3829,699.5,0.061795877,16.18230928,4645963.372,55023.13334,43.15943309,1917935213,1571446931,40
31,9184.156142,-1,46823673.96,288847.6193,699.5,0.061767678,16.18969712,4676355.47,55026.69132,43.15620571,2013133637,1571447018,40
32,1996.035054,-1,27257029.07,286888.2257,699.5,0.035945226,27.82010597,7981260.842,45526.28561,24.97846929,2088561636,1571447087,40
33,1974.474869,-1,27228595.95,286852.1636,699.5,0.036151221,27.66158276,7934784.862,45470.12787,25.09275644,2144091307,1571447138,40
