id,cost,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,reliability,responseTime,runningTime,SOAperf,systemEnergy,time,windowSize
0,6.483333333,-1,3919016.739,217965.9333,749.5,0.006571171,152.1798823,33170030.08,0.526,17.26318375,4.929023168,1.566935132,4524704.888,1571693902,80
1,7.39,-1,4196477.213,221039.7913,749.5,0.006569677,152.2144951,33645460.23,0.549333333,15.12981331,4.927440632,1.407790811,13121894.17,1571693912,80
2,8.503333333,-1,4253603.796,218726.1213,749.5,0.006565908,152.3018535,33312393.69,0.600666667,13.24374402,4.923586838,1.999057882,21706528.8,1571693922,80
3,9.1,-1,4118677.044,222314.1667,749.5,0.006545898,152.7674213,33962361.96,0.643333333,12.10982111,4.909953915,2.130668818,30283441.23,1571693933,80
4,10.32,-1,3990615.566,219129.7927,749.5,0.00655561,152.5410981,33426299.21,0.676666667,9.929302116,4.919363811,2.549916628,38859674.54,1571693943,80
5,10.97,-1,4387334.785,222634.9147,749.5,0.006550411,152.6621861,33987932.76,0.714666667,9.201814242,4.912659002,6.563081534,47430087.78,1571693953,80
6,6.896666667,-1,3727976.049,220187.8747,749.5,0.006553687,152.5858739,33597559.28,0.526666667,16.65781892,4.913727853,0.835196637,56021268.93,1571693963,80
7,7.78,-1,4373689.206,223225.9847,749.5,0.006620514,151.0456833,33717321.38,0.588666667,15.11840114,4.965172068,2.172996944,64670666.52,1571693973,80
8,8.886666667,-1,4220423.08,222313.122,749.5,0.006611388,151.2541755,33625787.97,0.615333333,12.70847433,4.959853753,1.828530676,73346634.75,1571693984,80
9,9.37,-1,4225436.709,222111.8507,749.5,0.006616211,151.1439078,33570853.08,0.652,11.55466236,4.963935793,4.121044976,82027828.22,1571693994,80
10,10.59333333,-1,4194011.235,222218.1033,749.5,0.006634679,150.7231817,33493419.56,0.704,10.18902141,4.977756709,1.902153681,90748642.54,1571694004,80
