id,bitrate,currentConfiguration,energy,energyDelta,iteration,latency,performance,powerConsumption,quality,runningTime,systemEnergy,time,windowSize
0,9158.884776,-1,36978338.28,137275.9343,699.5,0.102186805,9.78599931,1343382.198,54760.25495,71.23900102,37694147.86,1571170388,40
1,9184.156142,-1,37780986.43,138903.295,699.5,0.102389986,9.766580135,1356610.162,54769.74602,71.59233818,113310835.8,1571170533,40
2,9183.4085,-1,37962975.19,139585.3321,699.5,0.102460567,9.759852286,1362332.223,54813.93978,71.54289491,189531324.3,1571170677,40
3,9185.12308,-1,37954716.28,140229.8286,699.5,0.102097354,9.794573135,1373491.312,54779.5394,71.29373339,266013295.4,1571170821,40
4,9184.156142,-1,38296452.2,140626.8343,699.5,0.102514929,9.754676844,1371769.324,54887.40601,71.67522164,342842017,1571170965,40
5,9183.4085,-1,38117160.96,140867.3729,699.5,0.102286435,9.776467441,1377185.284,54804.76252,71.46306011,419950561.6,1571171109,40
6,9185.123223,-1,38378061.83,141184.6057,699.5,0.102357767,9.769654318,1379324.793,54815.37426,71.57881856,497095460.9,1571171254,40
7,9184.156285,-1,38263120.8,141458.7086,699.5,0.102278537,9.777222332,1383073.244,54794.82045,71.41727764,574387391.5,1571171398,40
8,9183.408643,-1,38590192.79,142259.0836,699.5,0.102463284,9.759593506,1388390.828,54803.30076,71.45479378,651906869.3,1571171542,40
9,9038.196649,-1,41170856.93,140595.5336,699.5,0.110024821,9.088858211,1277852.87,54886.34461,76.96187263,732428489,1571171692,40
10,9037.65386,-1,41247355.21,140775.4436,699.5,0.110242208,9.070935846,1276965.017,54908.63483,77.12394641,815248658.2,1571171847,40
11,9037.21664,-1,41378331.73,140871.5643,699.5,0.11071928,9.031850649,1272330.929,54898.77776,77.39432868,898387025.3,1571172002,40
12,9037.77896,-1,40983550.69,141009.0514,699.5,0.110008826,9.090179693,1281797.616,54826.51621,76.88063654,981555727.9,1571172158,40
13,9037.65386,-1,41406429.47,141798.8571,699.5,0.110396111,9.058290077,1284455.181,54962.32176,77.10929513,1064878367,1571172313,40
14,9037.21664,-1,41640396,141907.1607,699.5,0.11056707,9.044284197,1283448.691,54892.81467,77.31338219,1148644738,1571172468,40
15,9037.779103,-1,42080053.36,144138.2043,699.5,0.110123536,9.080710923,1308877.366,54936.82054,76.98568607,1232826608,1571172624,40
16,9037.654003,-1,41425886.59,141774.2343,699.5,0.110450461,9.053832748,1283600.205,54879.49202,77.22136664,1317209321,1571172779,40
17,9037.216783,-1,41628615.29,141881.5521,699.5,0.110657841,9.036865299,1282164.475,54923.0355,77.30039271,1401021093,1571172935,40
18,8956.971815,-1,43846240.36,141848.7714,699.5,0.117240407,8.529482517,1209896.616,54996.8177,81.76134233,1487376126,1571173095,40
19,8956.208891,-1,44357860.54,142178.0279,699.5,0.117548978,8.507092241,1209521.598,54874.40392,82.04144696,1576570347,1571173260,40
20,8956.176935,-1,44509904.38,142584.87,699.5,0.117793961,8.489399548,1210459.931,54980.91178,82.17438193,1666066613,1571173426,40
21,8956.740276,-1,44468460.29,142228.7871,699.5,0.117876873,8.483428284,1206587.716,54998.45752,82.43336605,1755725820,1571173592,40
22,8956.208891,-1,44683653.01,142239.5236,699.5,0.118075671,8.469145154,1204647.172,54949.86251,82.56911016,1845349115,1571173758,40
23,8956.176935,-1,45001732.53,142586.9821,699.5,0.119151566,8.392671924,1196685.762,54915.53635,83.18298398,1935634381,1571173925,40
24,8956.740419,-1,44351041.97,142508.3693,699.5,0.117417627,8.51660881,1213688.033,54951.22186,81.83607446,2025690552,1571174091,40
25,8956.209034,-1,44682560.47,142134.7021,699.5,0.117997913,8.47472617,1204552.68,54924.54078,82.50965425,2115283839,1571174257,40
26,8956.177078,-1,43992024.26,141537.5664,699.5,0.117670101,8.498335497,1202833.725,54883.88912,82.15461061,2204654749,1571174423,40
27,8926.013847,-1,49417957.96,141201.0557,699.5,0.13170809,7.592548028,1072075.797,54924.81435,92.05072846,2298938363,1571174599,40
28,8925.278277,-1,49673332.11,141017.8907,699.5,0.132569087,7.543236669,1063731.324,54897.37108,92.64284291,2398530605,1571174784,40
