,cpufreq,uncore_min,uncore_max,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,1833333,20,20,73m,60k,470,290ms,4,0.8999999999999999,46m,30k,80m,30k,8g,8g,220s,9s,5,true,0.6,false,false,0.8999999999999999
1,3100000,20,20,109m,127k,610,320ms,5,0.8999999999999999,36m,115k,50m,30k,10g,12g,180s,5s,7,false,0.7,true,false,0.7
2,2466666,10,10,117m,41k,380,330ms,2,0.8999999999999999,32m,56k,26m,82k,14g,11g,420s,5s,5,false,0.6,false,true,0.9999999999999999
3,1833333,20,20,83m,45k,250,470ms,4,0.8999999999999999,54m,66k,76m,108k,8g,9g,120s,7s,4,false,0.7,false,false,0.7
4,1200000,10,10,76m,60k,480,710ms,4,0.9999999999999999,62m,112k,56m,24k,14g,17g,20s,5s,4,true,0.6,true,false,0.6
5,1833333,15,15,30m,29k,290,760ms,1,0.7999999999999999,4m,126k,112m,124k,11g,17g,360s,3s,7,true,0.9999999999999999,true,false,0.7999999999999999
6,1833333,30,30,46m,79k,320,280ms,4,0.5,30m,106k,76m,74k,8g,8g,120s,1s,6,false,0.9999999999999999,false,false,0.5
7,1833333,15,15,33m,99k,880,200ms,5,0.9999999999999999,30m,91k,48m,48k,8g,13g,500s,9s,8,true,0.7,false,false,0.7999999999999999
8,3100000,20,20,92m,25k,750,140ms,2,0.8999999999999999,4m,123k,88m,128k,10g,15g,260s,4s,6,false,0.5,true,true,0.7
9,3100000,30,30,94m,25k,500,410ms,4,0.7999999999999999,8m,102k,60m,118k,13g,17g,260s,4s,7,true,0.6,false,false,0.8999999999999999
10,3100000,10,10,112m,126k,700,710ms,5,0.5,42m,39k,34m,70k,13g,17g,160s,6s,3,true,0.8999999999999999,false,false,0.5
11,1200000,10,10,109m,42k,120,760ms,3,0.5,40m,116k,56m,92k,14g,15g,320s,4s,1,true,0.8999999999999999,false,true,0.5
12,2466666,10,10,100m,102k,250,340ms,5,0.9999999999999999,36m,65k,128m,106k,8g,18g,420s,3s,2,true,0.8999999999999999,true,true,0.7999999999999999
13,2466666,30,30,102m,60k,240,830ms,2,0.6,44m,35k,102m,64k,11g,17g,220s,4s,1,false,0.7,true,false,0.7
14,2466666,10,10,116m,57k,600,620ms,4,0.8999999999999999,36m,67k,86m,54k,11g,8g,500s,6s,2,false,0.8999999999999999,false,false,0.7
15,3100000,20,20,93m,26k,570,710ms,3,0.6,12m,94k,84m,82k,10g,8g,260s,4s,5,false,0.7999999999999999,false,true,0.6
16,2466666,20,20,100m,64k,350,640ms,3,0.8999999999999999,60m,62k,28m,128k,14g,15g,300s,8s,5,true,0.7999999999999999,false,true,0.7
17,1200000,10,10,107m,37k,700,880ms,1,0.5,30m,106k,66m,32k,10g,8g,20s,3s,4,false,0.9999999999999999,false,true,0.5
18,1200000,10,10,64m,32k,100,160ms,5,0.7999999999999999,4m,83k,100m,84k,9g,11g,220s,9s,3,true,0.7,true,true,0.5
19,2466666,10,10,77m,65k,150,750ms,1,0.6,32m,71k,38m,122k,8g,15g,320s,7s,3,false,0.5,true,false,0.5
20,3100000,20,20,49m,61k,900,850ms,1,0.7999999999999999,6m,98k,34m,114k,9g,18g,100s,10s,2,true,0.9999999999999999,true,false,0.9999999999999999
21,2466666,10,10,80m,117k,180,510ms,5,0.6,36m,67k,68m,36k,9g,9g,360s,8s,8,true,0.7,true,false,0.7
22,3100000,30,30,127m,98k,410,660ms,5,0.5,58m,102k,116m,38k,8g,13g,260s,6s,8,true,0.7999999999999999,false,false,0.7999999999999999
23,1200000,20,20,123m,100k,320,330ms,5,0.9999999999999999,58m,37k,114m,76k,13g,15g,300s,2s,7,false,0.8999999999999999,false,true,0.8999999999999999
24,1833333,15,15,83m,73k,930,480ms,1,0.7999999999999999,56m,106k,106m,56k,14g,14g,200s,8s,3,false,0.9999999999999999,false,false,0.7
25,3100000,20,20,96m,69k,240,780ms,3,0.9999999999999999,44m,39k,62m,118k,9g,10g,460s,6s,1,true,0.9999999999999999,false,true,0.8999999999999999
26,1833333,10,10,113m,98k,120,930ms,2,0.7,64m,101k,46m,70k,12g,11g,360s,9s,8,false,0.9999999999999999,false,false,0.6
27,3100000,20,20,39m,84k,380,760ms,3,0.7,24m,59k,112m,36k,12g,11g,160s,8s,5,false,0.6,false,false,0.7999999999999999
28,1833333,20,20,33m,42k,800,110ms,5,0.8999999999999999,56m,34k,118m,104k,10g,18g,100s,9s,7,false,0.6,true,true,0.9999999999999999
29,1833333,30,30,102m,29k,560,680ms,3,0.9999999999999999,16m,119k,94m,60k,9g,10g,80s,1s,5,false,0.7,true,true,0.6
30,2466666,15,15,106m,28k,380,130ms,4,0.6,58m,102k,98m,120k,13g,15g,380s,9s,1,false,0.9999999999999999,false,false,0.8999999999999999
31,3100000,30,30,65m,43k,380,810ms,5,0.7999999999999999,58m,63k,26m,60k,14g,15g,200s,3s,6,false,0.7999999999999999,true,true,0.9999999999999999
32,3100000,30,30,60m,114k,320,170ms,5,0.9999999999999999,18m,120k,52m,54k,10g,13g,240s,7s,4,false,0.8999999999999999,true,true,0.5
33,2466666,15,15,30m,81k,140,900ms,3,0.5,16m,97k,34m,102k,11g,8g,100s,2s,8,false,0.6,true,false,0.5
34,1200000,30,30,69m,49k,320,140ms,4,0.5,16m,55k,64m,54k,10g,12g,80s,3s,7,true,0.5,true,false,0.9999999999999999
35,1833333,30,30,71m,28k,470,520ms,2,0.6,18m,30k,124m,58k,11g,11g,500s,9s,1,false,0.8999999999999999,true,false,0.6
36,1200000,10,10,108m,84k,210,620ms,4,0.7,26m,96k,116m,56k,8g,17g,360s,9s,8,false,0.7999999999999999,true,false,0.7
37,1833333,20,20,118m,74k,920,470ms,5,0.9999999999999999,16m,32k,38m,58k,13g,14g,280s,4s,5,false,0.7999999999999999,false,false,0.9999999999999999
38,1833333,15,15,87m,41k,530,990ms,5,0.5,16m,103k,28m,54k,14g,12g,240s,4s,5,true,0.7999999999999999,false,false,0.5
39,1200000,15,15,46m,92k,110,400ms,1,0.9999999999999999,14m,121k,74m,74k,14g,14g,280s,9s,5,false,0.8999999999999999,false,false,0.6
40,3100000,30,30,85m,75k,840,580ms,5,0.7999999999999999,64m,26k,30m,124k,11g,11g,240s,2s,7,false,0.9999999999999999,true,false,0.5
41,2466666,10,10,63m,46k,140,330ms,3,0.5,12m,114k,34m,66k,9g,9g,400s,10s,5,true,0.7,true,true,0.5
42,1200000,15,15,54m,99k,940,400ms,2,0.7999999999999999,50m,36k,76m,38k,14g,18g,340s,9s,4,true,0.5,false,true,0.5
43,3100000,15,15,98m,123k,790,430ms,5,0.8999999999999999,48m,92k,126m,34k,14g,13g,320s,9s,8,false,0.8999999999999999,true,true,0.7999999999999999
44,3100000,30,30,88m,77k,620,440ms,4,0.6,64m,27k,98m,76k,10g,12g,300s,10s,3,true,0.6,false,true,0.7999999999999999
45,3100000,30,30,91m,39k,260,640ms,5,0.8999999999999999,50m,48k,68m,70k,14g,15g,500s,6s,1,true,0.6,false,false,0.7
46,2466666,30,30,62m,60k,460,150ms,2,0.8999999999999999,46m,54k,76m,124k,12g,18g,260s,2s,5,false,0.9999999999999999,false,false,0.9999999999999999
47,2466666,30,30,104m,96k,350,520ms,4,0.7,16m,78k,46m,96k,9g,18g,20s,10s,7,false,0.8999999999999999,true,false,0.8999999999999999
48,1833333,10,10,24m,42k,750,930ms,3,0.7,28m,65k,78m,40k,11g,15g,480s,7s,1,false,0.9999999999999999,true,true,0.6
49,3100000,15,15,29m,26k,520,240ms,5,0.8999999999999999,50m,111k,118m,122k,13g,11g,80s,2s,7,false,0.9999999999999999,true,false,0.5
50,2466666,30,30,99m,54k,760,760ms,1,0.6,38m,46k,112m,34k,11g,10g,80s,8s,6,false,0.7,false,true,0.8999999999999999
51,1833333,20,20,66m,24k,330,590ms,2,0.9999999999999999,38m,48k,54m,36k,10g,15g,220s,5s,1,false,0.5,true,false,0.6
52,1833333,15,15,95m,33k,540,530ms,3,0.7,64m,36k,26m,102k,12g,15g,120s,1s,4,true,0.7999999999999999,false,true,0.8999999999999999
53,3100000,30,30,50m,50k,720,870ms,1,0.7999999999999999,60m,121k,88m,44k,14g,13g,160s,10s,1,false,0.8999999999999999,true,true,0.6
54,2466666,20,20,58m,116k,410,360ms,2,0.7,56m,124k,116m,52k,9g,17g,180s,7s,2,false,0.7999999999999999,true,false,0.5
55,1200000,15,15,38m,40k,600,670ms,1,0.7,40m,25k,78m,46k,13g,18g,460s,8s,3,false,0.5,true,false,0.5
56,3100000,15,15,109m,26k,680,140ms,3,0.7999999999999999,28m,66k,84m,118k,8g,17g,40s,9s,7,false,0.6,false,false,0.5
57,1200000,20,20,86m,81k,720,260ms,2,0.6,44m,35k,84m,106k,10g,8g,240s,5s,1,true,0.9999999999999999,false,true,0.5
58,2466666,30,30,33m,82k,800,670ms,1,0.5,54m,50k,114m,108k,11g,13g,500s,5s,2,true,0.7999999999999999,true,false,0.5
59,1833333,30,30,124m,35k,560,520ms,1,0.9999999999999999,32m,73k,70m,98k,11g,12g,400s,8s,2,true,0.9999999999999999,false,true,0.9999999999999999
60,3100000,10,10,89m,52k,750,830ms,5,0.9999999999999999,38m,39k,50m,46k,8g,14g,240s,7s,1,true,0.5,true,false,0.5
61,1833333,30,30,86m,40k,860,500ms,5,0.9999999999999999,22m,53k,94m,108k,10g,17g,60s,2s,1,true,0.8999999999999999,false,true,0.5
62,1833333,30,30,60m,55k,920,430ms,5,0.7999999999999999,24m,111k,110m,36k,11g,10g,420s,9s,8,true,0.7999999999999999,false,true,0.8999999999999999
63,1200000,15,15,86m,111k,440,410ms,5,0.7,50m,102k,126m,104k,9g,13g,40s,1s,3,true,0.9999999999999999,false,true,0.5
64,1200000,20,20,30m,82k,440,830ms,5,0.7,16m,51k,96m,84k,9g,10g,180s,2s,7,true,0.7999999999999999,false,false,0.6
