,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
0,1833333,20,20,73,60,470,290,4,0.8999999999999999,46,30,80,30,8,8,220,9,5,1,0.6,0,0,0.8999999999999999
1,3100000,20,20,109,127,610,320,5,0.8999999999999999,36,115,50,30,10,12,180,5,7,0,0.7,1,0,0.7
2,2466666,10,10,117,41,380,330,2,0.8999999999999999,32,56,26,82,14,11,420,5,5,0,0.6,0,1,1.0
3,1833333,20,20,83,45,250,470,4,0.8999999999999999,54,66,76,108,8,9,120,7,4,0,0.7,0,0,0.7
4,1200000,10,10,76,60,480,710,4,1.0,62,112,56,24,14,17,20,5,4,1,0.6,1,0,0.6
5,1833333,15,15,30,29,290,760,1,0.7999999999999999,4,126,112,124,11,17,360,3,7,1,1.0,1,0,0.7999999999999999
6,1833333,30,30,46,79,320,280,4,0.5,30,106,76,74,8,8,120,1,6,0,1.0,0,0,0.5
7,1833333,15,15,33,99,880,200,5,1.0,30,91,48,48,8,13,500,9,8,1,0.7,0,0,0.7999999999999999
8,3100000,20,20,92,25,750,140,2,0.8999999999999999,4,123,88,128,10,15,260,4,6,0,0.5,1,1,0.7
9,3100000,30,30,94,25,500,410,4,0.7999999999999999,8,102,60,118,13,17,260,4,7,1,0.6,0,0,0.8999999999999999
10,3100000,10,10,112,126,700,710,5,0.5,42,39,34,70,13,17,160,6,3,1,0.8999999999999999,0,0,0.5
11,1200000,10,10,109,42,120,760,3,0.5,40,116,56,92,14,15,320,4,1,1,0.8999999999999999,0,1,0.5
12,2466666,10,10,100,102,250,340,5,1.0,36,65,128,106,8,18,420,3,2,1,0.8999999999999999,1,1,0.7999999999999999
13,2466666,30,30,102,60,240,830,2,0.6,44,35,102,64,11,17,220,4,1,0,0.7,1,0,0.7
14,2466666,10,10,116,57,600,620,4,0.8999999999999999,36,67,86,54,11,8,500,6,2,0,0.8999999999999999,0,0,0.7
15,3100000,20,20,93,26,570,710,3,0.6,12,94,84,82,10,8,260,4,5,0,0.7999999999999999,0,1,0.6
16,2466666,20,20,100,64,350,640,3,0.8999999999999999,60,62,28,128,14,15,300,8,5,1,0.7999999999999999,0,1,0.7
17,1200000,10,10,107,37,700,880,1,0.5,30,106,66,32,10,8,20,3,4,0,1.0,0,1,0.5
18,1200000,10,10,64,32,100,160,5,0.7999999999999999,4,83,100,84,9,11,220,9,3,1,0.7,1,1,0.5
19,2466666,10,10,77,65,150,750,1,0.6,32,71,38,122,8,15,320,7,3,0,0.5,1,0,0.5
20,3100000,20,20,49,61,900,850,1,0.7999999999999999,6,98,34,114,9,18,100,10,2,1,1.0,1,0,1.0
21,2466666,10,10,80,117,180,510,5,0.6,36,67,68,36,9,9,360,8,8,1,0.7,1,0,0.7
22,3100000,30,30,127,98,410,660,5,0.5,58,102,116,38,8,13,260,6,8,1,0.7999999999999999,0,0,0.7999999999999999
23,1200000,20,20,123,100,320,330,5,1.0,58,37,114,76,13,15,300,2,7,0,0.8999999999999999,0,1,0.8999999999999999
24,1833333,15,15,83,73,930,480,1,0.7999999999999999,56,106,106,56,14,14,200,8,3,0,1.0,0,0,0.7
25,3100000,20,20,96,69,240,780,3,1.0,44,39,62,118,9,10,460,6,1,1,1.0,0,1,0.8999999999999999
26,1833333,10,10,113,98,120,930,2,0.7,64,101,46,70,12,11,360,9,8,0,1.0,0,0,0.6
27,3100000,20,20,39,84,380,760,3,0.7,24,59,112,36,12,11,160,8,5,0,0.6,0,0,0.7999999999999999
28,1833333,20,20,33,42,800,110,5,0.8999999999999999,56,34,118,104,10,18,100,9,7,0,0.6,1,1,1.0
29,1833333,30,30,102,29,560,680,3,1.0,16,119,94,60,9,10,80,1,5,0,0.7,1,1,0.6
30,2466666,15,15,106,28,380,130,4,0.6,58,102,98,120,13,15,380,9,1,0,1.0,0,0,0.8999999999999999
31,3100000,30,30,65,43,380,810,5,0.7999999999999999,58,63,26,60,14,15,200,3,6,0,0.7999999999999999,1,1,1.0
32,3100000,30,30,60,114,320,170,5,1.0,18,120,52,54,10,13,240,7,4,0,0.8999999999999999,1,1,0.5
33,2466666,15,15,30,81,140,900,3,0.5,16,97,34,102,11,8,100,2,8,0,0.6,1,0,0.5
34,1200000,30,30,69,49,320,140,4,0.5,16,55,64,54,10,12,80,3,7,1,0.5,1,0,1.0
35,1833333,30,30,71,28,470,520,2,0.6,18,30,124,58,11,11,500,9,1,0,0.8999999999999999,1,0,0.6
36,1200000,10,10,108,84,210,620,4,0.7,26,96,116,56,8,17,360,9,8,0,0.7999999999999999,1,0,0.7
