,cpufreq,uncore_min,uncore_max,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,3700000,20,20,29m,48k,540,560ms,2,0.6,36m,91k,36m,94k,14g,17g,360s,1s,7,false,0.5,false,false,0.7
1,3700000,10,10,76m,104k,960,760ms,1,0.8999999999999999,10m,54k,104m,84k,11g,9g,280s,6s,8,true,0.7,false,true,0.6
2,3700000,10,10,111m,110k,940,220ms,1,0.9999999999999999,46m,81k,38m,82k,14g,13g,200s,4s,5,false,0.6,true,true,0.7999999999999999
3,1000000,24,24,109m,58k,390,600ms,4,0.7999999999999999,34m,107k,108m,84k,8g,12g,380s,5s,5,false,0.9999999999999999,true,false,0.6
4,2800000,20,20,91m,25k,830,900ms,5,0.9999999999999999,30m,95k,122m,122k,9g,11g,300s,5s,4,false,0.8999999999999999,false,true,0.5
5,2800000,20,20,100m,125k,450,540ms,5,0.5,50m,111k,80m,124k,11g,11g,120s,2s,1,true,0.5,false,false,0.7
6,3700000,10,10,71m,78k,120,300ms,5,0.8999999999999999,58m,74k,46m,112k,11g,11g,140s,5s,8,true,0.7,false,true,0.9999999999999999
7,1000000,15,15,84m,47k,700,800ms,2,0.7999999999999999,40m,43k,42m,36k,13g,8g,340s,5s,4,false,0.7,true,true,0.7999999999999999
8,3700000,24,24,58m,86k,630,820ms,2,0.5,62m,98k,90m,100k,8g,11g,460s,3s,2,true,0.7,false,false,0.5
9,1000000,15,15,97m,36k,530,430ms,5,0.9999999999999999,62m,38k,108m,122k,8g,12g,280s,9s,8,false,0.9999999999999999,true,true,0.8999999999999999
10,2800000,24,24,111m,107k,330,270ms,5,0.7999999999999999,6m,29k,36m,40k,13g,13g,20s,1s,4,false,0.6,true,true,0.7
11,1000000,20,20,29m,38k,970,760ms,2,0.7,54m,80k,38m,50k,10g,9g,120s,2s,4,true,0.6,false,false,0.6
12,3700000,15,15,35m,49k,460,180ms,1,0.9999999999999999,12m,58k,30m,106k,10g,10g,460s,2s,4,true,0.9999999999999999,false,true,0.8999999999999999
13,1000000,24,24,30m,54k,130,850ms,4,0.8999999999999999,42m,110k,74m,36k,12g,8g,500s,9s,6,true,0.9999999999999999,true,true,0.8999999999999999
14,1000000,24,24,127m,121k,270,240ms,3,0.7,4m,30k,110m,76k,11g,18g,20s,5s,8,true,0.7,false,true,0.8999999999999999
15,3700000,10,10,75m,51k,560,240ms,3,0.8999999999999999,50m,103k,86m,42k,10g,9g,160s,4s,1,false,0.7,true,false,0.9999999999999999
16,1900000,24,24,128m,83k,270,780ms,2,0.6,4m,108k,98m,62k,11g,14g,300s,8s,6,true,0.5,true,false,0.7
17,2800000,15,15,106m,54k,230,640ms,1,0.6,18m,46k,92m,62k,11g,11g,20s,6s,7,false,0.6,false,false,0.6
18,3700000,15,15,109m,62k,590,160ms,1,0.5,10m,100k,38m,54k,9g,16g,420s,2s,6,true,0.8999999999999999,false,false,0.9999999999999999
19,1000000,24,24,28m,62k,410,170ms,4,0.8999999999999999,48m,115k,104m,104k,11g,16g,280s,4s,6,true,0.6,false,true,0.7999999999999999
20,3700000,24,24,52m,124k,530,170ms,1,0.7,26m,117k,112m,82k,8g,10g,60s,9s,5,true,0.7999999999999999,true,false,0.7999999999999999
21,1900000,24,24,67m,84k,460,490ms,5,0.9999999999999999,26m,29k,118m,126k,14g,13g,460s,1s,3,false,0.5,false,false,0.7
22,1900000,24,24,50m,87k,800,930ms,2,0.8999999999999999,24m,28k,112m,68k,10g,16g,200s,7s,8,false,0.5,false,true,0.6
23,3700000,20,20,30m,33k,120,710ms,5,0.5,36m,75k,66m,92k,14g,15g,120s,2s,5,true,0.8999999999999999,false,false,0.8999999999999999
24,3700000,20,20,75m,94k,210,310ms,3,0.7999999999999999,48m,70k,128m,58k,10g,10g,200s,8s,2,true,0.5,true,true,0.9999999999999999
25,1000000,15,15,70m,118k,120,150ms,3,0.7,56m,88k,52m,78k,9g,18g,60s,5s,6,true,0.7,true,true,0.5
26,2800000,24,24,112m,85k,530,970ms,3,0.8999999999999999,24m,106k,32m,46k,12g,13g,280s,9s,4,true,0.6,false,false,0.7999999999999999
27,3700000,15,15,34m,82k,710,480ms,2,0.5,28m,24k,84m,40k,10g,11g,280s,5s,3,false,0.5,false,false,0.8999999999999999
28,3700000,15,15,70m,112k,210,440ms,4,0.7,34m,52k,80m,126k,11g,8g,20s,7s,5,false,0.6,true,true,0.7
29,2800000,20,20,76m,68k,110,890ms,4,0.9999999999999999,50m,102k,124m,52k,8g,13g,20s,10s,4,true,0.9999999999999999,false,true,0.9999999999999999
30,1900000,10,10,59m,54k,380,170ms,4,0.6,58m,111k,82m,116k,10g,11g,380s,10s,1,true,0.7,true,true,0.6
31,1900000,15,15,80m,91k,690,340ms,4,0.7,50m,110k,24m,104k,13g,9g,80s,2s,3,false,0.7,true,true,0.6
32,1000000,24,24,114m,71k,780,280ms,3,0.7999999999999999,20m,94k,118m,32k,8g,16g,300s,9s,5,true,0.7,true,false,0.8999999999999999
33,1900000,10,10,66m,75k,390,370ms,4,0.5,58m,25k,36m,104k,11g,13g,220s,9s,5,true,0.5,false,false,0.7
34,1000000,10,10,76m,123k,740,410ms,3,0.6,32m,51k,102m,84k,14g,17g,280s,5s,2,false,0.6,true,true,0.5
35,3700000,10,10,92m,102k,150,190ms,4,0.9999999999999999,16m,118k,90m,30k,10g,13g,240s,5s,2,true,0.7,true,false,0.8999999999999999
36,1900000,15,15,30m,101k,120,830ms,5,0.7999999999999999,28m,27k,36m,94k,8g,14g,100s,1s,7,false,0.7999999999999999,true,false,0.7
37,3700000,20,20,126m,66k,960,170ms,1,0.6,54m,42k,28m,106k,11g,9g,400s,2s,6,true,0.5,false,true,0.6
38,1900000,24,24,106m,114k,390,760ms,1,0.7999999999999999,30m,104k,28m,38k,11g,16g,280s,7s,3,false,0.7,false,false,0.9999999999999999
39,2800000,15,15,49m,120k,450,310ms,3,0.5,14m,91k,52m,36k,12g,9g,360s,9s,5,true,0.7,true,true,0.8999999999999999
40,1900000,15,15,99m,77k,980,150ms,2,0.7999999999999999,58m,72k,92m,114k,13g,18g,460s,2s,8,false,0.7999999999999999,false,false,0.8999999999999999
41,1000000,10,10,75m,50k,130,140ms,4,0.6,28m,90k,34m,102k,13g,10g,200s,4s,6,false,0.8999999999999999,false,true,0.9999999999999999
42,3700000,20,20,110m,37k,220,320ms,4,0.7,22m,56k,56m,88k,11g,13g,400s,1s,2,false,0.7,true,false,0.5
43,1900000,20,20,79m,28k,740,320ms,5,0.8999999999999999,62m,120k,104m,34k,10g,18g,180s,5s,2,false,0.5,true,true,0.5
44,1000000,10,10,117m,121k,830,640ms,2,0.7,28m,65k,34m,32k,10g,16g,140s,7s,5,true,0.6,false,true,0.6
45,1900000,20,20,113m,64k,350,100ms,5,0.7999999999999999,8m,32k,40m,46k,10g,8g,80s,9s,8,true,0.6,true,true,0.9999999999999999
46,1900000,10,10,88m,63k,840,650ms,4,0.9999999999999999,58m,117k,106m,128k,12g,8g,220s,8s,8,true,0.7,false,false,0.7
47,1900000,15,15,98m,87k,550,160ms,4,0.9999999999999999,36m,60k,92m,96k,10g,8g,360s,5s,6,false,0.6,true,true,0.8999999999999999
48,1900000,20,20,95m,127k,800,670ms,4,0.7,18m,110k,126m,90k,12g,11g,240s,10s,2,true,0.6,true,true,0.8999999999999999
49,2800000,10,10,37m,52k,990,930ms,4,0.7999999999999999,58m,87k,102m,84k,14g,11g,480s,9s,6,true,0.7,true,true,0.5
50,3700000,24,24,108m,85k,220,570ms,3,0.8999999999999999,62m,84k,58m,108k,8g,18g,300s,8s,4,false,0.7,true,true,0.6
51,2800000,24,24,127m,60k,440,720ms,5,0.6,14m,70k,80m,96k,9g,8g,60s,2s,6,false,0.9999999999999999,true,true,0.6
52,1000000,10,10,38m,45k,520,420ms,2,0.8999999999999999,56m,102k,114m,92k,9g,16g,20s,6s,6,false,0.7999999999999999,true,true,0.7
53,1900000,15,15,83m,98k,440,260ms,1,0.5,22m,37k,112m,82k,11g,11g,200s,8s,5,true,0.5,true,false,0.8999999999999999
54,1000000,20,20,66m,89k,290,110ms,3,0.7999999999999999,32m,122k,76m,104k,13g,11g,380s,1s,1,true,0.6,true,false,0.7999999999999999
55,2800000,15,15,39m,30k,840,690ms,5,0.7,12m,95k,74m,48k,11g,13g,240s,10s,1,true,0.5,false,true,0.7999999999999999
56,3700000,20,20,97m,28k,920,720ms,4,0.6,28m,52k,128m,34k,12g,15g,460s,8s,7,true,0.7999999999999999,false,false,0.8999999999999999
57,1900000,24,24,112m,96k,880,230ms,2,0.9999999999999999,6m,52k,24m,76k,8g,18g,120s,7s,3,false,0.7,false,true,0.8999999999999999
58,2800000,15,15,43m,35k,480,110ms,3,0.9999999999999999,38m,124k,66m,114k,8g,16g,300s,8s,5,true,0.8999999999999999,false,true,0.7
59,1900000,20,20,41m,125k,360,720ms,3,0.8999999999999999,54m,25k,30m,90k,10g,10g,500s,3s,3,false,0.7999999999999999,false,true,0.8999999999999999
60,3700000,24,24,61m,126k,800,740ms,1,0.9999999999999999,18m,102k,60m,56k,9g,17g,260s,7s,3,true,0.7999999999999999,true,true,0.6
61,1000000,15,15,87m,121k,980,370ms,5,0.6,38m,93k,120m,56k,10g,9g,500s,2s,4,false,0.6,false,true,0.9999999999999999
62,1000000,24,24,93m,59k,980,770ms,1,0.6,42m,76k,102m,80k,11g,9g,180s,3s,5,true,0.7999999999999999,false,false,0.6
63,3700000,10,10,24m,27k,710,190ms,4,0.7999999999999999,28m,54k,82m,76k,8g,9g,420s,6s,4,true,0.7,false,false,0.6
64,1900000,20,20,94m,71k,310,570ms,4,0.7,32m,76k,102m,116k,8g,15g,460s,8s,4,false,0.8999999999999999,false,true,0.9999999999999999
65,3700000,15,15,32m,65k,190,100ms,3,0.5,56m,114k,64m,122k,13g,12g,120s,10s,2,false,0.9999999999999999,true,true,0.9999999999999999
66,1900000,24,24,101m,95k,730,600ms,5,0.5,40m,57k,24m,90k,9g,17g,360s,7s,4,false,0.6,false,false,0.6
67,3700000,20,20,118m,91k,640,860ms,5,0.7,42m,57k,36m,36k,8g,9g,220s,2s,5,true,0.6,false,false,0.6
68,1900000,20,20,119m,56k,250,950ms,3,0.6,34m,60k,98m,108k,9g,15g,40s,10s,5,true,0.6,true,true,0.7
69,1000000,24,24,36m,94k,1000,310ms,1,0.9999999999999999,4m,42k,32m,92k,11g,12g,480s,7s,6,false,0.7,true,false,0.7999999999999999
70,2800000,15,15,71m,61k,980,440ms,4,0.7,18m,82k,34m,122k,9g,11g,60s,10s,8,true,0.9999999999999999,true,true,0.8999999999999999
71,1000000,10,10,120m,107k,720,920ms,5,0.5,52m,88k,64m,92k,13g,8g,120s,6s,1,false,0.8999999999999999,false,false,0.7999999999999999
72,1000000,10,10,82m,59k,110,360ms,4,0.9999999999999999,26m,80k,98m,66k,11g,15g,20s,8s,5,true,0.5,true,false,0.6
73,1000000,15,15,43m,87k,260,490ms,1,0.9999999999999999,56m,126k,74m,76k,10g,9g,480s,6s,3,false,0.8999999999999999,false,true,0.6
74,3700000,20,20,32m,87k,700,890ms,3,0.7999999999999999,36m,119k,40m,54k,11g,11g,380s,8s,5,false,0.5,false,true,0.8999999999999999
75,1900000,24,24,80m,82k,500,650ms,4,0.9999999999999999,18m,74k,112m,88k,12g,15g,60s,6s,7,false,0.9999999999999999,true,false,0.7
76,2800000,10,10,59m,80k,640,640ms,1,0.5,44m,113k,110m,128k,12g,14g,360s,10s,2,true,0.5,false,true,0.6
77,2800000,15,15,49m,90k,890,610ms,5,0.7,56m,30k,76m,48k,9g,9g,300s,7s,7,true,0.5,true,false,0.9999999999999999
78,3700000,15,15,54m,104k,550,330ms,5,0.7999999999999999,8m,83k,82m,42k,14g,10g,180s,5s,5,true,0.9999999999999999,false,true,0.8999999999999999
79,2800000,24,24,94m,56k,210,380ms,2,0.7999999999999999,56m,52k,60m,90k,11g,8g,100s,4s,5,true,0.7,false,true,0.5
80,3700000,15,15,37m,31k,830,330ms,1,0.5,52m,118k,122m,76k,13g,11g,40s,10s,8,true,0.6,false,false,0.6
81,3700000,20,20,124m,97k,130,880ms,2,0.8999999999999999,52m,109k,126m,124k,9g,10g,200s,5s,4,false,0.7,false,true,0.5
82,1900000,15,15,37m,117k,610,990ms,1,0.9999999999999999,50m,112k,72m,108k,13g,12g,180s,7s,8,false,0.5,true,true,0.9999999999999999
83,3700000,10,10,124m,25k,870,990ms,3,0.9999999999999999,6m,93k,46m,94k,9g,12g,200s,7s,7,false,0.5,false,false,0.9999999999999999
84,2800000,15,15,39m,67k,620,610ms,4,0.7,26m,85k,52m,26k,13g,11g,360s,8s,2,true,0.5,true,true,0.6
85,1900000,24,24,89m,44k,340,980ms,2,0.6,4m,85k,40m,66k,12g,18g,480s,7s,3,true,0.5,false,true,0.7999999999999999
86,1900000,20,20,27m,73k,120,970ms,4,0.7999999999999999,58m,113k,122m,44k,9g,11g,400s,9s,3,false,0.8999999999999999,false,true,0.9999999999999999
87,3700000,15,15,105m,45k,360,960ms,2,0.9999999999999999,8m,94k,36m,86k,12g,10g,500s,4s,5,true,0.9999999999999999,false,true,0.7999999999999999
88,1900000,24,24,99m,109k,810,270ms,1,0.8999999999999999,18m,115k,44m,126k,12g,17g,500s,6s,3,true,0.7999999999999999,false,false,0.7
89,2800000,10,10,83m,77k,620,760ms,1,0.9999999999999999,22m,60k,44m,106k,9g,10g,120s,8s,8,true,0.7999999999999999,true,false,0.6
90,1900000,10,10,27m,64k,610,110ms,3,0.6,38m,29k,28m,70k,13g,14g,60s,9s,7,true,0.5,false,false,0.5
91,3700000,20,20,44m,127k,220,460ms,5,0.8999999999999999,6m,72k,92m,28k,13g,12g,260s,2s,7,false,0.5,true,false,0.9999999999999999
92,3700000,20,20,82m,80k,880,620ms,3,0.8999999999999999,6m,117k,62m,114k,10g,9g,140s,8s,2,true,0.7999999999999999,true,true,0.8999999999999999
93,1900000,20,20,100m,32k,620,980ms,1,0.5,14m,69k,52m,68k,13g,17g,460s,7s,4,false,0.7,false,true,0.9999999999999999
94,3700000,24,24,57m,60k,160,210ms,4,0.8999999999999999,64m,49k,62m,128k,12g,8g,500s,8s,3,true,0.7,false,false,0.6
95,1000000,24,24,53m,99k,1000,850ms,5,0.6,6m,72k,70m,82k,9g,11g,440s,4s,3,false,0.7,false,true,0.9999999999999999
96,1900000,24,24,108m,89k,810,800ms,1,0.5,60m,107k,128m,36k,8g,8g,120s,1s,6,true,0.5,true,true,0.7
97,3700000,20,20,107m,120k,760,900ms,4,0.8999999999999999,6m,55k,94m,68k,13g,16g,260s,1s,2,false,0.7999999999999999,false,false,0.7
98,1000000,24,24,33m,64k,680,450ms,4,0.7999999999999999,30m,57k,34m,70k,13g,12g,220s,7s,2,true,0.9999999999999999,false,true,0.6
99,2800000,10,10,114m,97k,150,890ms,3,0.9999999999999999,36m,48k,72m,80k,10g,13g,480s,7s,6,false,0.8999999999999999,true,true,0.8999999999999999
100,3700000,10,10,71m,118k,440,270ms,5,0.5,4m,80k,40m,100k,9g,17g,340s,3s,4,false,0.9999999999999999,false,true,0.7999999999999999
101,2800000,10,10,81m,66k,910,610ms,2,0.7,38m,101k,80m,120k,13g,14g,100s,6s,8,true,0.6,false,false,0.9999999999999999
