,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
0,3700000,20,20,29,48,540,560,2,0.6,36,91,36,94,14,17,360,1,7,0,0.5,0,0,0.7
1,3700000,10,10,76,104,960,760,1,0.8999999999999999,10,54,104,84,11,9,280,6,8,1,0.7,0,1,0.6
2,3700000,10,10,111,110,940,220,1,1.0,46,81,38,82,14,13,200,4,5,0,0.6,1,1,0.7999999999999999
3,1000000,24,24,109,58,390,600,4,0.7999999999999999,34,107,108,84,8,12,380,5,5,0,1.0,1,0,0.6
4,2800000,20,20,91,25,830,900,5,1.0,30,95,122,122,9,11,300,5,4,0,0.8999999999999999,0,1,0.5
5,2800000,20,20,100,125,450,540,5,0.5,50,111,80,124,11,11,120,2,1,1,0.5,0,0,0.7
6,3700000,10,10,71,78,120,300,5,0.8999999999999999,58,74,46,112,11,11,140,5,8,1,0.7,0,1,1.0
7,1000000,15,15,84,47,700,800,2,0.7999999999999999,40,43,42,36,13,8,340,5,4,0,0.7,1,1,0.7999999999999999
8,3700000,24,24,58,86,630,820,2,0.5,62,98,90,100,8,11,460,3,2,1,0.7,0,0,0.5
9,1000000,15,15,97,36,530,430,5,1.0,62,38,108,122,8,12,280,9,8,0,1.0,1,1,0.8999999999999999
10,2800000,24,24,111,107,330,270,5,0.7999999999999999,6,29,36,40,13,13,20,1,4,0,0.6,1,1,0.7
11,1000000,20,20,29,38,970,760,2,0.7,54,80,38,50,10,9,120,2,4,1,0.6,0,0,0.6
12,3700000,15,15,35,49,460,180,1,1.0,12,58,30,106,10,10,460,2,4,1,1.0,0,1,0.8999999999999999
13,1000000,24,24,30,54,130,850,4,0.8999999999999999,42,110,74,36,12,8,500,9,6,1,1.0,1,1,0.8999999999999999
14,1000000,24,24,127,121,270,240,3,0.7,4,30,110,76,11,18,20,5,8,1,0.7,0,1,0.8999999999999999
15,3700000,10,10,75,51,560,240,3,0.8999999999999999,50,103,86,42,10,9,160,4,1,0,0.7,1,0,1.0
16,1900000,24,24,128,83,270,780,2,0.6,4,108,98,62,11,14,300,8,6,1,0.5,1,0,0.7
17,2800000,15,15,106,54,230,640,1,0.6,18,46,92,62,11,11,20,6,7,0,0.6,0,0,0.6
18,3700000,15,15,109,62,590,160,1,0.5,10,100,38,54,9,16,420,2,6,1,0.8999999999999999,0,0,1.0
19,1000000,24,24,28,62,410,170,4,0.8999999999999999,48,115,104,104,11,16,280,4,6,1,0.6,0,1,0.7999999999999999
20,3700000,24,24,52,124,530,170,1,0.7,26,117,112,82,8,10,60,9,5,1,0.7999999999999999,1,0,0.7999999999999999
21,1900000,24,24,67,84,460,490,5,1.0,26,29,118,126,14,13,460,1,3,0,0.5,0,0,0.7
22,1900000,24,24,50,87,800,930,2,0.8999999999999999,24,28,112,68,10,16,200,7,8,0,0.5,0,1,0.6
23,3700000,20,20,30,33,120,710,5,0.5,36,75,66,92,14,15,120,2,5,1,0.8999999999999999,0,0,0.8999999999999999
24,3700000,20,20,75,94,210,310,3,0.7999999999999999,48,70,128,58,10,10,200,8,2,1,0.5,1,1,1.0
25,1000000,15,15,70,118,120,150,3,0.7,56,88,52,78,9,18,60,5,6,1,0.7,1,1,0.5
26,2800000,24,24,112,85,530,970,3,0.8999999999999999,24,106,32,46,12,13,280,9,4,1,0.6,0,0,0.7999999999999999
27,3700000,15,15,34,82,710,480,2,0.5,28,24,84,40,10,11,280,5,3,0,0.5,0,0,0.8999999999999999
28,3700000,15,15,70,112,210,440,4,0.7,34,52,80,126,11,8,20,7,5,0,0.6,1,1,0.7
29,2800000,20,20,76,68,110,890,4,1.0,50,102,124,52,8,13,20,10,4,1,1.0,0,1,1.0
30,1900000,10,10,59,54,380,170,4,0.6,58,111,82,116,10,11,380,10,1,1,0.7,1,1,0.6
31,1900000,15,15,80,91,690,340,4,0.7,50,110,24,104,13,9,80,2,3,0,0.7,1,1,0.6
32,1000000,24,24,114,71,780,280,3,0.7999999999999999,20,94,118,32,8,16,300,9,5,1,0.7,1,0,0.8999999999999999
33,1900000,10,10,66,75,390,370,4,0.5,58,25,36,104,11,13,220,9,5,1,0.5,0,0,0.7
34,1000000,10,10,76,123,740,410,3,0.6,32,51,102,84,14,17,280,5,2,0,0.6,1,1,0.5
35,3700000,10,10,92,102,150,190,4,1.0,16,118,90,30,10,13,240,5,2,1,0.7,1,0,0.8999999999999999
36,1900000,15,15,30,101,120,830,5,0.7999999999999999,28,27,36,94,8,14,100,1,7,0,0.7999999999999999,1,0,0.7
37,3700000,20,20,126,66,960,170,1,0.6,54,42,28,106,11,9,400,2,6,1,0.5,0,1,0.6
38,1900000,24,24,106,114,390,760,1,0.7999999999999999,30,104,28,38,11,16,280,7,3,0,0.7,0,0,1.0
39,2800000,15,15,49,120,450,310,3,0.5,14,91,52,36,12,9,360,9,5,1,0.7,1,1,0.8999999999999999
40,1900000,15,15,99,77,980,150,2,0.7999999999999999,58,72,92,114,13,18,460,2,8,0,0.7999999999999999,0,0,0.8999999999999999
41,1000000,10,10,75,50,130,140,4,0.6,28,90,34,102,13,10,200,4,6,0,0.8999999999999999,0,1,1.0
42,3700000,20,20,110,37,220,320,4,0.7,22,56,56,88,11,13,400,1,2,0,0.7,1,0,0.5
43,1900000,20,20,79,28,740,320,5,0.8999999999999999,62,120,104,34,10,18,180,5,2,0,0.5,1,1,0.5
44,1000000,10,10,117,121,830,640,2,0.7,28,65,34,32,10,16,140,7,5,1,0.6,0,1,0.6
45,1900000,20,20,113,64,350,100,5,0.7999999999999999,8,32,40,46,10,8,80,9,8,1,0.6,1,1,1.0
46,1900000,10,10,88,63,840,650,4,1.0,58,117,106,128,12,8,220,8,8,1,0.7,0,0,0.7
47,1900000,15,15,98,87,550,160,4,1.0,36,60,92,96,10,8,360,5,6,0,0.6,1,1,0.8999999999999999
48,1900000,20,20,95,127,800,670,4,0.7,18,110,126,90,12,11,240,10,2,1,0.6,1,1,0.8999999999999999
49,2800000,10,10,37,52,990,930,4,0.7999999999999999,58,87,102,84,14,11,480,9,6,1,0.7,1,1,0.5
50,3700000,24,24,108,85,220,570,3,0.8999999999999999,62,84,58,108,8,18,300,8,4,0,0.7,1,1,0.6
51,2800000,24,24,127,60,440,720,5,0.6,14,70,80,96,9,8,60,2,6,0,1.0,1,1,0.6
52,1000000,10,10,38,45,520,420,2,0.8999999999999999,56,102,114,92,9,16,20,6,6,0,0.7999999999999999,1,1,0.7
