,cpufreq,uncore_min,uncore_max,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
0,2400000,20,20,60m,88k,660,210ms,4,0.7,56m,128k,120m,102k,13g,10g,80s,3s,5,false,0.7,true,true,0.8999999999999999
1,2400000,20,20,105m,73k,570,530ms,2,0.5,26m,82k,50m,102k,8g,13g,420s,1s,1,true,0.8999999999999999,false,false,0.9999999999999999
2,1200000,15,15,48m,115k,410,900ms,2,0.8999999999999999,14m,69k,64m,92k,10g,8g,320s,9s,2,false,0.7999999999999999,false,true,0.8999999999999999
3,2400000,20,20,52m,93k,860,930ms,4,0.7,64m,109k,68m,68k,9g,12g,80s,6s,3,false,0.7,true,false,0.9999999999999999
4,1200000,20,20,54m,81k,160,720ms,2,0.8999999999999999,46m,24k,40m,76k,10g,18g,160s,3s,1,false,0.8999999999999999,false,false,0.6
5,1800000,30,30,38m,54k,770,910ms,3,0.7999999999999999,12m,42k,40m,92k,10g,15g,480s,9s,6,false,0.8999999999999999,true,true,0.7
6,2400000,30,30,87m,123k,680,620ms,1,0.6,56m,31k,36m,74k,11g,18g,260s,9s,7,false,0.7999999999999999,false,false,0.8999999999999999
7,3000000,30,30,111m,121k,590,220ms,5,0.8999999999999999,22m,71k,66m,96k,14g,15g,340s,5s,8,false,0.7,true,true,0.7999999999999999
8,2400000,10,10,59m,68k,750,920ms,2,0.6,18m,44k,90m,36k,11g,8g,320s,10s,5,true,0.5,true,true,0.7999999999999999
9,1800000,15,15,69m,50k,990,560ms,4,0.5,38m,96k,108m,82k,9g,9g,140s,8s,4,false,0.6,true,true,0.6
10,3000000,10,10,56m,116k,220,990ms,1,0.7999999999999999,20m,76k,46m,92k,10g,13g,60s,3s,4,false,0.7,false,false,0.5
11,1800000,10,10,51m,50k,530,120ms,2,0.6,58m,72k,30m,112k,10g,15g,280s,6s,8,true,0.5,false,true,0.7999999999999999
12,1200000,30,30,73m,99k,650,680ms,3,0.5,42m,30k,42m,26k,13g,17g,480s,7s,5,false,0.8999999999999999,false,true,0.7999999999999999
13,1200000,30,30,55m,54k,280,470ms,2,0.5,20m,52k,80m,40k,14g,10g,120s,10s,4,true,0.8999999999999999,false,false,0.7
14,1200000,20,20,71m,37k,550,440ms,4,0.7999999999999999,10m,27k,82m,92k,12g,11g,80s,6s,7,true,0.9999999999999999,true,true,0.5
15,2400000,20,20,128m,121k,180,380ms,3,0.9999999999999999,34m,35k,108m,44k,10g,12g,320s,8s,4,false,0.5,true,false,0.5
16,2400000,10,10,59m,83k,930,250ms,2,0.7999999999999999,8m,109k,116m,32k,10g,8g,360s,3s,4,false,0.9999999999999999,false,false,0.6
17,1800000,20,20,73m,85k,650,140ms,1,0.8999999999999999,8m,109k,52m,120k,10g,9g,280s,7s,3,false,0.7999999999999999,true,false,0.5
18,2400000,10,10,122m,31k,560,760ms,3,0.5,50m,31k,116m,118k,13g,12g,440s,6s,7,false,0.7999999999999999,false,true,0.9999999999999999
19,3000000,10,10,115m,92k,870,640ms,1,0.7999999999999999,48m,65k,110m,72k,11g,16g,260s,7s,6,false,0.6,true,true,0.7999999999999999
20,1800000,20,20,75m,41k,520,750ms,4,0.7,46m,30k,64m,74k,12g,18g,240s,10s,6,false,0.8999999999999999,false,true,0.9999999999999999
21,3000000,30,30,82m,72k,550,980ms,1,0.5,34m,111k,84m,26k,11g,11g,140s,8s,3,false,0.5,false,true,0.5
22,1200000,20,20,71m,69k,880,260ms,4,0.5,16m,34k,120m,52k,14g,13g,280s,2s,1,true,0.8999999999999999,true,true,0.9999999999999999
23,3000000,20,20,75m,59k,870,430ms,5,0.8999999999999999,60m,34k,110m,30k,11g,13g,120s,6s,5,false,0.7,false,false,0.6
24,1200000,10,10,111m,73k,410,860ms,5,0.8999999999999999,64m,67k,76m,28k,8g,9g,500s,10s,2,true,0.7999999999999999,false,true,0.8999999999999999
25,2400000,20,20,42m,31k,230,550ms,5,0.9999999999999999,54m,89k,26m,66k,9g,13g,40s,7s,8,true,0.5,false,true,0.7999999999999999
26,1800000,10,10,109m,33k,200,450ms,2,0.7,14m,106k,112m,104k,10g,17g,440s,1s,8,false,0.7999999999999999,true,false,0.9999999999999999
27,3000000,20,20,100m,33k,820,530ms,4,0.6,22m,90k,118m,78k,14g,14g,480s,9s,1,true,0.8999999999999999,false,false,0.8999999999999999
28,1200000,15,15,46m,28k,680,970ms,5,0.7999999999999999,64m,118k,28m,54k,8g,9g,140s,10s,3,false,0.5,true,false,0.7999999999999999
29,1200000,10,10,31m,32k,940,570ms,4,0.7999999999999999,64m,30k,110m,110k,11g,18g,360s,6s,8,false,0.8999999999999999,true,true,0.7
30,2400000,30,30,64m,86k,790,620ms,4,0.6,58m,94k,44m,106k,12g,9g,460s,1s,4,false,0.6,false,false,0.6
31,3000000,30,30,74m,38k,150,120ms,4,0.8999999999999999,28m,105k,68m,66k,10g,11g,120s,1s,6,false,0.5,false,true,0.8999999999999999
32,1200000,15,15,24m,77k,900,220ms,3,0.7,6m,62k,122m,62k,13g,14g,220s,9s,1,true,0.7999999999999999,false,true,0.5
33,1200000,10,10,42m,115k,180,880ms,5,0.7999999999999999,8m,117k,34m,92k,12g,10g,460s,8s,7,true,0.5,true,false,0.8999999999999999
34,1800000,30,30,126m,126k,670,630ms,2,0.7999999999999999,14m,96k,90m,44k,12g,14g,300s,6s,4,false,0.7999999999999999,true,false,0.9999999999999999
35,2400000,20,20,39m,110k,870,760ms,2,0.8999999999999999,6m,39k,34m,74k,11g,17g,340s,9s,6,false,0.5,true,true,0.8999999999999999
36,3000000,15,15,99m,89k,570,770ms,4,0.5,56m,76k,128m,120k,8g,12g,260s,4s,1,false,0.8999999999999999,true,false,0.7
