,cpufreq,uncore_min,uncore_max,reducermaxSizeInFlight,shufflefilebuffer,shufflesortbypassMergeThreshold,speculationinterval,speculationmultiplier,speculationquantile,broadcastblockSize,iocompressionsnappyblockSize,kryoserializerbuffermax,kryoserializerbuffer,drivermemory,executormemory,networktimeout,localitywait,taskmaxFailures,shufflecompress,memoryfraction,shufflespillcompress,broadcastcompress,memorystorageFraction
0,2400000,20,20,60,88,660,210,4,0.7,56,128,120,102,13,10,80,3,5,0,0.7,1,1,0.8999999999999999
1,2400000,20,20,105,73,570,530,2,0.5,26,82,50,102,8,13,420,1,1,1,0.8999999999999999,0,0,1.0
2,1200000,15,15,48,115,410,900,2,0.8999999999999999,14,69,64,92,10,8,320,9,2,0,0.7999999999999999,0,1,0.8999999999999999
3,2400000,20,20,52,93,860,930,4,0.7,64,109,68,68,9,12,80,6,3,0,0.7,1,0,1.0
4,1200000,20,20,54,81,160,720,2,0.8999999999999999,46,24,40,76,10,18,160,3,1,0,0.8999999999999999,0,0,0.6
5,1800000,30,30,38,54,770,910,3,0.7999999999999999,12,42,40,92,10,15,480,9,6,0,0.8999999999999999,1,1,0.7
6,2400000,30,30,87,123,680,620,1,0.6,56,31,36,74,11,18,260,9,7,0,0.7999999999999999,0,0,0.8999999999999999
7,3000000,30,30,111,121,590,220,5,0.8999999999999999,22,71,66,96,14,15,340,5,8,0,0.7,1,1,0.7999999999999999
8,2400000,10,10,59,68,750,920,2,0.6,18,44,90,36,11,8,320,10,5,1,0.5,1,1,0.7999999999999999
9,1800000,15,15,69,50,990,560,4,0.5,38,96,108,82,9,9,140,8,4,0,0.6,1,1,0.6
10,3000000,10,10,56,116,220,990,1,0.7999999999999999,20,76,46,92,10,13,60,3,4,0,0.7,0,0,0.5
11,1800000,10,10,51,50,530,120,2,0.6,58,72,30,112,10,15,280,6,8,1,0.5,0,1,0.7999999999999999
12,1200000,30,30,73,99,650,680,3,0.5,42,30,42,26,13,17,480,7,5,0,0.8999999999999999,0,1,0.7999999999999999
13,1200000,30,30,55,54,280,470,2,0.5,20,52,80,40,14,10,120,10,4,1,0.8999999999999999,0,0,0.7
14,1200000,20,20,71,37,550,440,4,0.7999999999999999,10,27,82,92,12,11,80,6,7,1,1.0,1,1,0.5
15,2400000,20,20,128,121,180,380,3,1.0,34,35,108,44,10,12,320,8,4,0,0.5,1,0,0.5
16,2400000,10,10,59,83,930,250,2,0.7999999999999999,8,109,116,32,10,8,360,3,4,0,1.0,0,0,0.6
17,1800000,20,20,73,85,650,140,1,0.8999999999999999,8,109,52,120,10,9,280,7,3,0,0.7999999999999999,1,0,0.5
18,2400000,10,10,122,31,560,760,3,0.5,50,31,116,118,13,12,440,6,7,0,0.7999999999999999,0,1,1.0
19,3000000,10,10,115,92,870,640,1,0.7999999999999999,48,65,110,72,11,16,260,7,6,0,0.6,1,1,0.7999999999999999
20,1800000,20,20,75,41,520,750,4,0.7,46,30,64,74,12,18,240,10,6,0,0.8999999999999999,0,1,1.0
21,3000000,30,30,82,72,550,980,1,0.5,34,111,84,26,11,11,140,8,3,0,0.5,0,1,0.5
22,1200000,20,20,71,69,880,260,4,0.5,16,34,120,52,14,13,280,2,1,1,0.8999999999999999,1,1,1.0
23,3000000,20,20,75,59,870,430,5,0.8999999999999999,60,34,110,30,11,13,120,6,5,0,0.7,0,0,0.6
24,1200000,10,10,111,73,410,860,5,0.8999999999999999,64,67,76,28,8,9,500,10,2,1,0.7999999999999999,0,1,0.8999999999999999
25,2400000,20,20,42,31,230,550,5,1.0,54,89,26,66,9,13,40,7,8,1,0.5,0,1,0.7999999999999999
26,1800000,10,10,109,33,200,450,2,0.7,14,106,112,104,10,17,440,1,8,0,0.7999999999999999,1,0,1.0
27,3000000,20,20,100,33,820,530,4,0.6,22,90,118,78,14,14,480,9,1,1,0.8999999999999999,0,0,0.8999999999999999
28,1200000,15,15,46,28,680,970,5,0.7999999999999999,64,118,28,54,8,9,140,10,3,0,0.5,1,0,0.7999999999999999
29,1200000,10,10,31,32,940,570,4,0.7999999999999999,64,30,110,110,11,18,360,6,8,0,0.8999999999999999,1,1,0.7
30,2400000,30,30,64,86,790,620,4,0.6,58,94,44,106,12,9,460,1,4,0,0.6,0,0,0.6
31,3000000,30,30,74,38,150,120,4,0.8999999999999999,28,105,68,66,10,11,120,1,6,0,0.5,0,1,0.8999999999999999
32,1200000,15,15,24,77,900,220,3,0.7,6,62,122,62,13,14,220,9,1,1,0.7999999999999999,0,1,0.5
33,1200000,10,10,42,115,180,880,5,0.7999999999999999,8,117,34,92,12,10,460,8,7,1,0.5,1,0,0.8999999999999999
34,1800000,30,30,126,126,670,630,2,0.7999999999999999,14,96,90,44,12,14,300,6,4,0,0.7999999999999999,1,0,1.0
35,2400000,20,20,39,110,870,760,2,0.8999999999999999,6,39,34,74,11,17,340,9,6,0,0.5,1,1,0.8999999999999999
36,3000000,15,15,99,89,570,770,4,0.5,56,76,128,120,8,12,260,4,1,0,0.8999999999999999,1,0,0.7
37,3000000,30,30,93,36,420,540,3,0.8999999999999999,58,91,110,80,10,9,280,10,7,1,0.5,1,0,1.0
38,1800000,15,15,84,108,990,630,1,1.0,22,54,48,56,13,18,360,2,1,1,0.5,1,0,0.8999999999999999
39,2400000,15,15,127,42,360,520,1,1.0,52,114,118,78,13,16,120,1,6,1,1.0,1,0,1.0
40,3000000,20,20,57,113,400,330,5,0.6,6,128,124,124,8,15,360,7,5,0,0.6,0,0,0.7999999999999999
41,3000000,20,20,103,117,450,400,3,1.0,16,124,102,66,8,11,480,7,1,1,0.6,0,1,0.8999999999999999
42,1800000,20,20,25,78,500,520,2,0.7999999999999999,38,67,90,108,12,15,420,10,3,1,0.8999999999999999,1,1,0.5
43,3000000,30,30,91,61,310,930,2,0.7,34,55,28,36,11,8,160,3,7,1,1.0,0,1,0.8999999999999999
44,1200000,20,20,121,86,710,860,3,0.8999999999999999,46,25,68,88,10,13,60,2,4,1,0.8999999999999999,0,0,0.7
45,2400000,30,30,79,56,990,880,2,0.7999999999999999,4,25,54,48,14,10,400,4,4,0,0.7999999999999999,0,1,0.7999999999999999
46,3000000,20,20,49,45,850,920,1,0.8999999999999999,60,35,104,128,13,16,260,6,8,0,0.6,1,1,0.7999999999999999
47,1800000,10,10,36,55,630,170,3,0.5,52,51,120,54,8,16,200,6,4,0,0.7999999999999999,0,1,0.7
48,2400000,20,20,89,51,360,210,2,0.7,8,77,112,64,13,10,260,4,3,0,0.8999999999999999,0,0,0.6
49,3000000,15,15,49,63,780,910,2,0.5,38,54,52,126,9,13,380,3,2,0,0.6,1,0,0.8999999999999999
50,1800000,15,15,86,70,430,450,5,0.6,14,33,56,124,14,16,460,10,6,1,0.5,0,1,0.7999999999999999
51,1800000,30,30,58,111,880,150,2,0.8999999999999999,4,46,82,46,11,11,220,2,4,1,0.6,0,1,1.0
52,2400000,30,30,108,92,450,650,3,0.6,52,105,118,92,12,10,80,4,2,1,0.8999999999999999,0,0,1.0
53,3000000,10,10,65,36,590,610,1,0.6,50,76,50,102,11,17,420,10,8,1,1.0,0,0,0.6
54,1200000,20,20,45,77,770,260,4,0.7999999999999999,48,105,114,76,10,13,60,2,6,1,0.6,1,1,0.8999999999999999
55,1200000,30,30,85,51,480,870,3,0.6,38,68,96,126,12,8,60,2,1,1,0.5,0,0,0.5
56,1800000,10,10,94,98,520,530,4,0.8999999999999999,18,80,120,118,8,8,400,3,4,1,1.0,1,1,0.5
