,Duration,Throughput
0,35.13,447.0
1,35.368,444.0
2,37.055,424.0
3,35.767,439.0
4,45.83,342.0
5,34.401,456.0
6,32.879,477.0
7,38.56,407.0
8,34.802,451.0
9,34.381,456.0
10,37.515,418.0
11,34.436,456.0
12,38.536,407.0
13,34.747,452.0
14,34.533,454.0
15,34.703,452.0
16,36.38,431.0
17,38.579,407.0
18,30.975,507.0
19,27.721,566.0
20,34.986,449.0
21,27.264,576.0
22,35.408,443.0
23,42.727,367.0
24,36.89,425.0
25,35.225,446.0
26,26.321,596.0
27,34.602,454.0
28,39.177,401.0
29,35.462,443.0
30,36.63,428.0
31,36.074,435.0
32,34.004,462.0
33,24.584,639.0
34,38.763,405.0
35,36.46,430.0
36,39.571,397.0
37,35.361,444.0
38,36.006,436.0
39,29.307,536.0
40,34.937,449.0
41,25.083,626.0
42,44.938,349.0
43,39.05,402.0
44,38.777,405.0
45,37.038,424.0
46,34.268,458.0
47,35.397,443.0
48,37.255,421.0
49,36.191,434.0
50,33.67,466.0
51,41.042,382.0
52,38.605,406.0
53,36.255,433.0
54,36.255,433.0
55,43.363,362.0
56,34.81,451.0
57,42.136,372.0
58,36.242,433.0
59,35.768,439.0
60,36.403,431.0
61,40.511,387.0
62,37.391,420.0
63,41.369,379.0
64,39.497,397.0
65,35.879,437.0
66,36.335,432.0
67,40.168,391.0
68,39.302,399.0
69,37.1,423.0
70,42.938,365.0
71,38.159,411.0
72,35.636,440.0
73,40.048,392.0
74,39.926,393.0
75,35.059,448.0
76,36.385,431.0
77,37.326,420.0
78,36.829,426.0
79,37.116,423.0
80,38.156,411.0
81,35.048,448.0
82,34.725,452.0
83,36.376,431.0
84,37.493,419.0
85,33.813,464.0
86,38.216,411.0
87,39.536,397.0
88,31.934,492.0
89,38.012,413.0
90,39.479,397.0
91,36.45,431.0
92,37.517,418.0
93,36.474,430.0
94,40.582,387.0
95,46.064,341.0
96,39.487,397.0
97,23.658,664.0
98,41.108,382.0
99,41.548,378.0
100,39.241,400.0
101,37.104,423.0
102,26.725,587.0
103,38.878,404.0
104,34.238,458.0
105,37.32,421.0
106,38.734,405.0
107,35.203,446.0
108,35.641,440.0
109,36.017,436.0
110,35.763,439.0
111,34.654,453.0
112,40.086,391.0
113,37.313,421.0
114,33.866,463.0
115,33.772,465.0
116,33.762,465.0
117,34.789,451.0
118,36.303,432.0
119,39.892,393.0
120,35.057,448.0
121,35.815,438.0
122,35.475,442.0
123,37.158,422.0
124,35.388,443.0
125,37.402,420.0
126,39.19,400.0
127,36.017,436.0
128,32.584,482.0
129,58.828,267.0
130,32.548,482.0
131,35.23,445.0
132,35.386,444.0
133,34.766,451.0
134,46.515,337.0
135,44.15,355.0
136,35.391,443.0
137,35.401,443.0
138,31.295,502.0
139,35.393,443.0
140,42.137,372.0
141,36.661,428.0
142,35.99,436.0
143,38.576,407.0
144,37.478,419.0
145,26.193,599.0
146,38.047,412.0
147,36.082,435.0
148,35.95,437.0
149,36.263,433.0
150,25.112,625.0
151,41.658,377.0
152,36.629,428.0
153,42.298,371.0
154,34.556,454.0
155,35.486,442.0
156,27.776,565.0
157,35.362,444.0
158,26.921,583.0
159,37.276,421.0
160,43.156,364.0
161,37.994,413.0
162,38.324,409.0
163,39.455,398.0
164,28.447,552.0
165,37.097,423.0
166,46.404,338.0
167,37.459,419.0
168,37.63,417.0
169,38.62,406.0
170,36.042,435.0
171,24.755,634.0
172,38.557,407.0
173,34.007,462.0
174,34.322,457.0
175,35.588,441.0
176,34.418,456.0
177,40.327,389.0
178,39.512,397.0
179,36.158,434.0
180,36.401,431.0
181,35.535,442.0
182,39.324,399.0
183,42.854,366.0
184,33.312,471.0
185,35.334,444.0
186,35.814,438.0
187,40.192,390.0
188,37.678,417.0
189,38.667,406.0
190,39.184,400.0
