,Duration,Throughput
0,20.196,1148713.0
1,20.96,1106842.0
2,22.287,1040939.0
3,19.811,1171037.0
4,25.902,895661.0
5,19.955,1162586.0
6,19.292,1202541.0
7,20.522,1130465.0
8,19.917,1164805.0
9,20.686,1121503.0
10,21.985,1055238.0
11,26.615,871667.0
12,21.738,1067228.0
13,20.093,1154602.0
14,20.857,1112308.0
15,20.515,1130851.0
16,21.124,1098249.0
17,26.132,887778.0
18,25.638,904884.0
19,21.785,1064926.0
20,20.501,1131623.0
21,21.313,1088510.0
22,20.165,1150479.0
23,25.873,896665.0
24,20.344,1140356.0
25,20.024,1158580.0
26,21.625,1072805.0
27,20.526,1130245.0
28,20.197,1148656.0
29,19.347,1199122.0
30,20.529,1130080.0
31,20.41,1136669.0
32,20.142,1151793.0
33,20.07,1155925.0
34,24.492,947224.0
35,19.701,1177575.0
36,25.86,897116.0
37,19.34,1199556.0
38,20.549,1128980.0
39,25.536,908498.0
40,20.307,1142434.0
41,21.168,1095966.0
42,25.912,895315.0
43,20.489,1132286.0
44,20.372,1138789.0
45,20.218,1147463.0
46,20.731,1119069.0
47,20.173,1150023.0
48,21.759,1066198.0
49,20.784,1116215.0
50,20.121,1152995.0
51,19.978,1161248.0
52,19.917,1164805.0
53,20.172,1150080.0
54,20.713,1120041.0
55,25.365,914623.0
56,21.264,1091018.0
57,25.806,898993.0
58,20.005,1159681.0
59,20.328,1141254.0
60,21.607,1073699.0
61,19.655,1180331.0
62,19.581,1184792.0
63,25.51,909424.0
64,24.827,934443.0
65,20.295,1143110.0
66,21.751,1066591.0
67,25.243,919043.0
68,24.728,938184.0
69,21.006,1104418.0
70,26.228,884528.0
71,19.755,1174357.0
72,20.073,1155752.0
73,20.627,1124711.0
74,21.402,1083983.0
75,20.826,1113964.0
76,19.969,1161771.0
77,20.839,1113269.0
78,20.306,1142491.0
79,20.23,1146783.0
80,20.522,1130465.0
81,20.667,1122534.0
82,19.849,1168795.0
83,20.724,1119447.0
84,24.523,946027.0
85,20.435,1135278.0
86,20.088,1154889.0
87,20.998,1104839.0
88,24.914,931180.0
89,21.119,1098509.0
90,20.402,1137115.0
91,21.029,1103210.0
92,20.401,1137170.0
93,19.667,1179611.0
94,26.322,881370.0
95,26.36,880099.0
96,26.238,884191.0
97,20.53,1130025.0
98,21.452,1081457.0
99,19.87,1167560.0
100,20.332,1141030.0
101,20.59,1126732.0
102,21.116,1098665.0
103,20.739,1118637.0
104,20.136,1152136.0
105,21.553,1076389.0
106,19.915,1164922.0
107,19.879,1167031.0
108,22.228,1043702.0
109,21.289,1089737.0
110,20.581,1127225.0
111,20.539,1129530.0
112,25.59,906581.0
113,20.499,1131734.0
114,19.979,1161190.0
115,21.433,1082416.0
116,20.342,1140469.0
117,21.221,1093229.0
118,21.97,1055959.0
119,24.329,953570.0
120,20.517,1130741.0
121,20.134,1152251.0
122,20.699,1120799.0
123,20.958,1106948.0
124,21.371,1085556.0
125,20.508,1131237.0
126,19.389,1196524.0
127,19.864,1167912.0
128,19.802,1171569.0
129,19.902,1165682.0
130,19.84,1169325.0
131,20.604,1125966.0
132,20.058,1156616.0
133,20.806,1115035.0
134,26.469,876475.0
135,26.053,890470.0
136,20.466,1133559.0
137,20.091,1154717.0
138,19.418,1194738.0
139,19.674,1179191.0
140,24.946,929985.0
141,20.462,1133780.0
142,19.503,1189530.0
143,20.961,1106789.0
144,21.555,1076289.0
145,20.76,1117505.0
146,20.997,1104892.0
147,19.682,1178712.0
148,20.82,1114285.0
149,19.709,1177097.0
150,20.539,1129530.0
151,25.864,896977.0
152,20.048,1157193.0
153,26.728,867981.0
154,20.198,1148599.0
155,20.714,1119987.0
156,20.72,1119663.0
157,20.309,1142322.0
158,19.749,1174713.0
159,19.704,1177396.0
160,26.13,887846.0
161,21.559,1076089.0
162,20.505,1131403.0
163,21.06,1101587.0
164,20.885,1110817.0
165,20.049,1157136.0
166,25.509,909460.0
167,21.148,1097003.0
168,21.218,1093384.0
169,20.418,1136224.0
170,20.344,1140356.0
171,21.034,1102948.0
172,20.704,1120528.0
173,20.074,1155695.0
174,19.967,1161888.0
175,18.933,1225343.0
176,20.962,1106737.0
177,21.141,1097366.0
178,19.172,1210067.0
179,21.437,1082214.0
180,20.239,1146273.0
181,20.709,1120257.0
182,21.799,1064242.0
183,24.946,929985.0
184,19.9,1165800.0
185,21.344,1086929.0
186,19.849,1168795.0
187,20.84,1113216.0
188,21.418,1083174.0
189,25.2,920612.0
190,21.111,1098925.0
191,25.349,915200.0
192,25.294,917190.0
193,25.832,898088.0
194,20.487,1132397.0
195,21.161,1096329.0
196,19.777,1173050.0
197,22.176,1046150.0
198,21.088,1100124.0
199,20.458,1134002.0
200,20.097,1154372.0
201,20.838,1113322.0
202,20.376,1138566.0
203,20.517,1130741.0
204,26.295,882275.0
205,20.585,1127006.0
206,21.12,1098457.0
207,20.688,1121395.0
208,24.519,946181.0
209,21.006,1104418.0
210,20.142,1151793.0
211,21.094,1099811.0
212,25.201,920575.0
213,24.645,941343.0
214,20.271,1144463.0
215,25.909,895419.0
216,25.192,920904.0
217,24.654,941000.0
218,24.841,933916.0
219,21.314,1088459.0
220,20.797,1115517.0
221,25.291,917299.0
222,19.772,1173347.0
223,19.84,1169325.0
224,25.381,914046.0
225,20.092,1154659.0
226,25.759,900633.0
227,25.014,927457.0
228,19.718,1176560.0
229,20.637,1124166.0
230,20.253,1145480.0
231,25.405,913183.0
232,26.48,876111.0
233,19.844,1169090.0
234,20.863,1111988.0
235,20.393,1137616.0
236,21.056,1101796.0
237,20.969,1106367.0
238,20.692,1121178.0
239,20.964,1106631.0
240,20.778,1116537.0
241,20.674,1122154.0
242,21.986,1055190.0
243,19.881,1166914.0
244,20.781,1116376.0
245,21.035,1102896.0
246,20.714,1119987.0
247,26.72,868241.0
248,21.247,1091891.0
249,20.088,1154889.0
250,20.516,1130796.0
251,26.399,878799.0
252,21.069,1101116.0
253,20.441,1134945.0
254,25.425,912465.0
255,26.533,874361.0
256,26.467,876541.0
257,21.56,1076040.0
258,25.576,907077.0
259,19.778,1172991.0
260,20.693,1121124.0
261,19.892,1166268.0
262,20.447,1134612.0
263,21.62,1073053.0
264,21.318,1088255.0
265,20.525,1130300.0
266,20.623,1124929.0
267,20.335,1140861.0
268,20.451,1134390.0
269,21.303,1089021.0
270,20.657,1123078.0
271,20.945,1107635.0
272,25.693,902947.0
273,25.818,898575.0
274,20.259,1145141.0
275,26.241,884090.0
276,25.647,904566.0
277,22.556,1028525.0
278,20.679,1121883.0
279,20.87,1111615.0
280,21.515,1078290.0
281,25.531,908676.0
282,20.267,1144689.0
283,21.825,1062974.0
284,21.307,1088816.0
285,20.499,1131734.0
286,20.668,1122480.0
287,20.396,1137449.0
288,20.477,1132950.0
289,20.136,1152136.0
290,20.399,1137282.0
291,20.768,1117075.0
292,20.079,1155407.0
293,21.1,1099498.0
294,20.606,1125857.0
295,20.476,1133005.0
296,20.372,1138789.0
297,20.603,1126021.0
298,22.696,1022181.0
299,26.13,887846.0
300,21.328,1087744.0
301,20.159,1150822.0
302,25.472,910781.0
303,21.267,1090864.0
304,26.402,878699.0
305,20.489,1132286.0
306,20.224,1147123.0
307,20.007,1159565.0
308,20.584,1127060.0
309,20.33,1141142.0
310,20.784,1116215.0
311,25.471,910817.0
312,18.017,1287640.0
313,20.285,1143673.0
314,20.791,1115839.0
315,20.592,1126623.0
316,20.185,1149339.0
317,21.736,1067327.0
318,22.003,1054375.0
319,21.071,1101011.0
320,24.767,936707.0
321,24.73,938108.0
322,20.19,1149055.0
323,20.514,1130906.0
324,20.186,1149282.0
325,22.673,1023218.0
326,20.862,1112042.0
327,20.519,1130631.0
328,19.771,1173406.0
329,21.911,1058802.0
330,20.401,1137170.0
331,25.062,925681.0
332,20.842,1113109.0
333,20.978,1105892.0
334,20.866,1111828.0
335,25.23,919517.0
336,20.755,1117775.0
337,20.104,1153970.0
338,20.808,1114928.0
339,20.153,1151164.0
340,19.94,1163461.0
341,20.696,1120961.0
342,19.441,1193324.0
343,20.688,1121395.0
344,20.557,1128541.0
345,19.848,1168854.0
346,22.18,1045961.0
347,20.664,1122697.0
348,24.927,930694.0
349,20.935,1108164.0
350,21.463,1080903.0
351,20.605,1125912.0
352,20.746,1118260.0
353,19.974,1161481.0
354,20.751,1117990.0
355,20.164,1150536.0
356,20.304,1142603.0
357,21.103,1099342.0
358,20.847,1112842.0
359,25.192,920904.0
360,25.451,911532.0
361,20.46,1133891.0
362,24.989,928385.0
363,20.616,1125311.0
364,21.089,1100072.0
365,26.991,859524.0
366,20.467,1133503.0
367,19.994,1160319.0
368,20.697,1120907.0
369,20.412,1136558.0
370,21.039,1102686.0
371,20.363,1139292.0
372,20.078,1155464.0
