,Duration,Throughput
0,11.095,31460.0
1,9.154,38131.0
2,9.163,38093.0
3,10.897,32032.0
4,14.169,24635.0
5,10.53,33148.0
6,10.007,34880.0
7,10.911,31991.0
8,9.158,38114.0
9,9.448,36944.0
10,9.828,35516.0
11,14.466,24129.0
12,9.874,35350.0
13,9.386,37188.0
14,9.337,37383.0
15,8.957,38969.0
16,9.745,35818.0
17,15.244,22897.0
18,14.173,24628.0
19,10.511,33208.0
20,9.095,38378.0
21,10.009,34874.0
22,9.506,36719.0
23,13.93,25057.0
24,12.051,28964.0
25,9.847,35447.0
26,11.992,29107.0
27,9.511,36700.0
28,10.945,31891.0
29,10.967,31827.0
30,10.462,33363.0
31,9.376,37228.0
32,9.035,38633.0
33,9.392,37165.0
34,13.376,26095.0
35,9.977,34985.0
36,14.096,24762.0
37,10.49,33274.0
38,10.874,32099.0
39,13.573,25716.0
40,9.336,37387.0
41,9.496,36758.0
42,13.867,25171.0
43,9.827,35519.0
44,9.418,37062.0
45,9.189,37986.0
46,9.414,37078.0
47,9.15,38147.0
48,11.104,31434.0
49,9.923,35176.0
50,9.207,37911.0
51,11.051,31585.0
52,11.648,29966.0
53,9.28,37613.0
54,9.599,36363.0
55,14.066,24815.0
56,9.543,36576.0
57,13.604,25658.0
58,9.751,35796.0
59,10.887,32061.0
60,9.384,37196.0
61,10.059,34700.0
62,10.116,34505.0
63,15.308,22802.0
64,13.96,25003.0
65,9.082,38433.0
66,10.251,34050.0
67,13.598,25669.0
68,13.357,26132.0
69,11.014,31691.0
70,14.911,23409.0
71,9.039,38616.0
72,8.803,39651.0
73,10.088,34600.0
74,10.113,34515.0
75,9.88,35329.0
76,10.654,32762.0
77,10.565,33038.0
78,10.904,32011.0
79,9.924,35172.0
80,10.201,34217.0
81,9.264,37678.0
82,9.332,37403.0
83,9.147,38160.0
84,13.344,26158.0
85,9.597,36371.0
86,11.262,30993.0
87,9.451,36933.0
88,13.537,25785.0
89,9.999,34908.0
90,10.768,32415.0
91,8.932,39079.0
92,9.1,38357.0
93,10.865,32126.0
94,13.919,25077.0
95,14.811,23567.0
96,13.727,25428.0
97,9.317,37464.0
98,9.867,35375.0
99,11.387,30653.0
100,11.092,31468.0
101,9.619,36287.0
102,10.289,33924.0
103,9.479,36823.0
104,9.141,38185.0
105,10.15,34389.0
106,10.262,34014.0
107,9.314,37476.0
108,11.494,30368.0
109,9.416,37070.0
110,9.351,37327.0
111,9.426,37030.0
112,14.503,24067.0
113,10.298,33895.0
114,8.727,39997.0
115,9.815,35563.0
116,8.983,38857.0
117,8.801,39660.0
118,10.207,34197.0
119,13.387,26074.0
120,9.633,36235.0
121,11.112,31412.0
122,8.941,39039.0
123,9.322,37444.0
124,11.331,30805.0
125,11.555,30208.0
126,10.01,34870.0
127,9.677,36070.0
128,10.466,33351.0
129,10.943,31897.0
130,9.155,38127.0
131,9.086,38416.0
132,9.755,35782.0
133,9.035,38633.0
134,15.295,22821.0
135,15.232,22915.0
136,9.76,35763.0
137,9.83,35509.0
138,9.259,37698.0
139,10.312,33849.0
140,13.432,25986.0
141,11.367,30707.0
142,10.328,33796.0
143,9.721,35907.0
144,11.337,30788.0
145,10.386,33608.0
146,9.376,37228.0
147,11.092,31468.0
148,9.77,35727.0
149,10.809,32292.0
150,9.54,36588.0
151,14.601,23906.0
152,11.023,31665.0
153,14.078,24794.0
154,8.938,39052.0
155,8.967,38926.0
156,8.945,39022.0
157,9.401,37129.0
158,9.148,38156.0
159,10.491,33271.0
160,14.797,23589.0
161,9.879,35332.0
162,9.385,37192.0
163,9.424,37038.0
164,11.174,31238.0
165,10.193,34244.0
166,14.175,24624.0
167,10.292,33915.0
168,10.13,34457.0
169,9.074,38467.0
170,9.587,36409.0
171,9.441,36972.0
172,11.467,30439.0
173,10.656,32756.0
174,10.974,31807.0
175,9.117,38286.0
176,9.408,37101.0
177,10.475,33322.0
178,10.068,34669.0
179,9.044,38595.0
180,11.277,30952.0
181,11.268,30977.0
182,10.269,33991.0
183,14.508,24059.0
184,10.672,32707.0
185,10.872,32105.0
