,Duration,Throughput
0,21.437,46683428.0
1,19.564,51152762.0
2,19.99,50062663.0
3,20.703,48338533.0
4,24.468,40900467.0
5,21.927,45640199.0
6,21.756,45998926.0
7,21.263,47065449.0
8,20.904,47873739.0
9,19.72,50748105.0
10,20.359,49155294.0
11,24.277,41222253.0
12,19.67,50877104.0
13,20.628,48514283.0
14,20.327,49232678.0
15,21.536,46468826.0
16,21.252,47089810.0
17,24.218,41322679.0
18,24.138,41459634.0
19,20.372,49123927.0
20,19.447,51460515.0
21,20.388,49085376.0
22,20.472,48883970.0
23,24.499,40848714.0
24,20.95,47768622.0
25,19.548,51194631.0
26,21.36,46851715.0
27,20.045,49925300.0
28,21.977,45536363.0
29,20.207,49525048.0
30,21.037,47571072.0
31,20.782,48154780.0
32,19.705,50786736.0
33,19.743,50688985.0
34,23.603,42399383.0
35,21.411,46740117.0
36,24.579,40715759.0
37,21.203,47198634.0
38,22.17,45139948.0
39,24.383,41043048.0
40,20.211,49515246.0
41,20.89,47905823.0
42,24.732,40463878.0
43,20.266,49380866.0
44,19.816,50502253.0
45,19.822,50486966.0
46,20.732,48270916.0
47,20.693,48361892.0
48,21.527,46488254.0
49,20.187,49574114.0
50,19.893,50306773.0
51,20.947,47775464.0
52,21.425,46709575.0
53,20.0,50037632.0
54,20.512,48788643.0
55,25.741,38877768.0
56,20.645,48474335.0
57,23.462,42654191.0
58,20.43,48984466.0
59,20.938,47796000.0
60,22.273,44931201.0
61,20.576,48636890.0
62,21.01,47632206.0
63,24.93,40142505.0
64,24.009,41682396.0
65,20.274,49361381.0
66,20.761,48203489.0
67,24.594,40690926.0
68,24.205,41344872.0
69,21.09,47451524.0
70,24.002,41694552.0
71,19.911,50261295.0
72,19.463,51418211.0
73,22.375,44726375.0
74,20.51,48793400.0
75,20.822,48062273.0
76,20.204,49532401.0
77,20.761,48203489.0
78,21.162,47290078.0
79,20.082,49833315.0
80,22.06,45365033.0
81,20.02,49987644.0
82,19.806,50527751.0
83,20.375,49116694.0
84,23.506,42574349.0
85,19.977,50095242.0
86,22.012,45463958.0
87,20.135,49702143.0
88,23.798,42051964.0
89,20.582,48622711.0
90,21.209,47185282.0
91,20.113,49756508.0
92,19.309,51828300.0
93,21.715,46085777.0
94,24.704,40509741.0
95,25.208,39699803.0
96,24.01,41680660.0
97,19.978,50092734.0
98,20.664,48429764.0
99,22.004,45480487.0
100,21.787,45933476.0
101,19.055,52519162.0
102,20.455,48924597.0
103,20.67,48415706.0
104,20.828,48048427.0
105,21.409,46744483.0
106,21.661,46200667.0
107,20.482,48860103.0
108,22.343,44790433.0
109,20.507,48800538.0
110,20.394,49070935.0
111,19.414,51547988.0
112,23.836,41984924.0
113,19.975,50100257.0
114,19.879,50342202.0
115,20.338,49206050.0
116,20.678,48396975.0
117,20.732,48270916.0
118,20.301,49295731.0
119,23.577,42446140.0
120,20.084,49828353.0
121,21.402,46759772.0
122,19.692,50820264.0
123,19.758,50650503.0
124,21.89,45717343.0
125,22.546,44387148.0
126,21.368,46834174.0
127,19.873,50357402.0
128,22.198,45083009.0
129,21.04,47564289.0
130,20.695,48357219.0
131,21.101,47426787.0
132,19.745,50683851.0
133,20.58,48627436.0
134,24.455,40922210.0
135,24.736,40457335.0
136,21.427,46705215.0
137,20.303,49290875.0
138,19.019,52618573.0
139,21.955,45581992.0
140,23.81,42030770.0
141,21.139,47341532.0
142,21.11,47406567.0
143,20.868,47956327.0
144,21.893,45711078.0
145,21.77,45969345.0
146,20.63,48509580.0
147,21.428,46703035.0
148,20.636,48495476.0
149,21.346,46882444.0
150,20.47,48888746.0
151,24.195,41361961.0
152,22.211,45056622.0
153,24.75,40434450.0
154,19.875,50352334.0
155,21.085,47462776.0
156,20.373,49121516.0
157,19.766,50630003.0
158,20.213,49510347.0
159,21.445,46666013.0
160,24.221,41317561.0
161,19.263,51952066.0
162,21.058,47523632.0
163,20.739,48254624.0
164,21.303,46977075.0
165,20.383,49097416.0
166,24.455,40922210.0
167,20.029,49965182.0
168,20.643,48479031.0
169,20.744,48242993.0
170,21.164,47285609.0
171,19.832,50461509.0
172,21.421,46718297.0
173,20.642,48481380.0
174,21.326,46926411.0
175,20.391,49078154.0
176,20.037,49945233.0
177,19.672,50871932.0
178,20.296,49307875.0
179,20.371,49126338.0
180,21.585,46363337.0
181,22.818,43858035.0
182,20.014,50002630.0
183,24.166,41411596.0
184,21.024,47600487.0
185,20.834,48034590.0
186,20.706,48331529.0
187,20.185,49579026.0
188,21.678,46164436.0
189,23.804,42041364.0
190,21.06,47519119.0
191,24.393,41026222.0
192,24.622,40644653.0
193,24.364,41075055.0
194,19.102,52389940.0
195,19.627,50988569.0
196,20.009,50015125.0
197,19.594,51074443.0
198,19.973,50105274.0
199,19.76,50645377.0
200,22.013,45461892.0
201,20.009,50015125.0
202,20.045,49925300.0
203,20.487,48848179.0
204,25.101,39869035.0
205,19.739,50699257.0
