,Duration,Throughput
0,11.708,92968.0
1,11.015,98817.0
2,10.939,99504.0
3,11.755,92597.0
4,15.25,71375.0
5,11.792,92306.0
6,11.695,93072.0
7,12.177,89388.0
8,11.289,96419.0
9,10.614,102551.0
10,10.861,100219.0
11,15.155,71823.0
12,10.822,100580.0
13,10.866,100172.0
14,11.148,97638.0
15,10.922,99659.0
16,10.51,103566.0
17,15.372,70809.0
18,14.94,72856.0
19,10.629,102406.0
20,10.698,101746.0
21,11.389,95572.0
22,10.687,101850.0
23,14.717,73960.0
24,12.018,90570.0
25,10.485,103812.0
26,12.214,89117.0
27,10.922,99659.0
28,11.762,92541.0
29,11.283,96470.0
30,10.561,103065.0
31,10.633,102368.0
32,10.803,100757.0
33,10.906,99805.0
34,14.089,77257.0
35,11.199,97194.0
36,15.35,70910.0
37,11.508,94584.0
38,11.84,91932.0
39,14.491,75114.0
40,11.394,95530.0
41,10.646,102243.0
42,15.407,70648.0
43,10.44,104260.0
44,10.578,102900.0
45,10.8,100785.0
46,10.676,101955.0
47,10.526,103408.0
48,11.846,91885.0
49,10.784,100934.0
50,10.1,107770.0
51,12.287,88587.0
52,12.496,87106.0
53,10.368,104984.0
54,10.491,103753.0
55,14.825,73421.0
56,12.256,88811.0
57,14.619,74456.0
58,10.72,101537.0
59,11.292,96393.0
60,10.899,99869.0
61,11.401,95472.0
62,11.488,94749.0
63,14.851,73293.0
64,14.456,75296.0
65,11.78,92400.0
66,12.074,90150.0
67,14.417,75499.0
68,14.206,76621.0
69,12.037,90427.0
70,14.849,73303.0
71,10.731,101433.0
72,10.655,102156.0
73,10.931,99577.0
74,11.351,95892.0
75,11.08,98238.0
76,11.469,94906.0
77,11.851,91847.0
78,11.632,93576.0
79,10.42,104460.0
80,11.465,94939.0
81,10.718,101556.0
82,10.948,99422.0
83,11.352,95884.0
84,14.125,77060.0
85,10.693,101793.0
86,11.94,91162.0
87,10.85,100320.0
88,14.121,77082.0
89,11.123,97858.0
90,11.582,93980.0
91,11.186,97307.0
92,10.599,102696.0
93,11.531,94395.0
94,14.136,77000.0
95,14.804,73526.0
96,14.551,74804.0
97,10.305,105626.0
98,10.948,99422.0
99,11.926,91269.0
100,11.722,92857.0
101,10.167,107059.0
102,11.331,96062.0
103,10.85,100320.0
104,10.917,99704.0
105,10.75,101253.0
106,11.705,92992.0
107,10.542,103251.0
108,11.882,91607.0
109,10.664,102070.0
110,10.56,103075.0
111,10.874,100099.0
112,15.686,69391.0
113,10.442,104240.0
114,10.431,104350.0
115,10.484,103822.0
116,10.387,104792.0
117,10.553,103144.0
118,11.032,98665.0
119,14.054,77449.0
120,10.803,100757.0
121,11.458,94997.0
122,10.755,101206.0
123,11.134,97761.0
124,12.263,88761.0
125,12.381,87915.0
126,11.279,96504.0
127,10.912,99750.0
128,12.551,86724.0
129,11.523,94461.0
130,10.778,100990.0
131,10.861,100219.0
132,10.925,99631.0
133,10.874,100099.0
134,15.7,69329.0
135,15.164,71780.0
136,11.167,97472.0
137,11.38,95648.0
138,10.897,99887.0
139,11.472,94881.0
140,14.895,73076.0
141,11.86,91777.0
142,11.484,94782.0
143,10.437,104290.0
144,12.192,89278.0
145,11.465,94939.0
146,11.168,97464.0
147,11.705,92992.0
148,10.906,99805.0
149,11.533,94379.0
150,10.325,105421.0
151,14.79,73595.0
152,12.261,88775.0
153,14.657,74263.0
154,10.861,100219.0
155,11.099,98070.0
156,11.115,97928.0
157,10.622,102474.0
158,10.877,100071.0
159,11.776,92431.0
160,14.859,73253.0
161,10.712,101613.0
162,10.984,99096.0
163,11.034,98647.0
164,11.784,92369.0
