,Duration,Throughput
0,9.241,292.0
1,7.837,345.0
2,8.144,332.0
3,9.469,285.0
4,12.673,213.0
5,9.176,294.0
6,8.901,303.0
7,9.432,286.0
8,7.823,345.0
9,7.608,355.0
10,7.74,349.0
11,12.514,216.0
12,8.167,331.0
13,7.549,358.0
14,7.991,338.0
15,8.607,314.0
16,7.888,343.0
17,12.513,216.0
18,12.562,215.0
19,8.098,334.0
20,7.626,354.0
21,8.06,335.0
22,7.619,355.0
23,12.042,224.0
24,9.578,282.0
25,7.684,352.0
26,9.723,278.0
27,7.559,357.0
28,9.413,287.0
29,8.964,301.0
30,7.831,345.0
31,7.645,353.0
32,7.709,350.0
33,7.697,351.0
34,12.277,220.0
35,8.752,309.0
36,12.588,214.0
37,9.16,295.0
38,9.435,286.0
39,12.861,210.0
40,7.773,348.0
41,8.381,322.0
42,12.264,220.0
43,8.109,333.0
44,7.682,352.0
45,7.624,354.0
46,7.569,357.0
47,7.558,357.0
48,10.39,260.0
49,8.016,337.0
50,7.939,340.0
51,9.671,279.0
52,9.472,285.0
53,7.562,357.0
54,7.77,348.0
55,12.162,222.0
56,8.017,337.0
57,11.764,230.0
58,7.658,353.0
59,9.82,275.0
60,8.302,325.0
61,8.989,301.0
62,9.237,292.0
63,12.402,218.0
64,11.907,227.0
65,7.636,354.0
66,9.27,291.0
67,12.333,219.0
68,11.561,234.0
69,9.356,289.0
70,13.311,203.0
71,7.562,357.0
72,7.623,354.0
73,7.73,350.0
74,7.726,350.0
75,8.079,334.0
76,7.671,352.0
77,9.027,299.0
78,9.125,296.0
79,7.66,353.0
80,8.92,303.0
81,7.667,352.0
82,8.165,331.0
83,7.527,359.0
84,11.832,228.0
85,7.652,353.0
86,9.033,299.0
87,7.717,350.0
88,11.58,233.0
89,7.835,345.0
90,9.019,300.0
91,8.202,329.0
92,7.802,346.0
93,9.155,295.0
94,12.547,215.0
95,12.079,224.0
96,11.776,229.0
97,7.833,345.0
98,9.122,296.0
99,9.712,278.0
100,9.285,291.0
101,7.824,345.0
102,8.324,325.0
103,8.813,307.0
104,7.855,344.0
105,7.795,347.0
106,9.274,291.0
107,7.513,360.0
108,10.326,262.0
109,8.278,326.0
110,8.045,336.0
111,7.532,359.0
112,12.065,224.0
113,8.012,337.0
114,7.855,344.0
115,7.798,346.0
116,7.9,342.0
117,9.016,300.0
118,8.278,326.0
119,11.682,231.0
120,7.687,351.0
121,9.262,292.0
122,7.569,357.0
123,7.614,355.0
124,9.748,277.0
125,9.644,280.0
126,9.635,280.0
127,8.018,337.0
128,9.132,296.0
129,9.102,297.0
130,7.588,356.0
131,7.615,355.0
132,7.695,351.0
133,7.698,351.0
134,12.737,212.0
135,12.466,217.0
136,7.831,345.0
137,7.773,348.0
138,7.544,358.0
139,8.728,310.0
140,11.726,230.0
141,9.196,294.0
142,9.062,298.0
143,8.233,328.0
144,9.537,283.0
145,9.609,281.0
146,7.84,345.0
147,9.296,291.0
148,7.759,348.0
149,9.499,284.0
150,8.157,331.0
151,12.205,221.0
152,9.173,294.0
153,12.426,217.0
154,7.709,350.0
155,7.724,350.0
156,7.898,342.0
157,7.719,350.0
158,7.905,342.0
159,10.182,265.0
160,12.022,225.0
161,8.129,332.0
162,7.727,350.0
163,8.467,319.0
164,9.472,285.0
165,9.125,296.0
166,12.553,215.0
167,8.307,325.0
168,9.155,295.0
169,7.715,350.0
170,7.813,346.0
171,7.635,354.0
172,9.503,284.0
173,9.557,283.0
174,9.114,296.0
175,8.18,330.0
176,8.057,335.0
177,8.315,325.0
178,8.865,305.0
179,8.051,336.0
180,10.057,269.0
181,9.519,284.0
182,8.316,325.0
183,12.055,224.0
184,9.51,284.0
185,9.058,298.0
186,9.158,295.0
187,8.899,304.0
188,9.818,275.0
189,11.823,228.0
190,7.858,344.0
191,12.606,214.0
192,12.246,220.0
193,12.508,216.0
194,7.563,357.0
195,7.754,348.0
196,9.333,289.0
197,8.185,330.0
198,8.311,325.0
199,7.714,350.0
200,9.005,300.0
201,7.784,347.0
202,7.857,344.0
203,7.907,342.0
204,12.442,217.0
205,7.679,352.0
206,9.309,290.0
207,7.803,346.0
208,11.771,229.0
209,7.572,357.0
210,9.485,285.0
211,9.836,275.0
212,11.746,230.0
213,11.663,231.0
214,7.865,344.0
215,11.877,227.0
216,12.077,224.0
217,11.758,230.0
218,11.622,232.0
219,7.723,350.0
220,7.541,358.0
221,12.068,224.0
222,8.994,300.0
223,8.838,306.0
224,11.838,228.0
225,7.591,356.0
226,12.42,217.0
227,12.111,223.0
228,8.016,337.0
229,7.598,356.0
230,8.199,330.0
231,11.684,231.0
232,12.896,209.0
233,7.569,357.0
234,7.781,347.0
235,9.0,300.0
236,7.783,347.0
237,8.089,334.0
238,7.742,349.0
239,8.017,337.0
240,7.867,343.0
241,8.402,322.0
242,7.476,361.0
243,9.129,296.0
244,7.945,340.0
245,8.722,310.0
246,7.537,358.0
247,11.949,226.0
248,7.768,348.0
249,7.807,346.0
250,7.564,357.0
251,12.148,222.0
252,7.694,351.0
253,7.868,343.0
254,11.964,226.0
255,12.167,222.0
256,12.124,223.0
257,7.67,352.0
258,11.851,228.0
259,8.993,300.0
260,7.553,358.0
261,7.635,354.0
262,7.847,344.0
263,8.205,329.0
264,9.557,283.0
265,7.667,352.0
266,7.852,344.0
267,8.963,301.0
268,7.634,354.0
269,7.782,347.0
270,7.866,343.0
271,7.804,346.0
272,12.055,224.0
273,12.198,221.0
274,7.655,353.0
275,12.156,222.0
276,12.42,217.0
277,7.842,345.0
278,7.766,348.0
279,7.739,349.0
280,7.593,356.0
281,12.422,217.0
282,8.95,302.0
283,8.285,326.0
284,7.877,343.0
285,7.623,354.0
286,8.077,334.0
287,7.54,358.0
288,9.437,286.0
289,7.899,342.0
290,8.894,304.0
291,8.119,333.0
292,7.847,344.0
293,9.478,285.0
294,7.802,346.0
295,7.703,351.0
296,7.737,349.0
297,8.093,334.0
298,8.108,333.0
299,12.082,223.0
300,7.598,356.0
301,9.772,276.0
302,11.6,233.0
303,7.796,347.0
304,11.867,228.0
305,10.404,260.0
306,7.649,353.0
307,9.05,298.0
308,7.639,354.0
309,7.659,353.0
310,7.76,348.0
311,11.43,236.0
312,8.026,337.0
313,7.911,342.0
314,8.343,324.0
315,7.575,357.0
316,7.675,352.0
317,7.913,341.0
318,10.687,253.0
319,8.223,329.0
320,11.74,230.0
321,11.835,228.0
322,9.326,290.0
323,7.74,349.0
324,9.148,295.0
325,8.317,325.0
326,7.623,354.0
327,9.779,276.0
328,9.814,275.0
329,8.667,312.0
330,7.873,343.0
331,11.987,225.0
332,7.496,360.0
333,7.805,346.0
334,7.725,350.0
335,11.752,230.0
336,8.25,327.0
337,9.168,295.0
338,9.289,291.0
339,7.794,347.0
340,7.644,353.0
341,9.31,290.0
342,9.629,281.0
343,7.984,338.0
344,7.993,338.0
345,9.27,291.0
346,7.934,341.0
347,8.251,327.0
348,11.76,230.0
349,9.399,287.0
350,8.614,314.0
351,9.219,293.0
352,7.578,357.0
353,8.841,306.0
354,7.819,346.0
355,7.9,342.0
356,8.998,300.0
357,7.793,347.0
358,7.831,345.0
359,12.477,216.0
360,11.737,230.0
361,7.604,355.0
362,11.694,231.0
363,9.414,287.0
364,7.865,344.0
365,11.648,232.0
366,9.034,299.0
367,7.472,362.0
368,7.541,358.0
369,9.957,271.0
370,7.944,340.0
371,10.281,263.0
372,7.59,356.0
373,7.893,342.0
374,9.806,275.0
375,9.419,287.0
376,7.773,348.0
377,7.707,351.0
378,9.533,283.0
379,12.739,212.0
380,12.829,210.0
381,12.4,218.0
382,12.017,225.0
383,9.307,290.0
384,12.151,222.0
385,12.387,218.0
386,8.018,337.0
387,7.971,339.0
388,8.147,332.0
389,7.743,349.0
390,11.955,226.0
391,12.131,223.0
392,7.772,348.0
393,8.234,328.0
394,12.147,222.0
395,8.25,327.0
396,11.976,225.0
397,9.315,290.0
398,11.649,232.0
399,12.962,208.0
400,7.822,345.0
401,7.781,347.0
402,8.514,317.0
403,9.076,298.0
404,7.566,357.0
405,11.792,229.0
406,7.933,341.0
407,11.997,225.0
408,8.989,301.0
409,7.712,350.0
410,7.732,349.0
411,7.74,349.0
412,8.111,333.0
413,9.307,290.0
414,7.652,353.0
415,12.453,217.0
416,8.022,337.0
