,Duration,Throughput
0,13.054,216.0
1,10.771,262.0
2,10.832,261.0
3,13.096,216.0
4,15.522,182.0
5,12.332,229.0
6,11.535,245.0
7,12.064,234.0
8,10.92,259.0
9,10.459,270.0
10,10.872,260.0
11,15.338,184.0
12,10.973,257.0
13,10.802,261.0
14,11.09,255.0
15,10.434,271.0
16,10.835,261.0
17,15.491,182.0
18,15.268,185.0
19,11.253,251.0
20,11.482,246.0
21,11.272,250.0
22,10.485,269.0
23,14.536,194.0
24,12.041,234.0
25,11.29,250.0
26,12.976,218.0
27,10.468,270.0
28,12.032,235.0
29,11.751,240.0
30,11.054,255.0
31,10.669,265.0
32,10.407,271.0
33,10.963,258.0
34,14.477,195.0
35,11.724,241.0
36,15.622,181.0
37,11.394,248.0
38,12.352,229.0
39,14.317,197.0
40,10.575,267.0
41,10.673,265.0
42,15.539,182.0
43,11.072,255.0
44,10.695,264.0
45,10.511,269.0
46,10.773,262.0
47,10.361,273.0
48,11.983,236.0
49,10.228,276.0
50,10.437,271.0
51,11.508,245.0
52,12.332,229.0
53,10.796,262.0
54,10.954,258.0
55,14.164,199.0
56,10.525,268.0
57,14.617,193.0
58,10.689,264.0
59,11.953,236.0
60,11.377,248.0
61,11.329,249.0
62,11.708,241.0
63,15.328,184.0
64,14.565,194.0
65,10.525,268.0
66,13.144,215.0
67,14.356,197.0
68,15.281,185.0
69,11.754,240.0
70,15.369,184.0
71,10.419,271.0
72,11.102,254.0
73,11.284,250.0
74,10.903,259.0
75,11.172,253.0
76,10.854,260.0
77,11.681,242.0
78,11.834,239.0
79,10.555,268.0
80,11.744,240.0
81,11.264,251.0
82,11.721,241.0
83,10.42,271.0
84,13.934,203.0
85,10.387,272.0
86,12.131,233.0
87,11.041,256.0
88,14.243,198.0
89,10.802,261.0
90,12.199,231.0
91,10.46,270.0
92,10.633,266.0
93,11.64,243.0
94,14.886,190.0
95,16.238,174.0
96,14.52,194.0
97,10.465,270.0
98,11.137,254.0
99,13.752,205.0
100,12.03,235.0
101,10.353,273.0
102,11.306,250.0
103,10.873,260.0
104,10.266,275.0
105,10.88,260.0
106,13.872,203.0
107,10.293,274.0
108,12.39,228.0
109,10.687,264.0
110,10.552,268.0
111,10.466,270.0
112,15.002,188.0
113,12.088,234.0
114,10.507,269.0
115,10.938,258.0
116,10.644,265.0
117,11.465,246.0
118,11.691,241.0
119,14.588,193.0
120,10.908,259.0
121,11.808,239.0
122,10.949,258.0
123,10.73,263.0
124,12.074,234.0
125,12.332,229.0
126,11.594,244.0
127,10.966,257.0
128,12.852,220.0
129,11.743,240.0
130,10.942,258.0
131,11.569,244.0
132,11.123,254.0
133,10.53,268.0
134,16.696,169.0
135,15.904,177.0
136,10.769,262.0
137,10.707,264.0
138,10.17,278.0
139,11.483,246.0
140,14.392,196.0
141,12.026,235.0
142,11.955,236.0
143,10.636,265.0
144,12.445,227.0
145,12.721,222.0
146,10.851,260.0
147,11.723,241.0
148,11.137,254.0
149,11.511,245.0
150,10.362,273.0
151,15.827,178.0
152,11.713,241.0
153,15.748,179.0
154,10.572,267.0
155,10.729,263.0
156,10.695,264.0
157,10.4,272.0
158,10.669,265.0
159,13.229,213.0
160,15.853,178.0
161,11.134,254.0
162,11.155,253.0
163,11.494,246.0
164,12.413,227.0
