,Duration,Throughput
0,40.329,19836841.0
1,42.695,18737557.0
2,49.189,16263798.0
3,35.557,22499085.0
4,42.51,18819101.0
5,45.111,17734033.0
6,37.673,21235367.0
7,36.555,21884831.0
8,36.682,21809061.0
9,47.713,16766918.0
10,39.306,20353126.0
11,45.672,17516202.0
12,45.534,17569288.0
13,44.302,18057875.0
14,46.983,17027435.0
15,50.655,15793110.0
16,48.274,16572067.0
17,37.914,21100385.0
18,39.096,20462451.0
19,39.58,20212228.0
20,43.711,18302029.0
21,37.669,21237622.0
22,39.501,20252651.0
23,36.496,21920210.0
24,42.593,18782429.0
25,40.987,19518383.0
26,36.061,22184631.0
27,44.193,18102414.0
28,47.794,16738502.0
29,36.019,22210500.0
30,37.382,21400674.0
31,41.597,19232156.0
32,41.321,19360615.0
33,55.346,14454522.0
34,41.206,19414648.0
35,38.186,20950086.0
36,38.207,20938571.0
37,35.007,22852572.0
38,35.956,22249415.0
39,38.711,20665960.0
40,38.076,21010610.0
41,45.802,17466486.0
42,38.507,20775443.0
43,36.633,21838233.0
44,47.27,16924053.0
45,47.401,16877281.0
46,37.59,21282255.0
47,38.76,20639834.0
48,54.907,14570091.0
49,50.601,15809964.0
50,41.043,19491752.0
51,36.893,21684330.0
52,37.826,21149473.0
53,55.871,14318698.0
54,42.635,18763926.0
55,43.25,18497109.0
56,41.951,19069867.0
57,43.117,18554166.0
58,48.977,16334197.0
59,39.77,20115665.0
60,45.573,17554253.0
61,43.316,18468926.0
62,41.371,19337216.0
63,49.253,16242665.0
64,53.514,14949359.0
65,38.044,21028283.0
66,47.402,16876925.0
67,47.608,16803898.0
68,44.088,18145527.0
69,38.926,20551816.0
70,37.766,21183074.0
71,43.136,18545994.0
72,48.035,16654522.0
73,42.482,18831505.0
74,38.143,20973704.0
75,49.906,16030136.0
76,42.535,18808040.0
77,39.267,20373341.0
78,52.248,15311590.0
79,50.934,15706600.0
80,37.917,21098715.0
81,40.026,19987008.0
82,45.138,17723425.0
83,39.336,20337604.0
84,38.151,20969306.0
85,49.931,16022110.0
86,40.438,19783372.0
87,46.131,17341917.0
88,38.304,20885547.0
89,42.469,18837269.0
90,39.678,20162306.0
91,43.569,18361679.0
92,47.87,16711928.0
93,41.862,19110410.0
94,48.687,16431490.0
95,37.348,21420156.0
96,38.655,20695899.0
97,37.926,21093708.0
98,38.529,20763580.0
99,53.604,14924259.0
100,40.719,19646847.0
101,45.774,17477170.0
102,51.062,15667228.0
103,42.718,18727468.0
104,47.105,16983335.0
105,36.447,21949680.0
106,44.347,18039551.0
107,47.995,16668402.0
108,39.253,20380607.0
109,43.154,18538258.0
110,48.951,16342873.0
111,38.475,20792722.0
112,39.999,20000500.0
113,49.497,16162595.0
114,47.785,16741655.0
115,49.422,16187123.0
116,43.417,18425962.0
117,37.503,21331626.0
118,42.569,18793018.0
119,42.018,19039459.0
120,41.922,19083059.0
121,45.132,17725782.0
122,45.517,17575850.0
123,51.082,15661093.0
124,42.756,18710824.0
125,45.295,17661993.0
126,42.76,18709073.0
127,40.281,19860480.0
128,36.47,21935837.0
129,38.949,20539680.0
130,36.865,21700800.0
131,41.586,19237243.0
132,46.888,17061934.0
133,38.75,20645161.0
134,39.979,20010505.0
135,40.424,19790223.0
136,39.494,20256241.0
137,40.657,19676808.0
138,52.999,15094624.0
139,35.534,22513648.0
140,38.687,20678780.0
141,39.96,20020020.0
142,42.326,18900911.0
143,51.066,15666000.0
144,35.419,22586747.0
145,46.67,17141632.0
146,39.203,20406601.0
147,46.71,17126953.0
148,42.397,18869259.0
149,55.651,14375303.0
150,56.57,14141771.0
151,40.446,19779459.0
152,40.503,19751623.0
153,39.245,20384762.0
154,45.164,17713222.0
155,43.552,18368846.0
156,46.931,17046302.0
157,43.891,18226971.0
158,40.838,19589597.0
159,36.328,22021581.0
160,37.818,21153947.0
161,48.533,16483629.0
162,46.437,17227641.0
163,44.526,17967030.0
164,41.119,19455726.0
165,40.501,19752598.0
166,60.749,13168941.0
167,43.343,18457421.0
168,43.412,18428084.0
169,45.097,17739539.0
170,44.035,18167366.0
171,48.786,16398147.0
172,39.866,20067225.0
173,47.575,16815554.0
174,35.83,22327658.0
175,43.52,18382352.0
176,44.796,17858737.0
177,43.883,18230294.0
178,47.349,16895816.0
179,44.962,17792802.0
180,36.881,21691385.0
181,36.677,21812034.0
182,43.847,18245261.0
183,41.314,19363896.0
184,36.131,22141651.0
185,37.905,21105395.0
186,36.979,21633900.0
187,44.529,17965820.0
188,52.557,15221568.0
189,45.351,17640184.0
190,40.941,19540314.0
191,43.062,18577864.0
192,43.419,18425113.0
193,39.91,20045101.0
194,46.837,17080513.0
195,38.891,20570311.0
196,35.057,22819978.0
197,40.578,19715116.0
198,52.8,15151515.0
199,41.762,19156170.0
200,39.127,20446239.0
201,49.242,16246293.0
202,38.593,20729147.0
203,39.042,20490753.0
204,42.689,18740190.0
205,35.273,22680237.0
206,34.569,23142121.0
207,42.44,18850141.0
208,40.294,19854072.0
209,42.626,18767888.0
210,45.847,17449342.0
211,37.708,21215657.0
212,41.775,19150209.0
213,41.062,19482733.0
214,54.921,14566377.0
215,38.386,20840931.0
216,40.834,19591516.0
217,43.576,18358729.0
218,50.726,15771005.0
219,40.243,19879233.0
220,40.372,19815713.0
221,45.599,17544244.0
222,40.505,19750648.0
223,42.36,18885741.0
224,42.947,18627610.0
225,42.505,18821315.0
226,40.517,19744798.0
227,46.638,17153394.0
228,51.874,15421984.0
229,44.755,17875097.0
