,Duration,Throughput
0,20.926,39244381.0
1,15.535,52863078.0
2,16.406,50056560.0
3,19.302,42546260.0
4,21.137,38852624.0
5,14.919,55045775.0
6,13.809,59470485.0
7,22.013,37306497.0
8,14.191,57869630.0
9,14.163,57984037.0
10,16.758,49005127.0
11,19.731,41621201.0
12,14.08,58325847.0
13,14.347,57240393.0
14,16.609,49444754.0
15,14.411,56986186.0
16,18.259,44976610.0
17,20.07,40918182.0
18,26.402,31104762.0
19,18.383,44673226.0
20,20.208,40638753.0
21,19.057,43093242.0
22,16.479,49834815.0
23,17.43,47115773.0
24,20.186,40683044.0
25,16.712,49140014.0
26,20.827,39430927.0
27,18.12,45321629.0
28,21.43,38321415.0
29,14.877,55201178.0
30,19.788,41501310.0
31,13.082,62775411.0
32,17.515,46887121.0
33,13.166,62374899.0
34,18.527,44326006.0
35,21.469,38251801.0
36,25.006,32841235.0
37,16.601,49468581.0
38,16.136,50894145.0
39,25.071,32756089.0
40,11.919,68900740.0
41,21.824,37629578.0
42,24.42,33629317.0
43,19.322,42502221.0
44,20.096,40865243.0
45,16.096,51020621.0
46,12.52,65593284.0
47,19.909,41249079.0
48,20.601,39863498.0
49,13.034,63006592.0
50,18.428,44564137.0
51,17.02,48250759.0
52,14.609,56213835.0
53,20.66,39749657.0
54,17.615,46620943.0
55,23.809,34492331.0
56,19.639,41816178.0
57,20.883,39325189.0
58,15.375,53413198.0
59,20.446,40165701.0
60,17.671,46473200.0
61,14.939,54972081.0
62,21.403,38369757.0
63,18.159,45224292.0
64,17.998,45628843.0
65,17.673,46467941.0
66,15.378,53402778.0
67,22.735,36121747.0
68,19.076,43050321.0
69,16.664,49281560.0
70,21.348,38468611.0
71,13.097,62703514.0
72,15.341,53531577.0
73,17.761,46237707.0
74,18.885,43485725.0
75,15.133,54267357.0
76,13.317,61667637.0
77,14.14,58078354.0
78,22.606,36327874.0
79,13.544,60634076.0
80,21.383,38405645.0
81,14.99,54785051.0
82,17.02,48250759.0
83,13.455,61035148.0
84,22.693,36188601.0
85,14.606,56225381.0
86,14.41,56990140.0
87,13.019,63079186.0
88,23.586,34818448.0
89,20.667,39736194.0
90,19.448,42226857.0
91,19.386,42361906.0
92,13.129,62550683.0
93,15.248,53858075.0
94,18.014,45588316.0
95,21.988,37348914.0
96,24.066,34123989.0
97,16.385,50120715.0
98,15.497,52992703.0
99,22.194,37002249.0
100,14.671,55976274.0
101,14.686,55919101.0
102,15.558,52784929.0
103,13.978,58751461.0
104,12.939,63469196.0
105,15.569,52747634.0
106,20.791,39499202.0
107,13.176,62327559.0
108,19.319,42508821.0
109,18.236,45033336.0
110,15.722,52234316.0
111,13.471,60962655.0
112,24.016,34195033.0
113,13.648,60172034.0
114,12.527,65556631.0
115,14.666,55995358.0
116,14.52,56558397.0
117,15.056,54544894.0
118,13.331,61602875.0
119,21.36,38447000.0
120,13.837,59350142.0
121,22.01,37311582.0
122,19.61,41878017.0
123,16.898,48599119.0
124,16.325,50304926.0
125,16.082,51065037.0
126,14.182,57906355.0
127,15.112,54342769.0
128,20.058,40942662.0
129,17.252,47601897.0
130,13.672,60066407.0
131,16.198,50699341.0
132,15.099,54389557.0
133,17.195,47759693.0
134,24.85,33047401.0
135,18.725,43857299.0
136,15.416,53271142.0
137,19.243,42676709.0
138,12.229,67154135.0
139,20.094,40869310.0
140,19.119,42953497.0
141,19.113,42966982.0
142,22.198,36995581.0
143,17.105,48010986.0
144,15.27,53780479.0
145,22.236,36932358.0
146,19.241,42681145.0
147,14.322,57340310.0
148,18.196,45132332.0
149,20.963,39175114.0
150,15.644,52494753.0
151,25.131,32677884.0
152,19.047,43115867.0
153,20.08,40897805.0
154,16.354,50215722.0
155,17.111,47994151.0
156,15.327,53580474.0
157,15.082,54450863.0
158,14.707,55839255.0
159,17.426,47126588.0
160,18.374,44695108.0
161,14.535,56500029.0
162,20.316,40422717.0
163,13.214,62148322.0
164,15.873,51737411.0
165,15.224,53942980.0
166,21.153,38823236.0
167,19.709,41667660.0
168,19.634,41826827.0
169,13.764,59664917.0
170,12.955,63390808.0
171,18.641,44054928.0
172,19.324,42497822.0
173,17.211,47715294.0
174,13.854,59277315.0
175,12.154,67568531.0
176,14.589,56290899.0
177,13.381,61372687.0
178,20.067,40924299.0
179,13.43,61148766.0
180,18.155,45234256.0
181,17.203,47737483.0
182,19.68,41729061.0
183,19.184,42807961.0
184,16.261,50502916.0
185,19.532,42045255.0
186,17.981,45671983.0
187,14.632,56125473.0
188,14.537,56492256.0
189,21.649,37933758.0
190,14.312,57380375.0
191,18.443,44527892.0
192,19.403,42324791.0
193,24.143,34015156.0
194,15.279,53748800.0
195,12.998,63181099.0
196,15.463,53109223.0
197,20.478,40102936.0
198,18.742,43817518.0
199,14.474,56738146.0
200,15.251,53847480.0
201,16.296,50394448.0
202,16.345,50243372.0
203,12.979,63273590.0
204,18.228,45053101.0
205,17.56,46766966.0
206,17.092,48047503.0
207,18.066,45457097.0
208,25.477,32234090.0
209,20.537,39987725.0
