,Duration,Throughput
0,24.09,652.0
1,26.95,583.0
2,30.409,516.0
3,52.321,300.0
4,26.683,588.0
5,26.756,587.0
6,23.986,655.0
7,53.989,291.0
8,24.111,651.0
9,58.229,269.0
10,24.677,636.0
11,52.732,297.0
12,24.272,647.0
13,40.6,386.0
14,52.387,299.0
15,29.44,533.0
16,31.132,504.0
17,26.434,594.0
18,25.301,621.0
19,53.587,293.0
20,23.4,671.0
21,32.446,484.0
22,33.213,473.0
23,19.235,816.0
24,23.508,668.0
25,47.756,329.0
26,25.634,612.0
27,25.349,619.0
28,24.235,648.0
29,21.236,739.0
30,40.041,392.0
31,35.072,447.0
32,52.02,302.0
33,41.981,374.0
34,59.978,261.0
35,22.421,700.0
36,26.403,595.0
37,24.396,644.0
38,31.986,491.0
39,25.655,612.0
40,38.165,411.0
41,42.792,367.0
42,23.887,657.0
43,35.6,441.0
44,59.747,262.0
45,30.458,515.0
46,40.219,390.0
47,33.908,463.0
48,32.34,485.0
49,33.163,473.0
50,23.168,678.0
51,24.041,653.0
52,63.744,246.0
53,33.988,462.0
54,52.825,297.0
55,27.89,563.0
56,24.841,632.0
57,30.622,513.0
58,30.048,522.0
59,33.874,463.0
60,23.547,667.0
61,54.2,289.0
62,52.535,299.0
63,29.266,536.0
64,33.991,462.0
65,25.932,605.0
66,33.075,475.0
67,24.394,644.0
68,34.257,458.0
69,47.796,328.0
70,27.824,564.0
71,56.644,277.0
72,44.865,350.0
73,55.3,284.0
74,23.27,675.0
75,31.565,497.0
76,32.985,476.0
77,29.866,526.0
78,24.504,641.0
79,26.507,592.0
80,27.02,581.0
81,18.403,853.0
82,37.584,418.0
83,28.291,555.0
84,27.675,567.0
85,33.44,469.0
86,26.061,602.0
87,24.83,632.0
88,33.236,472.0
89,30.345,517.0
90,41.252,380.0
91,22.865,687.0
92,22.163,708.0
93,33.952,462.0
94,19.795,793.0
95,49.117,319.0
96,33.382,470.0
97,22.743,690.0
98,50.239,312.0
99,23.056,681.0
100,29.475,533.0
101,32.497,483.0
102,56.138,279.0
103,37.268,421.0
104,25.183,623.0
105,27.747,566.0
106,26.752,587.0
107,25.127,625.0
108,53.392,294.0
109,53.003,296.0
110,30.909,508.0
111,36.18,434.0
112,31.623,496.0
113,51.151,307.0
114,24.222,648.0
115,59.535,263.0
116,23.962,655.0
117,30.848,509.0
118,46.481,338.0
119,23.267,675.0
120,25.71,611.0
121,49.463,317.0
122,30.352,517.0
123,32.319,486.0
124,32.417,484.0
125,22.381,702.0
126,51.516,304.0
127,30.484,515.0
128,27.593,569.0
129,27.254,576.0
130,32.287,486.0
131,28.262,555.0
132,31.247,502.0
133,22.935,685.0
134,27.318,575.0
135,26.224,599.0
136,44.103,356.0
137,25.041,627.0
138,24.22,648.0
139,24.68,636.0
140,54.218,289.0
