,Duration,Throughput
0,7.224,48318.0
1,7.97,43795.0
2,8.154,42807.0
3,13.945,25030.0
4,7.435,46947.0
5,7.553,46213.0
6,9.786,35668.0
7,14.529,24024.0
8,7.311,47743.0
9,15.16,23024.0
10,7.944,43939.0
11,13.607,25652.0
12,7.247,48165.0
13,13.779,25332.0
14,12.729,27421.0
15,9.663,36122.0
16,8.64,40399.0
17,7.85,44465.0
18,7.264,48052.0
19,14.511,24054.0
20,7.021,49715.0
21,8.537,40887.0
22,8.784,39737.0
23,7.259,48085.0
24,10.416,33511.0
25,14.904,23420.0
26,7.092,49217.0
27,7.606,45891.0
28,7.583,46031.0
29,7.65,45627.0
30,10.596,32942.0
31,10.12,34491.0
32,13.771,25347.0
33,10.697,32631.0
34,15.113,23096.0
35,9.798,35625.0
36,9.434,36999.0
37,9.317,37464.0
38,8.772,39791.0
39,7.753,45021.0
40,10.702,32615.0
41,14.82,23552.0
42,7.01,49793.0
43,10.0,34905.0
44,14.884,23451.0
45,8.852,39432.0
46,10.712,32585.0
47,9.826,35523.0
48,8.913,39162.0
49,11.179,31224.0
50,11.625,30026.0
51,7.113,49072.0
52,14.797,23589.0
53,9.592,36390.0
54,13.415,26019.0
55,7.803,44733.0
56,6.909,50521.0
57,8.45,41308.0
58,7.926,44039.0
59,9.645,36190.0
60,9.009,38745.0
61,13.935,25048.0
62,14.444,24166.0
63,8.269,42212.0
64,9.315,37472.0
65,7.623,45789.0
66,9.066,38501.0
67,7.204,48452.0
68,9.171,38060.0
69,12.515,27890.0
70,7.562,46158.0
71,15.08,23146.0
72,14.327,24363.0
73,15.153,23035.0
74,10.285,33938.0
75,8.667,40273.0
76,9.216,37874.0
77,8.269,42212.0
78,7.25,48145.0
79,7.765,44952.0
80,7.621,45801.0
81,7.181,48607.0
82,10.108,34532.0
83,7.442,46903.0
84,7.814,44670.0
85,8.353,41787.0
86,9.282,37605.0
87,7.148,48832.0
88,8.761,39841.0
89,8.411,41499.0
90,10.412,33524.0
91,6.741,51780.0
92,6.774,51528.0
93,8.921,39127.0
94,7.09,49231.0
95,12.852,27159.0
96,9.283,37601.0
97,6.681,52245.0
98,13.048,26751.0
99,8.636,40418.0
100,9.065,38505.0
101,8.943,39030.0
102,14.613,23886.0
103,12.868,27125.0
104,7.018,49736.0
105,7.575,46079.0
106,7.289,47887.0
107,7.373,47342.0
108,13.562,25737.0
109,14.348,24327.0
110,8.265,42232.0
111,9.651,36167.0
112,9.021,38693.0
113,14.268,24464.0
114,7.107,49114.0
115,15.577,22408.0
116,11.481,30402.0
117,8.007,43593.0
118,14.784,23610.0
119,6.806,51286.0
120,7.267,48032.0
121,13.024,26800.0
122,7.355,47458.0
123,9.182,38015.0
124,9.06,38526.0
125,7.581,46043.0
126,13.329,26187.0
127,8.701,40116.0
128,9.194,37965.0
129,7.96,43851.0
130,8.507,41031.0
131,9.604,36344.0
132,7.738,45109.0
133,7.106,49121.0
134,7.554,46207.0
135,7.193,48526.0
136,13.864,25177.0
137,6.935,50332.0
138,6.86,50882.0
139,7.168,48696.0
140,14.745,23672.0
141,8.056,43328.0
142,14.211,24562.0
143,6.706,52050.0
144,8.184,42650.0
145,9.503,36730.0
146,7.255,48112.0
147,9.006,38757.0
148,7.392,47220.0
149,15.476,22554.0
150,9.864,35386.0
151,6.68,52253.0
152,7.333,47600.0
153,8.257,42273.0
154,9.376,37228.0
155,9.657,36145.0
156,10.321,33819.0
157,7.356,47451.0
158,9.355,37312.0
159,7.977,43757.0
160,8.825,39552.0
161,7.405,47137.0
162,8.906,39193.0
163,9.816,35559.0
164,8.87,39352.0
165,14.286,24433.0
166,7.359,47432.0
167,10.05,34731.0
168,6.932,50354.0
169,10.407,33540.0
170,7.25,48145.0
171,9.794,35639.0
172,9.194,37965.0
173,9.025,38676.0
174,9.551,36546.0
175,7.77,44923.0
176,9.732,35866.0
177,9.915,35204.0
178,8.023,43506.0
179,15.684,22255.0
180,12.577,27753.0
181,7.033,49630.0
182,7.497,46559.0
183,14.583,23935.0
184,16.62,21002.0
185,9.085,38420.0
186,13.229,26385.0
187,14.067,24813.0
188,16.681,20925.0
189,9.927,35162.0
190,7.918,44083.0
191,8.749,39896.0
192,9.239,37780.0
193,6.874,50778.0
194,7.057,49462.0
195,14.874,23467.0
196,7.706,45296.0
197,8.895,39241.0
198,7.523,46398.0
199,6.841,51023.0
200,9.101,38353.0
201,6.748,51727.0
202,7.099,49169.0
203,7.078,49315.0
204,13.628,25613.0
205,10.751,32467.0
206,14.486,24095.0
207,14.721,23711.0
208,9.827,35519.0
209,7.289,47887.0
210,6.789,51414.0
211,9.489,36785.0
212,14.318,24378.0
213,7.864,44386.0
214,7.852,44454.0
215,7.823,44618.0
216,7.729,45161.0
217,13.407,26035.0
218,13.53,25798.0
219,8.334,41883.0
