,Duration,Throughput
0,11.592,86331319.0
1,12.581,79544761.0
2,12.242,81747479.0
3,22.517,44444315.0
4,12.011,83319677.0
5,12.816,78086193.0
6,13.057,76644914.0
7,22.538,44402903.0
8,11.722,85373882.0
9,23.083,43354531.0
10,11.916,83983941.0
11,23.189,43156352.0
12,11.895,84132211.0
13,22.937,43630494.0
14,22.393,44690423.0
15,12.66,79048392.0
16,13.941,71784854.0
17,12.885,77668036.0
18,11.677,85702890.0
19,23.009,43493965.0
20,11.509,86953918.0
21,14.188,70535145.0
22,14.106,70945175.0
23,11.323,88382288.0
24,11.585,86383482.0
25,23.452,42672379.0
26,11.978,83549227.0
27,11.693,85585619.0
28,11.519,86878431.0
29,12.313,81276102.0
30,16.536,60519632.0
31,15.352,65187118.0
32,22.543,44393055.0
33,15.862,63091202.0
34,23.769,42103271.0
35,12.611,79355534.0
36,15.06,66451039.0
37,11.423,87608566.0
38,14.504,68998390.0
39,12.679,78929935.0
40,15.044,66521712.0
41,24.126,41480255.0
42,11.52,86870889.0
43,14.747,67861439.0
44,24.166,41411596.0
45,14.332,69826447.0
46,15.813,63286703.0
47,15.03,66583675.0
48,14.647,68324752.0
49,13.897,72012135.0
50,11.528,86810604.0
51,12.087,82795784.0
52,23.847,41965557.0
53,15.937,62794293.0
54,22.159,45162356.0
55,12.526,79894032.0
56,11.643,85953160.0
57,14.427,69366649.0
58,12.456,80343019.0
59,14.778,67719085.0
60,11.37,88016943.0
61,23.069,43380842.0
62,22.71,44066607.0
63,11.964,83646995.0
64,14.612,68488410.0
65,11.661,85820482.0
66,14.296,70002283.0
67,11.534,86765445.0
68,14.944,66966852.0
69,22.087,45309578.0
70,12.692,78849089.0
71,23.934,41813012.0
72,24.365,41073369.0
73,23.445,42685120.0
74,11.446,87432522.0
75,14.102,70965299.0
76,13.972,71625583.0
77,12.536,79830300.0
78,11.492,87082548.0
79,12.03,83188083.0
80,11.651,85894142.0
81,11.349,88179808.0
82,14.934,67011694.0
83,12.293,81408334.0
84,12.65,79110881.0
85,14.138,70784598.0
86,14.26,70179007.0
87,11.647,85923641.0
88,14.639,68362090.0
89,13.146,76126019.0
90,15.511,64518899.0
91,11.284,88687757.0
92,11.267,88821571.0
93,14.114,70904963.0
94,11.402,87769921.0
95,21.741,46030663.0
96,14.81,67572765.0
97,11.247,88979518.0
98,22.853,43790865.0
99,12.945,77308045.0
100,12.47,80252818.0
101,13.009,76927715.0
102,23.668,42282941.0
103,15.654,63929516.0
104,11.711,85454073.0
105,11.981,83528307.0
106,12.075,82878066.0
107,11.833,84573028.0
108,22.567,44345843.0
109,23.171,43189877.0
110,12.719,78681708.0
111,15.106,66248685.0
112,14.267,70144574.0
113,22.416,44644568.0
114,12.214,81934882.0
115,24.059,41595770.0
116,11.413,87685328.0
117,12.652,79098375.0
118,23.468,42643286.0
119,11.761,85090778.0
120,11.462,87310473.0
121,22.188,45103328.0
122,12.221,81887951.0
123,14.489,69069821.0
124,14.744,67875247.0
125,12.35,81032603.0
126,22.603,44275213.0
127,14.596,68563486.0
128,14.651,68306098.0
129,12.172,82217601.0
130,13.19,75872073.0
131,12.243,81740802.0
132,12.956,77242408.0
133,11.534,86765445.0
134,12.245,81727452.0
135,11.765,85061848.0
136,23.584,42433541.0
137,11.543,86697795.0
138,11.629,86056638.0
139,11.294,88609230.0
140,23.674,42272224.0
141,12.997,76998742.0
