,Duration,Throughput
0,11.86,17041.0
1,17.881,11302.0
2,17.142,11790.0
3,27.658,7307.0
4,16.838,12003.0
5,14.734,13717.0
6,18.718,10797.0
7,31.492,6417.0
8,14.757,13695.0
9,35.477,5696.0
10,11.708,17262.0
11,27.225,7423.0
12,12.585,16059.0
13,33.744,5989.0
14,26.405,7654.0
15,16.018,12617.0
16,21.166,9548.0
17,17.539,11523.0
18,12.381,16324.0
19,27.249,7417.0
20,19.46,10385.0
21,15.252,13251.0
22,21.48,9409.0
23,13.062,15472.0
24,19.791,10212.0
25,32.119,6292.0
26,20.31,9951.0
27,16.453,12283.0
28,18.559,10890.0
29,22.634,8929.0
30,28.496,7092.0
31,18.133,11145.0
32,30.399,6648.0
33,27.051,7471.0
34,31.597,6396.0
35,17.677,11433.0
36,15.969,12656.0
37,14.258,14175.0
38,21.187,9539.0
39,20.621,9801.0
40,18.399,10984.0
41,29.431,6867.0
42,11.149,18127.0
43,21.489,9405.0
44,32.094,6297.0
45,23.033,8774.0
46,26.036,7762.0
47,20.92,9660.0
48,24.248,8335.0
49,24.175,8360.0
50,19.813,10200.0
51,12.886,15684.0
52,33.861,5968.0
53,23.026,8777.0
54,26.12,7737.0
55,21.379,9453.0
56,18.837,10729.0
57,20.288,9961.0
58,20.219,9995.0
59,19.18,10537.0
60,17.608,11478.0
61,25.823,7826.0
62,27.375,7382.0
63,18.755,10776.0
64,22.572,8953.0
65,23.013,8782.0
66,21.41,9439.0
67,13.29,15207.0
68,24.691,8185.0
69,27.42,7370.0
70,21.781,9279.0
71,32.372,6243.0
72,31.328,6451.0
73,32.556,6208.0
74,19.383,10427.0
75,19.729,10244.0
76,24.348,8300.0
77,21.727,9302.0
78,15.29,13218.0
79,17.177,11766.0
80,22.527,8971.0
81,16.654,12135.0
82,22.82,8856.0
83,17.733,11397.0
84,20.243,9984.0
85,20.35,9931.0
86,24.602,8215.0
87,14.324,14109.0
88,19.729,10244.0
89,21.579,9365.0
90,25.166,8030.0
91,11.972,16881.0
92,17.814,11345.0
93,20.906,9667.0
94,20.021,10094.0
95,25.626,7886.0
96,16.267,12424.0
97,10.748,18804.0
98,29.519,6846.0
99,21.387,9450.0
100,13.479,14994.0
101,19.938,10136.0
102,34.234,5903.0
103,24.045,8405.0
104,17.813,11346.0
105,17.602,11482.0
106,18.744,10782.0
107,13.233,15273.0
108,27.359,7387.0
109,30.632,6597.0
110,20.577,9822.0
111,17.45,11582.0
