,Duration,Throughput
0,6.949,389.0
1,6.89,392.0
2,6.91,391.0
3,14.289,189.0
4,6.679,405.0
5,6.858,394.0
6,6.909,391.0
7,14.948,181.0
8,5.756,470.0
9,15.291,176.0
10,6.518,415.0
11,14.741,183.0
12,6.119,442.0
13,14.232,190.0
14,13.977,193.0
15,6.691,404.0
16,8.199,330.0
17,6.868,393.0
18,6.083,444.0
19,14.575,185.0
20,5.598,483.0
21,8.544,316.0
22,8.548,316.0
23,5.94,455.0
24,6.039,448.0
25,15.21,177.0
26,6.442,420.0
27,6.089,444.0
28,6.231,434.0
29,6.652,406.0
30,9.924,272.0
31,9.359,289.0
32,14.152,191.0
33,10.212,264.0
34,15.099,179.0
35,6.411,422.0
36,9.24,292.0
37,6.097,443.0
38,8.359,323.0
39,6.895,392.0
40,9.284,291.0
41,15.499,174.0
42,5.889,459.0
43,9.124,296.0
44,15.437,175.0
45,8.806,307.0
46,9.766,277.0
47,9.314,290.0
48,8.721,310.0
49,7.699,351.0
50,5.823,464.0
51,6.462,418.0
52,15.394,175.0
53,9.173,294.0
54,14.613,185.0
55,6.739,401.0
56,5.792,467.0
57,8.482,318.0
58,6.947,389.0
59,8.86,305.0
60,5.762,469.0
61,15.466,174.0
62,14.554,185.0
63,5.839,463.0
64,8.891,304.0
65,6.222,434.0
66,8.599,314.0
67,5.88,460.0
68,8.639,313.0
69,14.078,192.0
70,7.075,382.0
71,15.657,172.0
72,14.986,180.0
73,15.372,176.0
74,5.859,461.0
75,8.506,318.0
76,7.421,364.0
77,6.925,390.0
78,5.99,451.0
79,6.419,421.0
80,6.298,429.0
81,6.067,445.0
82,9.406,287.0
83,6.375,424.0
84,7.04,384.0
85,8.512,317.0
86,9.035,299.0
87,5.886,459.0
88,8.463,319.0
89,7.334,368.0
90,9.81,275.0
91,5.906,458.0
92,5.821,464.0
93,8.699,311.0
94,5.768,469.0
95,14.249,189.0
96,8.794,307.0
97,5.668,477.0
98,14.374,188.0
99,7.445,363.0
100,6.772,399.0
101,7.527,359.0
102,15.014,180.0
103,9.759,277.0
104,6.244,433.0
105,6.212,435.0
106,6.005,450.0
107,6.269,431.0
108,14.537,186.0
109,15.129,178.0
110,7.481,361.0
111,9.277,291.0
112,8.578,315.0
113,14.644,184.0
114,5.882,460.0
115,15.561,173.0
116,5.949,454.0
117,6.829,396.0
118,15.182,178.0
119,6.482,417.0
120,5.953,454.0
121,14.616,185.0
122,6.408,422.0
123,8.674,311.0
124,8.902,303.0
125,6.631,408.0
126,14.574,185.0
127,8.598,314.0
128,8.741,309.0
129,6.55,413.0
130,7.365,367.0
131,6.001,450.0
132,6.174,438.0
133,5.835,463.0
134,6.222,434.0
135,6.107,443.0
136,15.154,178.0
137,5.866,461.0
138,6.127,441.0
139,5.867,461.0
140,15.214,177.0
141,7.0,386.0
142,14.7,184.0
143,5.743,471.0
144,6.768,399.0
145,6.227,434.0
146,6.291,430.0
147,6.858,394.0
148,7.577,357.0
149,15.327,176.0
150,9.423,287.0
151,5.789,467.0
152,6.156,439.0
153,7.284,371.0
154,8.981,301.0
155,9.166,295.0
156,9.245,292.0
157,5.971,453.0
158,8.421,321.0
159,6.931,390.0
160,5.934,455.0
161,6.412,421.0
162,8.491,318.0
163,8.933,302.0
164,8.518,317.0
165,14.613,185.0
166,6.635,407.0
167,6.751,400.0
168,5.888,459.0
169,5.745,470.0
170,5.757,469.0
171,9.374,288.0
172,8.616,314.0
173,8.729,309.0
174,9.024,299.0
175,6.264,431.0
176,9.428,286.0
177,9.127,296.0
178,6.816,396.0
179,15.649,172.0
180,6.198,436.0
181,5.906,458.0
182,6.295,429.0
183,14.84,182.0
184,15.214,177.0
185,8.612,314.0
186,14.219,190.0
187,14.739,183.0
188,15.408,175.0
189,9.194,294.0
190,6.691,404.0
191,7.6,356.0
192,8.826,306.0
193,5.955,454.0
194,5.968,453.0
195,15.639,173.0
196,6.496,416.0
197,5.727,472.0
198,5.86,461.0
199,5.784,467.0
200,6.0,450.0
201,5.933,456.0
202,6.592,410.0
203,5.683,476.0
204,14.91,181.0
205,6.181,437.0
206,14.782,183.0
207,15.222,177.0
208,9.615,281.0
209,6.723,402.0
210,5.706,474.0
211,9.041,299.0
212,6.972,388.0
213,6.356,425.0
214,6.71,403.0
215,6.629,408.0
216,6.919,391.0
217,14.273,189.0
218,14.562,185.0
219,8.247,328.0
220,7.405,365.0
221,14.23,190.0
222,6.104,443.0
223,5.986,452.0
224,9.388,288.0
225,14.565,185.0
226,9.772,276.0
227,6.925,390.0
228,6.726,402.0
229,7.483,361.0
230,15.721,172.0
231,6.196,436.0
232,6.728,402.0
233,6.486,417.0
234,9.818,275.0
235,7.456,362.0
236,9.056,298.0
237,6.305,429.0
238,6.202,436.0
239,6.964,388.0
240,7.299,370.0
241,14.983,180.0
242,6.679,405.0
243,16.152,167.0
244,6.639,407.0
245,5.792,467.0
246,15.15,178.0
247,9.906,273.0
248,6.694,404.0
249,5.972,453.0
250,15.155,178.0
251,14.625,185.0
252,7.111,380.0
253,6.238,433.0
254,6.532,414.0
255,6.601,409.0
256,8.549,316.0
257,5.755,470.0
258,6.437,420.0
259,5.669,477.0
260,9.228,293.0
261,15.532,174.0
262,14.641,184.0
263,8.836,306.0
264,14.207,190.0
265,14.404,187.0
266,8.786,307.0
267,15.741,171.0
268,8.594,314.0
269,6.288,430.0
270,6.936,390.0
271,7.382,366.0
272,6.354,425.0
273,7.574,357.0
274,5.636,480.0
275,14.993,180.0
276,14.777,183.0
277,5.793,467.0
278,6.16,439.0
279,14.397,187.0
280,8.497,318.0
281,6.061,446.0
282,7.133,379.0
283,6.956,388.0
284,7.022,385.0
285,7.796,347.0
286,6.401,422.0
287,5.989,451.0
288,6.539,413.0
289,9.136,296.0
290,9.832,275.0
291,8.27,327.0
292,9.001,300.0
293,6.435,420.0
294,5.778,468.0
295,15.206,177.0
296,6.056,446.0
297,15.422,175.0
298,9.166,295.0
299,15.058,179.0
300,6.025,449.0
301,15.348,176.0
302,14.395,187.0
303,9.489,285.0
304,15.604,173.0
305,14.745,183.0
306,6.861,394.0
307,15.341,176.0
308,15.756,171.0
309,14.56,185.0
310,14.234,190.0
311,6.729,402.0
312,8.569,315.0
313,8.885,304.0
314,8.666,312.0
315,6.744,401.0
316,7.329,369.0
317,5.768,469.0
318,6.667,405.0
319,7.162,377.0
320,6.649,406.0
321,7.631,354.0
322,14.34,188.0
323,7.512,360.0
324,6.671,405.0
325,7.53,359.0
326,5.885,459.0
327,6.252,432.0
328,7.008,386.0
329,6.467,418.0
330,6.183,437.0
331,6.541,413.0
332,15.957,169.0
333,14.997,180.0
334,8.746,309.0
335,5.701,474.0
336,6.067,445.0
337,14.223,190.0
338,6.672,405.0
339,14.598,185.0
340,15.622,173.0
341,9.734,277.0
342,14.192,190.0
343,14.711,183.0
344,15.673,172.0
345,8.671,312.0
346,6.651,406.0
347,6.177,438.0
348,15.153,178.0
349,6.537,413.0
350,6.659,406.0
351,14.997,180.0
352,14.518,186.0
353,6.561,412.0
354,5.867,461.0
355,15.305,176.0
356,6.574,411.0
357,14.531,186.0
358,9.131,296.0
359,6.775,399.0
360,8.499,318.0
361,14.966,180.0
362,6.568,411.0
363,14.601,185.0
364,15.293,176.0
365,8.744,309.0
366,14.917,181.0
367,6.716,402.0
368,9.272,291.0
369,8.87,305.0
370,6.859,394.0
371,7.56,357.0
372,15.881,170.0
373,15.196,178.0
374,14.567,185.0
375,5.825,464.0
376,5.83,464.0
377,5.742,471.0
378,15.284,177.0
379,15.138,178.0
380,6.158,439.0
381,8.85,305.0
382,9.331,289.0
383,7.176,377.0
384,9.101,297.0
385,13.948,193.0
386,5.834,463.0
387,15.169,178.0
388,14.515,186.0
389,8.546,316.0
390,8.435,320.0
391,15.401,175.0
392,9.133,296.0
393,8.265,327.0
394,5.941,455.0
395,14.235,190.0
396,14.409,187.0
397,6.555,412.0
398,6.842,395.0
399,5.714,473.0
400,6.312,428.0
401,9.074,298.0
402,6.207,435.0
403,6.306,429.0
404,7.426,364.0
405,7.065,382.0
406,6.608,409.0
407,14.763,183.0
408,8.738,309.0
409,5.679,476.0
410,8.427,321.0
411,14.273,189.0
412,15.741,171.0
413,14.5,186.0
414,14.563,185.0
415,5.773,468.0
416,14.556,185.0
417,6.918,391.0
418,6.421,421.0
419,6.273,431.0
420,6.605,409.0
421,14.652,184.0
422,9.166,295.0
423,14.849,182.0
424,6.579,411.0
425,8.951,302.0
426,8.54,316.0
427,14.631,184.0
428,6.236,433.0
429,6.265,431.0
430,6.381,424.0
431,9.98,271.0
432,7.217,374.0
433,5.808,465.0
434,6.678,405.0
435,15.033,179.0
436,14.004,193.0
437,6.615,409.0
438,6.858,394.0
439,14.767,183.0
440,6.077,445.0
441,6.078,445.0
442,6.405,422.0
443,8.756,309.0
444,14.612,185.0
445,14.646,184.0
446,9.433,286.0
447,5.809,465.0
448,7.1,381.0
449,5.747,470.0
450,7.681,352.0
451,6.774,399.0
452,9.572,282.0
453,5.856,462.0
454,5.825,464.0
455,6.743,401.0
456,9.32,290.0
457,7.247,373.0
458,5.689,475.0
459,8.56,316.0
460,14.707,183.0
461,15.491,174.0
462,9.296,291.0
463,14.639,184.0
464,14.913,181.0
465,6.624,408.0
466,9.097,297.0
467,9.728,278.0
468,6.977,387.0
469,6.552,412.0
470,15.559,173.0
471,5.939,455.0
472,8.574,315.0
473,14.794,182.0
474,15.178,178.0
475,14.019,193.0
476,9.448,286.0
477,14.782,183.0
478,9.826,275.0
