,Duration,Throughput
0,42.857,18666728.0
1,41.658,19203994.0
2,41.946,19072140.0
3,63.579,12582771.0
4,38.095,21000131.0
5,42.041,19029043.0
6,48.618,16454810.0
7,68.506,11677809.0
8,38.201,20941860.0
9,66.659,12001380.0
10,35.106,22788127.0
11,76.73,10426169.0
12,38.437,20813278.0
13,72.041,11104787.0
14,71.404,11203854.0
15,49.314,16222573.0
16,44.584,17943656.0
17,40.192,19904458.0
18,34.99,22863675.0
19,80.159,9980164.0
20,35.231,22707274.0
21,48.07,16642396.0
22,45.661,17520422.0
23,38.077,21010058.0
24,34.592,23126734.0
25,72.263,11070672.0
26,36.921,21667885.0
27,47.35,16895459.0
28,40.162,19919326.0
29,35.869,22303381.0
30,55.587,14391854.0
31,48.838,16380687.0
32,67.623,11830294.0
33,55.55,14401440.0
34,71.154,11243218.0
35,48.308,16560404.0
36,53.997,14815637.0
37,39.74,20130850.0
38,38.683,20680919.0
39,48.638,16448044.0
40,49.198,16260823.0
41,67.697,11817362.0
42,39.638,20182653.0
43,46.011,17387146.0
44,78.417,10201869.0
45,47.743,16756383.0
46,47.992,16669444.0
47,49.554,16144004.0
48,42.335,18896893.0
49,50.568,15820281.0
50,34.56,23148148.0
51,31.132,25697031.0
52,75.25,10631229.0
53,56.93,14052344.0
54,72.05,11103400.0
55,37.781,21174664.0
56,36.481,21929223.0
57,43.433,18419174.0
58,40.863,19577612.0
59,51.812,15440438.0
60,35.015,22847351.0
61,71.843,11135392.0
62,74.654,10716103.0
63,50.262,15916597.0
64,45.767,17479843.0
65,43.708,18303285.0
66,46.367,17253650.0
67,39.8,20100502.0
68,47.761,16750068.0
69,72.223,11076803.0
70,45.412,17616489.0
71,91.266,8765586.0
72,81.117,9862297.0
73,80.1,9987515.0
74,42.581,18787722.0
75,49.909,16029173.0
76,52.247,15311883.0
77,41.896,19094901.0
78,36.423,21964143.0
79,38.742,20649424.0
80,43.319,18467646.0
81,37.041,21597689.0
82,52.266,15306317.0
83,39.751,20125279.0
84,48.728,16417665.0
85,42.864,18663680.0
86,55.038,14535411.0
87,34.323,23307985.0
88,46.355,17258116.0
89,46.811,17090000.0
90,65.54,12206286.0
91,35.683,22419639.0
92,34.901,22921979.0
93,49.16,16273393.0
94,35.536,22512381.0
95,67.301,11886896.0
96,44.428,18006662.0
97,33.886,23608569.0
98,67.476,11856067.0
99,40.086,19957092.0
100,44.131,18127846.0
101,45.019,17770274.0
102,86.75,9221902.0
103,59.747,13389793.0
104,40.487,19759428.0
105,35.863,22307113.0
106,37.943,21084257.0
107,37.782,21174104.0
108,73.733,10849958.0
109,73.969,10815341.0
110,45.492,17585509.0
111,52.434,15257275.0
112,42.8,18691588.0
113,67.806,11798365.0
114,38.059,21019995.0
115,75.34,10618529.0
116,27.978,28593895.0
117,45.09,17742293.0
118,70.24,11389521.0
119,37.384,21399529.0
120,34.604,23118714.0
121,75.669,10572361.0
122,54.8,14598540.0
123,47.325,16904384.0
124,48.959,16340203.0
125,32.687,24474561.0
126,67.423,11865387.0
127,47.972,16676394.0
128,51.63,15494867.0
129,34.296,23326335.0
130,38.172,20957770.0
131,43.839,18248591.0
132,43.895,18225310.0
133,37.536,21312872.0
134,37.034,21601771.0
135,34.521,23174299.0
136,69.635,11488475.0
137,36.31,22032497.0
138,42.972,18616773.0
139,38.804,20616431.0
140,72.773,10993088.0
141,45.032,17765144.0
142,74.431,10748209.0
143,34.745,23024895.0
144,46.524,17195426.0
145,40.574,19717060.0
146,35.089,22799167.0
147,51.732,15464316.0
148,34.712,23046784.0
149,71.884,11129041.0
150,50.074,15976354.0
151,33.14,24140012.0
152,42.151,18979383.0
153,42.98,18613308.0
154,47.615,16801428.0
155,60.126,13305392.0
156,44.47,17989655.0
157,42.045,19027232.0
158,43.295,18477884.0
159,36.063,22183401.0
160,38.192,20946795.0
161,34.622,23106695.0
162,47.425,16868740.0
163,49.634,16117983.0
164,41.416,19316206.0
165,79.637,10045581.0
166,34.747,23023570.0
167,43.799,18265257.0
168,37.453,21360104.0
169,34.071,23480379.0
170,32.656,24497795.0
171,47.558,16821565.0
172,47.031,17010057.0
173,46.528,17193947.0
174,47.702,16770785.0
175,44.364,18032639.0
176,55.075,14525646.0
177,50.232,15926102.0
178,38.521,20767892.0
179,80.339,9957803.0
180,35.303,22660963.0
181,35.963,22245085.0
182,33.997,23531488.0
183,74.933,10676204.0
184,82.648,9679605.0
