,Duration,Throughput
0,10.53,77989356.0
1,15.597,52652941.0
2,13.271,61881390.0
3,27.747,29596998.0
4,15.952,51481189.0
5,11.233,73108513.0
6,15.372,53423622.0
7,27.639,29712649.0
8,10.483,78339018.0
9,31.669,25931602.0
10,11.068,74198403.0
11,25.953,31642890.0
12,10.737,76485790.0
13,31.221,26303703.0
14,27.423,29946684.0
15,13.261,61928054.0
16,21.489,38216200.0
17,16.064,51122256.0
18,11.089,74057888.0
19,25.705,31948178.0
20,17.786,46172716.0
21,14.883,55178924.0
22,19.504,42105615.0
23,9.738,84332299.0
24,16.968,48398628.0
25,27.702,29645077.0
26,18.084,45411851.0
27,13.666,60092779.0
28,15.542,52839269.0
29,19.55,42006543.0
30,24.257,33855296.0
31,16.033,51221101.0
32,30.885,26589863.0
33,23.824,34470614.0
34,27.737,29607669.0
35,14.13,58119457.0
36,15.997,51336371.0
37,10.563,77745709.0
38,19.69,41707868.0
39,18.922,43400693.0
40,15.111,54346365.0
41,27.094,30310324.0
42,10.305,79692181.0
43,17.622,46602424.0
44,30.016,27359672.0
45,21.888,37519550.0
46,21.711,37825430.0
47,18.349,44756004.0
48,22.838,35958837.0
49,19.069,43066124.0
50,16.299,50385172.0
51,11.434,71823327.0
52,28.71,28604246.0
53,20.732,39611611.0
54,26.141,31415321.0
55,19.908,41251151.0
56,16.525,49696092.0
57,19.064,43077419.0
58,18.188,45152184.0
59,16.107,50985778.0
60,15.342,53528088.0
61,26.222,31318279.0
62,25.818,31808347.0
63,15.772,52068724.0
64,21.017,39074460.0
65,18.522,44337972.0
66,19.496,42122893.0
67,10.785,76145380.0
68,23.233,35347476.0
69,29.649,27698334.0
70,19.851,41369599.0
71,29.315,28013915.0
72,30.721,26731809.0
73,28.941,28375934.0
74,16.508,49747269.0
75,18.559,44249578.0
76,19.863,41344606.0
77,16.438,49959114.0
78,13.337,61575161.0
79,13.273,61872065.0
80,18.742,43817518.0
81,13.641,60202912.0
82,20.352,40351215.0
83,16.242,50561995.0
84,17.807,46118264.0
85,20.118,40820555.0
86,22.071,37208460.0
87,12.68,64765609.0
88,19.65,41792769.0
89,18.465,44474840.0
90,22.837,35960411.0
91,10.768,76265595.0
92,16.375,50151323.0
93,20.744,39588696.0
94,16.37,50166641.0
95,25.886,31724790.0
96,14.936,54983123.0
97,9.885,83078191.0
98,27.821,29518274.0
99,17.186,47784704.0
100,12.106,67836438.0
101,16.341,50255671.0
102,33.055,24844287.0
103,21.76,37740254.0
104,15.991,51355633.0
105,13.826,59397362.0
106,17.795,46149363.0
107,10.755,76357780.0
108,25.407,32322900.0
109,29.883,27481441.0
110,18.062,45467164.0
111,16.048,51173225.0
112,15.212,53985532.0
113,29.61,27734816.0
114,12.131,67696639.0
115,29.471,27865628.0
116,14.372,57140824.0
117,17.619,46610359.0
118,26.353,31162597.0
119,12.67,64816726.0
120,18.421,44581072.0
121,25.476,32235355.0
122,19.006,43208877.0
123,14.81,55450906.0
124,22.489,36516871.0
125,18.837,43596534.0
126,25.322,32431400.0
127,20.662,39745810.0
128,20.431,40195190.0
129,19.658,41775761.0
130,15.949,51490872.0
131,12.045,68179985.0
132,11.898,69022350.0
133,16.36,50197306.0
134,11.495,71442185.0
135,16.678,49240192.0
136,28.719,28595282.0
137,16.634,49370441.0
138,18.842,43584965.0
139,9.926,82735032.0
140,28.243,29077220.0
141,12.846,63928688.0
142,31.652,25945530.0
143,11.331,72476209.0
144,12.633,65006564.0
145,14.249,57634074.0
146,19.169,42841459.0
147,11.822,69466074.0
148,11.159,73593326.0
149,31.655,25943071.0
150,19.151,42881725.0
151,18.632,44076209.0
152,17.853,45999435.0
153,17.586,46697823.0
154,21.104,38913377.0
155,16.34,50258747.0
156,23.316,35221647.0
157,16.358,50203443.0
158,23.008,35693147.0
159,14.845,55320170.0
160,15.303,53664505.0
161,14.532,56511693.0
162,14.866,55242023.0
163,20.017,41026523.0
164,15.686,52354196.0
165,26.711,30744933.0
166,13.162,62393855.0
167,17.486,46964882.0
168,17.639,46557510.0
169,13.566,60535745.0
170,14.606,56225381.0
171,18.134,45286639.0
172,14.455,56812724.0
173,14.966,54872907.0
174,17.932,45796783.0
175,19.114,42964734.0
176,19.434,42257277.0
177,18.337,44785293.0
178,18.637,44064384.0
179,26.79,30654271.0
180,14.598,56256194.0
181,9.869,83212881.0
182,12.967,63332145.0
183,26.61,30861628.0
184,32.028,25640936.0
185,22.736,36120158.0
186,25.564,32124390.0
187,32.475,25288003.0
188,31.268,26264165.0
189,23.283,35271568.0
190,17.569,46743009.0
191,12.96,63366352.0
192,23.118,35523312.0
