,Duration,Throughput
0,37.849,415.0
1,28.71,547.0
2,46.125,340.0
3,29.578,531.0
4,48.815,321.0
5,30.059,522.0
6,36.89,425.0
7,45.84,342.0
8,32.023,490.0
9,30.775,510.0
10,46.888,335.0
11,44.299,354.0
12,52.372,300.0
13,39.444,398.0
14,33.453,469.0
15,27.176,578.0
16,39.38,398.0
17,32.487,483.0
18,32.69,480.0
19,34.682,453.0
20,32.816,478.0
21,45.882,342.0
22,50.56,310.0
23,28.694,547.0
24,39.136,401.0
25,27.936,562.0
26,47.053,333.0
27,29.03,541.0
28,45.166,347.0
29,34.401,456.0
30,41.789,375.0
31,19.416,809.0
32,50.07,313.0
33,51.743,303.0
34,28.211,556.0
35,28.322,554.0
36,30.853,509.0
37,28.159,557.0
38,36.774,427.0
39,32.22,487.0
40,28.168,557.0
41,33.065,475.0
42,46.98,334.0
43,25.657,612.0
44,45.578,344.0
45,24.637,637.0
46,43.893,357.0
47,41.817,375.0
48,30.855,509.0
49,42.766,367.0
50,39.08,402.0
51,32.964,476.0
52,34.075,461.0
53,47.063,333.0
54,37.091,423.0
55,40.316,389.0
56,48.967,320.0
57,25.544,615.0
58,32.433,484.0
59,38.415,409.0
60,35.885,437.0
61,35.625,441.0
62,41.147,381.0
63,32.209,487.0
64,43.962,357.0
65,49.477,317.0
66,23.913,657.0
67,30.773,510.0
68,27.263,576.0
69,43.293,362.0
70,43.264,363.0
71,33.673,466.0
72,45.698,343.0
73,32.135,488.0
74,37.538,418.0
75,52.393,299.0
76,48.731,322.0
77,37.269,421.0
78,29.764,527.0
79,31.379,500.0
80,30.328,518.0
81,30.502,515.0
82,48.47,324.0
83,53.126,295.0
84,31.114,504.0
85,41.893,375.0
86,37.839,415.0
87,50.458,311.0
88,35.07,448.0
89,31.312,501.0
90,47.405,331.0
91,28.516,550.0
92,34.21,459.0
93,28.936,542.0
94,41.388,379.0
95,35.892,437.0
96,34.343,457.0
97,38.559,407.0
98,28.66,548.0
