,Duration,Throughput
0,8.698,40130.0
1,12.094,28861.0
2,12.782,27308.0
3,8.771,39796.0
4,13.447,25957.0
5,12.993,26864.0
6,8.207,42531.0
7,7.876,44318.0
8,8.327,41918.0
9,10.81,32289.0
10,8.332,41893.0
11,10.672,32707.0
12,12.423,28097.0
13,12.899,27060.0
14,12.564,27782.0
15,9.726,35888.0
16,9.152,38139.0
17,10.531,33145.0
18,8.966,38930.0
19,12.871,27119.0
20,10.864,32129.0
21,11.987,29119.0
22,15.307,22803.0
23,9.972,35003.0
24,16.591,21038.0
25,8.765,39823.0
26,11.442,30506.0
27,8.303,42039.0
28,13.845,25211.0
29,16.243,21489.0
30,8.486,41132.0
31,8.101,43087.0
32,12.354,28254.0
33,13.308,26228.0
34,9.257,37707.0
35,11.683,29877.0
36,10.093,34583.0
37,8.26,42258.0
38,11.348,30759.0
39,8.785,39732.0
40,11.931,29256.0
41,8.017,43539.0
42,11.285,30930.0
43,8.943,39030.0
44,12.992,26866.0
45,7.547,46250.0
46,12.461,28011.0
47,10.517,33189.0
48,7.782,44854.0
49,8.275,42181.0
50,11.151,31302.0
51,12.802,27265.0
52,9.685,36040.0
53,9.414,37078.0
54,13.526,25806.0
55,12.392,28167.0
56,10.3,33888.0
57,7.94,43961.0
58,9.113,38302.0
59,10.716,32573.0
60,14.054,24836.0
61,9.343,37359.0
62,16.192,21557.0
63,10.379,33630.0
64,12.998,26854.0
65,13.754,25378.0
66,8.261,42253.0
67,9.799,35621.0
68,8.868,39361.0
69,15.019,23240.0
70,8.983,38857.0
71,9.302,37524.0
72,12.042,28986.0
73,8.597,40601.0
74,13.472,25909.0
75,15.359,22726.0
76,14.972,23313.0
77,8.966,38930.0
78,12.046,28976.0
79,10.874,32099.0
80,13.032,26784.0
81,9.044,38595.0
82,10.649,32778.0
83,16.453,21215.0
84,9.228,37825.0
85,9.402,37125.0
86,15.929,21913.0
87,12.617,27665.0
88,15.674,22269.0
89,12.773,27327.0
90,13.264,26315.0
91,9.235,37796.0
92,9.549,36553.0
93,8.741,39932.0
94,13.082,26682.0
95,7.919,44078.0
96,8.813,39606.0
97,11.049,31591.0
98,8.534,40901.0
99,13.362,26122.0
100,9.345,37351.0
101,9.276,37629.0
102,7.996,43653.0
103,11.676,29894.0
104,16.63,20989.0
105,9.1,38357.0
106,8.881,39303.0
107,12.783,27306.0
108,13.297,26250.0
109,12.161,28702.0
110,10.034,34787.0
