,Duration,Throughput
0,12.771,78361338.0
1,18.679,53576350.0
2,21.362,46847329.0
3,13.207,75774411.0
4,21.759,45992584.0
5,13.67,73207948.0
6,12.166,82258149.0
7,19.723,50740386.0
8,13.06,76627308.0
9,16.661,60065581.0
10,13.781,72618289.0
11,16.913,59170617.0
12,21.235,47127508.0
13,18.097,55299367.0
14,16.8,59568610.0
15,18.502,54088890.0
16,12.821,78055740.0
17,14.672,68208332.0
18,12.841,77934167.0
19,19.145,52272272.0
20,15.663,63892782.0
21,13.131,76212980.0
22,17.289,57883778.0
23,14.838,67445252.0
24,17.546,57035942.0
25,12.641,79167205.0
26,14.94,66984782.0
27,19.303,51844410.0
28,22.955,43596281.0
29,18.594,53821267.0
30,12.502,80047404.0
31,12.832,77988828.0
32,21.031,47584644.0
33,16.256,61562047.0
34,13.746,72803190.0
35,12.819,78067918.0
36,12.925,77427671.0
37,12.524,79906790.0
38,20.474,48879195.0
39,19.302,51847096.0
40,15.201,65834658.0
41,12.315,81262902.0
42,20.711,48319861.0
43,18.657,53639526.0
44,21.589,46354747.0
45,12.408,80653824.0
46,18.701,53513322.0
47,14.427,69366649.0
48,12.331,81157460.0
49,18.987,52707254.0
50,15.85,63138968.0
51,15.358,65161651.0
52,17.77,56316975.0
53,12.919,77463631.0
54,16.971,58968396.0
55,21.844,45813617.0
56,14.344,69768031.0
57,12.896,77601787.0
58,19.444,51468455.0
59,15.953,62731313.0
60,17.563,56980735.0
61,18.68,53573482.0
62,17.348,57686917.0
63,12.861,77812973.0
64,15.729,63624683.0
65,17.467,57293905.0
66,14.768,67764941.0
67,14.125,70849745.0
68,12.463,80297893.0
69,18.081,55348302.0
70,18.606,53786555.0
71,14.293,70016976.0
72,21.261,47069876.0
73,12.474,80227084.0
74,21.886,45725699.0
75,21.593,46346160.0
76,16.602,60279041.0
77,14.476,69131849.0
78,18.556,53931485.0
79,12.813,78104475.0
80,18.632,53711499.0
81,19.201,52119819.0
82,15.67,63864240.0
83,17.212,58142728.0
84,16.026,62445566.0
85,12.628,79248705.0
86,17.07,58626400.0
87,21.822,45859804.0
88,18.858,53067804.0
89,15.305,65387301.0
90,18.857,53070618.0
91,13.404,74660746.0
92,14.467,69174856.0
93,12.473,80233516.0
94,14.127,70839714.0
95,12.211,81955011.0
96,12.782,78293901.0
97,16.867,59331988.0
98,19.288,51884728.0
99,21.406,46751034.0
100,13.911,71939662.0
101,13.521,74014691.0
102,12.821,78055740.0
103,12.834,77976675.0
104,19.094,52411891.0
105,13.283,75340860.0
106,13.005,76951376.0
107,12.576,79576387.0
108,14.787,67677869.0
109,21.259,47074305.0
110,13.004,76957293.0
111,18.493,54115213.0
112,15.356,65170138.0
113,18.862,53056550.0
114,20.975,47711687.0
115,12.576,79576387.0
116,14.085,71050951.0
117,15.904,62924588.0
118,19.315,51812200.0
119,21.861,45777990.0
120,18.568,53896631.0
121,13.315,75159793.0
122,17.244,58034832.0
123,21.533,46475300.0
124,13.606,73552304.0
125,14.15,70724568.0
126,14.938,66993750.0
127,16.063,62301727.0
128,19.178,52182326.0
129,17.451,57346435.0
130,12.296,81388471.0
131,20.699,48347874.0
132,14.566,68704699.0
133,14.272,70120000.0
134,12.557,79696794.0
135,13.382,74783489.0
136,20.739,48254624.0
137,15.681,63819440.0
138,12.899,77583739.0
139,21.629,46269020.0
140,12.846,77903833.0
141,12.031,83181169.0
142,12.217,81914762.0
143,13.73,72888029.0
144,17.592,56886803.0
145,17.348,57686917.0
146,12.925,77427671.0
147,17.518,57127106.0
148,12.554,79715839.0
149,14.532,68865445.0
150,17.106,58503019.0
151,19.717,50755827.0
152,17.087,58568072.0
153,13.953,71723116.0
154,17.404,57501301.0
155,14.451,69251446.0
156,13.548,73867187.0
