,Duration,Throughput
0,8.119,333.0
1,7.876,343.0
2,11.74,230.0
3,8.179,330.0
4,12.814,211.0
5,9.038,299.0
6,7.103,380.0
7,8.206,329.0
8,7.22,374.0
9,9.042,299.0
10,7.183,376.0
11,10.188,265.0
12,12.984,208.0
13,10.703,252.0
14,10.92,247.0
15,7.318,369.0
16,7.616,355.0
17,11.218,241.0
18,7.882,343.0
19,7.485,361.0
20,8.787,307.0
21,6.707,403.0
22,12.842,210.0
23,10.297,262.0
24,13.025,207.0
25,7.947,340.0
26,9.718,278.0
27,10.319,262.0
28,11.406,237.0
29,11.978,225.0
30,6.542,413.0
31,6.564,412.0
32,11.127,243.0
33,13.037,207.0
34,9.024,299.0
35,6.74,401.0
36,8.006,337.0
37,10.36,261.0
38,9.716,278.0
39,7.157,378.0
40,6.674,405.0
41,6.755,400.0
42,11.621,232.0
43,10.226,264.0
44,12.761,212.0
45,7.622,354.0
46,7.109,380.0
47,9.628,281.0
48,8.066,335.0
49,7.28,371.0
50,9.223,293.0
51,8.145,332.0
52,6.468,418.0
53,7.466,362.0
54,12.879,210.0
55,12.623,214.0
56,9.98,271.0
57,10.064,268.0
58,8.334,324.0
59,11.469,235.0
60,11.925,226.0
61,9.549,283.0
62,12.658,213.0
63,7.51,360.0
64,8.838,306.0
65,12.134,222.0
66,7.034,384.0
67,8.353,323.0
68,10.713,252.0
69,10.95,247.0
70,7.752,349.0
71,8.901,303.0
72,10.951,247.0
73,7.29,371.0
74,10.957,246.0
75,11.496,235.0
76,12.765,211.0
77,10.276,263.0
78,8.346,324.0
79,8.071,335.0
80,9.418,287.0
81,7.54,358.0
82,9.122,296.0
83,12.321,219.0
84,7.275,371.0
85,6.847,395.0
86,11.621,232.0
87,11.577,233.0
88,11.808,229.0
89,9.397,287.0
90,11.363,238.0
91,6.735,401.0
92,6.618,408.0
93,6.617,408.0
94,8.958,302.0
95,10.0,270.0
96,6.827,396.0
97,8.747,309.0
98,7.137,379.0
99,12.361,218.0
100,10.318,262.0
101,6.836,395.0
102,7.026,385.0
103,6.549,413.0
104,11.318,239.0
105,6.971,388.0
106,7.272,372.0
107,10.536,256.0
108,10.131,267.0
109,11.479,235.0
110,7.099,381.0
111,9.531,283.0
112,6.762,400.0
113,7.44,363.0
114,9.485,285.0
115,8.356,323.0
116,9.078,298.0
117,11.541,234.0
118,10.71,252.0
119,12.863,210.0
120,6.567,412.0
121,7.419,364.0
122,12.804,211.0
123,12.91,209.0
124,6.805,397.0
125,11.946,226.0
126,7.52,359.0
127,8.92,303.0
128,6.636,407.0
129,12.681,213.0
130,6.595,410.0
131,13.007,208.0
132,7.947,340.0
133,7.165,377.0
134,7.653,353.0
135,7.752,349.0
136,10.987,246.0
137,8.419,321.0
138,8.154,331.0
139,10.892,248.0
140,10.367,260.0
141,7.711,350.0
142,10.18,265.0
143,10.467,258.0
144,10.558,256.0
145,11.122,243.0
146,8.106,333.0
147,11.993,225.0
148,10.561,256.0
149,8.65,312.0
150,9.567,282.0
151,11.962,226.0
152,11.01,245.0
153,11.271,240.0
154,11.322,238.0
155,7.984,338.0
156,10.858,249.0
157,9.23,293.0
158,9.553,283.0
159,6.627,408.0
160,8.822,306.0
161,6.522,414.0
162,10.21,265.0
163,11.1,243.0
164,11.199,241.0
165,6.902,392.0
166,9.234,293.0
167,7.464,362.0
168,8.265,327.0
169,6.809,397.0
170,12.519,216.0
171,8.12,333.0
172,7.254,373.0
173,6.972,388.0
174,10.859,249.0
175,9.461,285.0
176,9.164,295.0
177,6.594,410.0
178,10.615,254.0
179,8.131,332.0
180,12.521,216.0
181,11.082,244.0
182,12.743,212.0
183,11.304,239.0
184,11.392,237.0
185,6.969,388.0
186,6.974,387.0
187,7.407,365.0
188,13.447,201.0
189,9.351,289.0
190,7.449,363.0
191,9.997,270.0
192,8.764,308.0
193,11.38,237.0
194,10.204,265.0
195,9.91,273.0
196,8.163,331.0
197,12.566,215.0
198,7.024,385.0
199,10.32,262.0
200,10.471,258.0
201,10.576,255.0
202,12.728,212.0
203,11.014,245.0
204,6.813,397.0
205,6.567,412.0
206,8.172,331.0
207,10.76,251.0
208,10.545,256.0
209,11.646,232.0
210,6.88,393.0
211,11.691,231.0
212,8.413,321.0
213,8.347,324.0
214,9.742,277.0
215,7.238,373.0
216,8.084,334.0
217,8.201,329.0
218,13.786,196.0
219,10.028,269.0
220,10.518,257.0
221,10.095,268.0
222,12.603,214.0
223,7.02,385.0
224,13.813,195.0
225,13.293,203.0
226,7.116,380.0
227,8.791,307.0
228,6.852,394.0
229,6.844,395.0
230,8.56,316.0
231,10.945,247.0
232,9.435,286.0
233,6.965,388.0
234,11.987,225.0
235,10.861,249.0
236,10.997,246.0
237,12.271,220.0
238,8.457,319.0
239,8.695,311.0
240,8.26,327.0
241,8.798,307.0
242,11.785,229.0
243,11.622,232.0
244,10.845,249.0
245,12.579,215.0
246,6.595,410.0
247,8.788,307.0
248,7.213,375.0
249,8.068,335.0
250,9.397,287.0
251,6.819,396.0
252,10.708,252.0
253,10.818,250.0
254,9.178,294.0
255,9.503,284.0
256,10.636,254.0
257,9.627,281.0
258,10.752,251.0
259,9.571,282.0
260,9.983,271.0
261,7.226,374.0
262,10.426,259.0
263,10.119,267.0
264,9.236,292.0
265,9.416,287.0
266,9.021,299.0
267,6.569,411.0
268,11.172,242.0
269,10.479,258.0
270,12.682,213.0
271,7.709,350.0
272,10.963,246.0
273,12.866,210.0
274,10.523,257.0
275,11.524,234.0
276,6.618,408.0
277,8.428,321.0
278,12.782,211.0
279,11.462,236.0
280,8.979,301.0
281,11.025,245.0
282,11.557,234.0
283,8.693,311.0
284,9.155,295.0
285,8.286,326.0
286,8.631,313.0
287,11.568,233.0
288,9.185,294.0
289,12.348,219.0
290,11.195,241.0
291,8.26,327.0
292,8.148,332.0
293,11.943,226.0
294,7.876,343.0
295,8.669,312.0
296,7.018,385.0
297,11.045,244.0
298,11.931,226.0
299,10.513,257.0
300,7.233,374.0
301,8.611,314.0
302,10.613,254.0
303,9.321,290.0
304,10.679,253.0
305,9.059,298.0
306,6.965,388.0
307,8.608,314.0
308,6.997,386.0
309,10.122,267.0
310,10.051,269.0
311,7.006,386.0
312,9.621,281.0
313,7.866,343.0
314,7.096,381.0
315,10.472,258.0
316,10.034,269.0
317,11.007,245.0
318,6.982,387.0
319,7.95,340.0
320,7.164,377.0
321,10.15,266.0
322,13.016,207.0
323,8.174,331.0
324,6.59,410.0
325,6.688,404.0
326,10.094,268.0
327,9.478,285.0
328,10.667,253.0
329,10.537,256.0
330,7.357,367.0
331,10.564,256.0
332,9.283,291.0
333,7.291,371.0
334,6.867,394.0
335,6.835,395.0
336,10.64,254.0
337,11.531,234.0
338,6.893,392.0
339,9.507,284.0
340,8.6,314.0
341,11.314,239.0
342,7.431,364.0
343,13.25,204.0
344,11.176,242.0
345,10.189,265.0
346,10.982,246.0
347,6.615,409.0
348,7.24,373.0
349,10.427,259.0
350,10.872,248.0
351,6.56,412.0
352,11.284,239.0
353,6.887,392.0
354,12.66,213.0
355,8.392,322.0
356,8.399,322.0
357,11.511,235.0
358,13.088,206.0
359,13.005,208.0
360,10.566,256.0
361,8.886,304.0
362,8.929,303.0
363,11.353,238.0
364,6.635,407.0
365,8.528,317.0
366,11.075,244.0
367,10.148,266.0
368,6.685,404.0
369,8.367,323.0
370,10.928,247.0
371,10.562,256.0
372,7.301,370.0
373,10.003,270.0
374,9.982,271.0
375,13.071,207.0
376,9.201,294.0
377,7.606,355.0
378,8.318,325.0
379,6.58,411.0
380,6.444,419.0
381,9.454,286.0
382,12.697,213.0
383,9.558,283.0
384,11.542,234.0
385,8.494,318.0
386,10.17,266.0
387,9.601,281.0
388,9.51,284.0
389,10.246,264.0
390,8.892,304.0
391,8.013,337.0
392,8.401,322.0
393,10.486,258.0
394,10.085,268.0
395,8.083,334.0
396,12.943,209.0
397,7.22,374.0
398,8.913,303.0
399,11.95,226.0
400,7.177,377.0
401,10.475,258.0
402,7.438,363.0
403,7.206,375.0
404,13.24,204.0
405,8.16,331.0
406,8.733,309.0
407,7.343,368.0
408,8.06,335.0
409,8.886,304.0
410,10.54,256.0
411,12.787,211.0
412,9.331,289.0
413,11.537,234.0
414,7.163,377.0
415,7.804,346.0
416,11.397,237.0
417,12.23,221.0
418,10.868,248.0
419,11.617,232.0
420,9.822,275.0
421,10.456,258.0
422,10.144,266.0
423,6.722,402.0
424,10.33,261.0
425,8.51,317.0
426,11.316,239.0
427,12.61,214.0
428,6.809,397.0
429,6.582,411.0
430,7.464,362.0
431,6.612,409.0
432,7.352,368.0
433,11.051,244.0
434,10.121,267.0
435,8.493,318.0
436,8.821,306.0
437,7.01,385.0
438,6.567,412.0
439,9.093,297.0
440,7.174,377.0
441,11.104,243.0
442,6.499,416.0
443,9.016,300.0
444,9.689,279.0
445,10.723,252.0
446,6.988,387.0
447,7.674,352.0
448,8.42,321.0
449,9.172,295.0
450,12.811,211.0
451,7.558,357.0
452,10.275,263.0
453,7.44,363.0
454,6.481,417.0
455,6.613,409.0
456,9.357,289.0
457,10.063,268.0
458,10.28,263.0
459,12.693,213.0
460,7.314,369.0
461,9.228,293.0
462,9.423,287.0
463,10.265,263.0
464,8.852,305.0
465,11.336,238.0
466,6.679,405.0
467,11.427,236.0
468,10.03,269.0
469,7.983,338.0
470,10.806,250.0
471,9.628,281.0
472,8.163,331.0
473,6.637,407.0
474,6.992,386.0
475,7.432,364.0
476,9.01,300.0
477,6.785,398.0
478,8.926,303.0
479,8.774,308.0
480,9.198,294.0
481,10.848,249.0
482,12.771,211.0
483,12.994,208.0
484,10.729,252.0
485,12.739,212.0
486,7.023,385.0
487,13.034,207.0
488,6.563,412.0
489,8.371,323.0
490,10.838,249.0
491,9.357,289.0
492,11.51,235.0
493,8.684,311.0
494,12.037,224.0
495,7.681,352.0
496,9.038,299.0
497,9.505,284.0
498,7.056,383.0
499,10.365,261.0
500,7.99,338.0
501,9.144,295.0
502,12.301,219.0
503,11.146,242.0
504,9.558,283.0
505,7.616,355.0
506,10.037,269.0
507,13.469,200.0
508,11.72,230.0
509,12.569,215.0
510,11.737,230.0
511,8.723,310.0
512,8.923,303.0
513,10.599,255.0
514,8.438,320.0
515,6.929,390.0
516,11.752,230.0
517,7.208,375.0
518,6.899,392.0
519,8.312,325.0
520,11.505,235.0
521,6.564,412.0
522,6.832,396.0
523,10.536,256.0
524,8.911,303.0
525,11.571,233.0
526,8.828,306.0
527,12.87,210.0
528,7.367,367.0
529,10.777,251.0
530,6.963,388.0
531,13.069,207.0
532,9.349,289.0
533,6.924,390.0
534,10.802,250.0
535,12.874,210.0
536,9.742,277.0
537,6.765,399.0
538,10.748,251.0
539,7.217,374.0
540,11.146,242.0
541,7.265,372.0
542,11.319,239.0
543,13.283,203.0
544,14.039,192.0
545,8.115,333.0
546,11.661,232.0
547,10.491,257.0
548,9.275,291.0
549,7.112,380.0
550,6.716,402.0
551,6.739,401.0
552,11.486,235.0
553,10.142,266.0
554,9.558,283.0
555,6.956,388.0
556,11.354,238.0
557,7.574,357.0
558,11.106,243.0
559,7.921,341.0
560,8.673,311.0
561,6.972,388.0
562,10.779,251.0
563,8.298,326.0
564,10.923,247.0
565,11.761,230.0
566,6.612,409.0
567,7.928,341.0
568,8.488,318.0
569,9.97,271.0
570,10.827,249.0
571,10.548,256.0
572,10.41,259.0
573,8.55,316.0
574,8.577,315.0
575,12.533,215.0
576,11.588,233.0
577,8.974,301.0
578,6.508,415.0
579,8.496,318.0
580,7.074,382.0
581,7.585,356.0
582,12.139,222.0
583,8.935,302.0
584,7.924,341.0
585,12.884,210.0
586,8.105,333.0
587,11.722,230.0
588,11.082,244.0
589,6.365,425.0
590,7.442,363.0
591,10.478,258.0
592,13.485,200.0
593,10.755,251.0
594,11.451,236.0
595,8.038,336.0
596,10.4,260.0
597,8.637,313.0
598,10.714,252.0
599,8.618,313.0
600,6.467,418.0
601,7.001,386.0
602,8.194,330.0
603,10.944,247.0
604,9.628,281.0
605,6.461,418.0
606,8.162,331.0
607,10.004,270.0
608,9.025,299.0
609,8.931,302.0
610,12.939,209.0
611,11.105,243.0
612,8.77,308.0
613,10.49,257.0
614,9.007,300.0
615,12.761,212.0
616,7.303,370.0
617,12.667,213.0
618,9.64,280.0
619,8.126,332.0
620,6.926,390.0
621,6.456,419.0
622,10.101,267.0
623,10.903,248.0
624,10.753,251.0
625,7.206,375.0
626,6.662,406.0
627,10.229,264.0
628,8.237,328.0
629,11.559,234.0
630,11.39,237.0
631,10.913,247.0
632,7.24,373.0
633,12.568,215.0
634,9.564,282.0
635,7.09,381.0
636,7.3,370.0
637,12.729,212.0
638,13.028,207.0
639,7.296,370.0
640,7.164,377.0
641,7.18,376.0
642,11.361,238.0
643,11.211,241.0
644,8.577,315.0
645,11.376,237.0
646,9.266,292.0
647,7.138,379.0
648,6.442,420.0
649,6.516,415.0
650,13.157,205.0
651,7.016,385.0
652,9.387,288.0
653,8.575,315.0
654,6.723,402.0
655,11.5,235.0
656,11.549,234.0
657,11.201,241.0
658,8.946,302.0
659,7.773,348.0
660,7.801,346.0
661,7.487,361.0
662,7.263,372.0
663,8.774,308.0
664,11.42,236.0
665,9.53,283.0
666,8.744,309.0
667,11.756,230.0
668,11.053,244.0
