,Duration,Throughput
0,8.862,319.0
1,8.692,325.0
2,17.072,165.0
3,8.978,315.0
4,16.738,169.0
5,11.707,241.0
6,8.673,326.0
7,8.532,331.0
8,9.637,293.0
9,12.31,229.0
10,9.516,297.0
11,12.819,220.0
12,16.447,172.0
13,16.427,172.0
14,16.488,171.0
15,8.977,315.0
16,9.299,304.0
17,11.795,239.0
18,9.3,304.0
19,9.617,294.0
20,11.902,237.0
21,8.618,328.0
22,16.74,168.0
23,9.089,311.0
24,17.53,161.0
25,9.048,312.0
26,12.736,222.0
27,8.992,314.0
28,17.102,165.0
29,17.63,160.0
30,8.234,343.0
31,8.402,336.0
32,16.674,169.0
33,16.952,166.0
34,11.643,242.0
35,8.711,324.0
36,9.312,303.0
37,8.715,324.0
38,12.39,228.0
39,9.504,297.0
40,8.591,329.0
41,8.839,320.0
42,12.07,234.0
43,8.778,322.0
44,16.377,172.0
45,8.383,337.0
46,9.024,313.0
47,12.538,225.0
48,8.786,321.0
49,9.453,299.0
50,12.5,226.0
51,11.431,247.0
52,8.693,325.0
53,9.813,288.0
54,17.109,165.0
55,16.742,168.0
56,12.274,230.0
57,8.6,328.0
58,9.372,301.0
59,12.622,224.0
60,17.586,160.0
61,11.798,239.0
62,17.393,162.0
63,9.241,306.0
64,11.652,242.0
65,17.364,162.0
66,9.394,301.0
67,11.676,242.0
68,10.153,278.0
69,16.414,172.0
70,8.546,331.0
71,11.716,241.0
72,16.167,174.0
73,9.074,311.0
74,17.182,164.0
75,17.798,158.0
76,16.577,170.0
77,10.166,278.0
78,9.137,309.0
79,9.165,308.0
80,11.701,241.0
81,9.844,287.0
82,12.604,224.0
83,17.499,161.0
84,9.543,296.0
85,8.985,314.0
86,17.661,160.0
87,16.862,167.0
88,17.429,162.0
89,12.316,229.0
90,17.202,164.0
91,9.426,300.0
92,8.749,323.0
93,8.58,329.0
94,11.951,236.0
95,8.521,332.0
96,8.744,323.0
97,12.365,228.0
98,8.518,332.0
99,16.192,174.0
100,9.791,288.0
101,9.098,310.0
102,9.231,306.0
103,8.471,333.0
104,17.887,158.0
105,9.76,289.0
106,9.711,291.0
107,9.405,300.0
108,12.431,227.0
109,16.699,169.0
110,9.234,306.0
111,12.125,233.0
112,8.844,319.0
113,9.655,293.0
114,13.012,217.0
115,8.93,316.0
116,12.064,234.0
117,12.164,232.0
118,9.28,304.0
119,16.827,168.0
120,8.483,333.0
121,9.721,291.0
122,17.878,158.0
123,17.308,163.0
124,9.537,296.0
125,13.019,217.0
126,9.55,296.0
127,12.139,233.0
128,8.861,319.0
129,17.41,162.0
130,8.694,325.0
131,17.282,163.0
132,8.766,322.0
133,9.101,310.0
134,8.451,334.0
135,9.291,304.0
136,12.687,222.0
137,11.951,236.0
138,9.438,299.0
139,17.092,165.0
140,9.405,300.0
141,8.369,338.0
142,8.651,327.0
143,9.177,308.0
144,16.514,171.0
145,17.425,162.0
146,9.302,304.0
147,17.779,159.0
148,9.161,308.0
149,11.718,241.0
150,12.891,219.0
151,17.201,164.0
152,16.805,168.0
153,11.913,237.0
154,17.88,158.0
155,9.552,296.0
156,10.144,278.0
157,12.157,232.0
158,11.922,237.0
159,8.326,339.0
160,9.617,294.0
161,8.787,321.0
162,9.143,309.0
163,16.584,170.0
164,11.606,243.0
165,8.712,324.0
166,11.776,240.0
167,9.944,284.0
168,9.726,290.0
169,9.672,292.0
170,16.33,173.0
171,8.921,317.0
172,9.532,296.0
173,8.771,322.0
174,16.758,168.0
175,12.205,231.0
176,11.771,240.0
177,9.169,308.0
178,16.426,172.0
179,9.06,312.0
180,17.642,160.0
181,16.764,168.0
182,16.686,169.0
183,12.176,232.0
184,12.218,231.0
185,9.033,313.0
186,8.731,324.0
187,10.13,279.0
188,17.69,159.0
189,12.388,228.0
190,9.902,285.0
191,8.423,335.0
192,11.614,243.0
193,17.135,165.0
194,9.273,305.0
195,8.183,345.0
196,12.066,234.0
197,16.611,170.0
198,9.453,299.0
199,8.843,319.0
200,9.008,314.0
201,16.143,175.0
202,16.834,168.0
203,11.79,239.0
204,8.724,324.0
205,8.475,333.0
206,8.875,318.0
207,16.533,171.0
208,9.373,301.0
209,17.083,165.0
210,9.462,298.0
211,17.479,161.0
212,11.777,240.0
213,11.971,236.0
214,12.004,235.0
215,9.534,296.0
216,9.235,306.0
217,9.147,309.0
218,17.319,163.0
219,12.648,223.0
220,9.689,291.0
221,8.828,320.0
222,16.472,171.0
223,9.259,305.0
224,16.819,168.0
225,17.25,164.0
226,9.451,299.0
227,9.529,296.0
228,8.666,326.0
229,8.698,325.0
230,9.526,296.0
231,16.638,170.0
232,12.554,225.0
233,9.364,302.0
234,17.268,163.0
235,16.458,171.0
236,16.506,171.0
237,17.516,161.0
238,11.64,243.0
239,11.83,239.0
240,9.338,302.0
241,11.782,240.0
242,17.594,160.0
243,17.428,162.0
244,16.278,173.0
245,16.931,167.0
246,8.629,327.0
247,12.09,233.0
248,9.376,301.0
249,9.673,292.0
250,12.312,229.0
251,8.467,334.0
252,9.666,292.0
253,8.978,315.0
254,11.971,236.0
255,11.959,236.0
256,8.788,321.0
257,12.286,230.0
258,16.402,172.0
259,12.26,230.0
260,8.594,329.0
261,9.331,303.0
262,9.891,286.0
263,8.646,327.0
264,13.083,216.0
265,12.489,226.0
266,12.151,232.0
267,8.976,315.0
268,13.002,217.0
269,9.115,310.0
270,16.35,173.0
271,8.318,340.0
272,9.585,295.0
273,17.228,164.0
274,9.816,288.0
275,11.76,240.0
276,8.642,327.0
277,11.523,245.0
278,16.772,168.0
279,12.291,230.0
280,11.75,240.0
281,9.682,292.0
282,16.873,167.0
283,12.044,234.0
284,12.363,228.0
285,9.441,299.0
286,12.114,233.0
287,13.037,216.0
288,12.08,234.0
289,12.889,219.0
290,17.473,161.0
291,11.782,240.0
292,8.797,321.0
293,16.564,170.0
294,8.308,340.0
295,12.214,231.0
296,9.348,302.0
297,17.937,157.0
298,17.537,161.0
299,9.168,308.0
300,9.147,309.0
301,9.998,282.0
302,11.952,236.0
303,13.087,216.0
304,9.397,301.0
305,12.125,233.0
306,8.877,318.0
307,9.737,290.0
