,Duration,Throughput
0,41.158,19437290.0
1,50.431,15863258.0
2,53.538,14942657.0
3,54.406,14704260.0
4,43.998,18182644.0
5,47.002,17020552.0
6,34.188,23400023.0
7,51.025,15678588.0
8,80.069,9991382.0
9,53.121,15059957.0
10,67.687,11819108.0
11,63.803,12538595.0
12,52.51,15235193.0
13,60.699,13179788.0
14,40.176,19912385.0
15,35.036,22833656.0
16,42.48,18832391.0
17,47.294,16915464.0
18,42.7,18735362.0
19,39.027,20498629.0
20,39.483,20261884.0
21,37.362,21412129.0
22,60.695,13180657.0
23,48.004,16665277.0
24,69.405,11526547.0
25,51.817,15438948.0
26,48.261,16576531.0
27,39.212,20401917.0
28,41.981,19056239.0
29,57.223,13980392.0
30,37.01,21615779.0
31,40.853,19582405.0
32,72.459,11040726.0
33,61.694,12967225.0
34,43.787,18270262.0
35,63.046,12689147.0
36,44.696,17898693.0
37,51.999,15384911.0
38,53.819,14864638.0
39,51.472,15542430.0
40,46.412,17236921.0
41,41.297,19371867.0
42,58.709,13626530.0
43,45.553,17561960.0
44,52.383,15272130.0
45,36.551,21887226.0
46,42.633,18764806.0
47,46.177,17324642.0
48,38.068,21015025.0
49,52.222,15319214.0
50,47.203,16948075.0
51,53.539,14942378.0
52,37.247,21478239.0
53,62.733,12752458.0
54,68.605,11660957.0
55,60.473,13229044.0
56,58.802,13604979.0
57,44.123,18131133.0
58,54.667,14634057.0
59,51.059,15668148.0
60,58.42,13693940.0
61,44.807,17854353.0
62,62.148,12872497.0
63,44.877,17826503.0
64,51.783,15449085.0
65,57.679,13869865.0
66,38.697,20673437.0
67,57.49,13915463.0
68,59.286,13493910.0
69,67.546,11843780.0
70,43.091,18565361.0
71,75.75,10561056.0
72,58.361,13707784.0
73,37.335,21427614.0
74,44.031,18169017.0
75,43.399,18433604.0
76,61.085,13096504.0
77,39.877,20061689.0
78,46.91,17053933.0
79,60.087,13314027.0
80,58.121,13764388.0
81,56.529,14152028.0
82,57.267,13969650.0
83,47.976,16675004.0
84,39.46,20273694.0
85,36.919,21669059.0
86,51.864,15424957.0
87,68.546,11670994.0
88,75.651,10574876.0
89,54.227,14752798.0
90,58.277,13727542.0
91,39.308,20352091.0
92,46.901,17057205.0
93,43.263,18491551.0
94,51.413,15560266.0
95,40.007,19996500.0
96,52.917,15118015.0
97,48.01,16663195.0
98,44.743,17879891.0
99,69.961,11434942.0
100,49.127,16284324.0
101,49.025,16318204.0
