,Duration,Throughput
0,15.066,54508690.0
1,11.936,68802607.0
2,25.846,31773888.0
3,16.328,50295683.0
4,18.793,43698607.0
5,22.775,36058306.0
6,18.812,43654472.0
7,15.492,53009806.0
8,20.693,39686267.0
9,22.006,37318364.0
10,15.47,53085192.0
11,21.889,37517836.0
12,27.339,30038696.0
13,27.301,30080507.0
14,23.509,34932490.0
15,18.738,43826872.0
16,14.337,57280318.0
17,21.245,38655115.0
18,18.869,43522599.0
19,19.153,42877247.0
20,23.835,34454706.0
21,18.217,45080305.0
22,22.314,36803259.0
23,15.82,51910741.0
24,30.161,27228139.0
25,16.797,48891345.0
26,17.716,46355155.0
27,18.934,43373187.0
28,31.72,25889909.0
29,23.801,34503925.0
30,13.924,58979311.0
31,11.603,70777206.0
32,29.518,27821259.0
33,24.508,33508565.0
34,19.371,42394710.0
35,21.021,39067024.0
36,16.071,51099989.0
37,21.843,37596846.0
38,16.224,50618092.0
39,12.157,67551857.0
40,17.723,46336846.0
41,22.671,36223718.0
42,21.97,37379514.0
43,13.833,59367304.0
44,17.083,48072816.0
45,19.755,41570636.0
46,21.815,37645103.0
47,20.107,40842886.0
48,14.59,56287040.0
49,12.725,64536575.0
50,27.776,29566097.0
51,13.753,59712639.0
52,15.709,52277543.0
53,20.367,40321496.0
54,22.752,36094757.0
55,17.874,45945391.0
56,16.545,49636018.0
57,13.727,59825739.0
58,19.407,42316067.0
59,22.774,36059889.0
60,25.995,31591764.0
61,23.928,34320792.0
62,24.157,33995443.0
63,20.131,40794194.0
64,23.362,35152295.0
65,22.477,36536367.0
66,12.174,67457526.0
67,16.816,48836104.0
68,16.71,49145896.0
69,23.587,34816972.0
70,17.657,46510048.0
71,15.309,53643472.0
72,19.219,42730003.0
73,17.483,46972941.0
74,23.877,34394100.0
75,19.734,41614874.0
76,20.946,39206909.0
77,17.061,48134806.0
78,18.833,43605794.0
79,15.72,52240962.0
80,19.587,41927192.0
81,19.71,41665546.0
82,18.363,44721882.0
83,25.864,31751775.0
84,17.908,45858159.0
85,19.774,41530693.0
86,19.738,41606440.0
87,18.056,45482273.0
88,19.855,41361265.0
89,19.684,41720581.0
90,26.51,30978043.0
91,18.854,43557225.0
92,13.746,59743047.0
93,16.723,49107691.0
94,20.536,39989673.0
95,20.153,40749661.0
96,14.697,55877248.0
97,20.982,39139640.0
98,23.329,35202020.0
99,27.333,30045290.0
100,19.045,43120395.0
101,11.891,69062982.0
102,21.677,37884759.0
103,19.965,41133379.0
104,30.877,26596752.0
105,21.299,38557111.0
106,21.927,37452817.0
107,20.755,39567715.0
108,17.681,46446916.0
109,24.91,32967801.0
110,12.64,64970563.0
111,19.996,41069610.0
112,17.484,46970254.0
113,13.336,61579778.0
114,22.989,35722646.0
115,24.713,33230604.0
116,16.001,51323537.0
117,24.008,34206428.0
118,13.801,59504958.0
119,23.413,35075724.0
120,24.706,33240019.0
121,12.852,63898842.0
122,16.566,49573097.0
123,24.678,33277734.0
124,18.927,43389228.0
125,19.633,41828957.0
126,21.542,38122176.0
127,18.465,44474840.0
128,16.34,50258747.0
129,23.454,35014408.0
130,17.162,47851528.0
131,30.659,26785868.0
132,18.181,45169568.0
133,12.162,67524085.0
134,13.09,62737045.0
135,18.834,43603479.0
136,16.939,48481488.0
137,13.582,60464432.0
138,16.188,50730660.0
139,22.397,36666871.0
140,18.723,43861984.0
141,18.85,43566468.0
142,18.654,44024226.0
143,20.719,39636465.0
144,27.447,29920498.0
145,30.073,27307815.0
146,11.994,68469895.0
147,19.461,42198650.0
148,19.248,42665623.0
149,19.859,41352934.0
150,20.996,39113541.0
